au_id,source_stand_count,source_row_count,observed_bin_count,curve_point_count,age_min,age_max,assignment_weight_basis,ambiguous_stand_count,tie_break_stand_count,lexmatch_stand_count,lexmatch_alias_stand_count,sparse_warning,selected_path,rmse,mape,tail_rmse,accepted
cwhvm1_pl_cw_m,2,386,49,299,26,300,shape_area_ha,0,0,0,0,True,smoothed_bin_pchip,37.931084,0.026104,47.019966,True
cwhvm1_pl_hw_h,1,276,0,0,25,300,shape_area_ha,0,0,0,0,True,insufficient_source_stands,,,,False
cwhvm1_pl_hw_l,1,279,0,0,22,300,shape_area_ha,0,0,0,0,True,insufficient_source_stands,,,,False
cwhvm1_pl_l,1,2,0,0,300,326,shape_area_ha,0,0,0,0,True,insufficient_source_stands,,,,False
cwhvm1_pl_sx_l,1,278,0,0,23,300,shape_area_ha,0,0,0,0,True,insufficient_source_stands,,,,False
cwhvm1_pl_yc_l,1,111,0,0,190,300,shape_area_ha,0,0,0,0,True,insufficient_source_stands,,,,False
cwhvm1_pli_at_l,1,39,0,0,262,300,shape_area_ha,0,0,0,0,True,insufficient_source_stands,,,,False
cwhvm1_pli_sx_h,2,280,49,299,23,326,shape_area_ha,0,0,0,0,True,smoothed_bin_pchip,10.268683,0.010866,12.11964,True
cwhvm1_pli_sx_l,2,207,42,299,96,326,shape_area_ha,0,0,0,0,True,smoothed_bin_pchip,8.870367,0.009031,10.012952,True
cwhvm1_pli_sx_m,2,539,49,299,20,300,shape_area_ha,0,0,0,0,True,smoothed_bin_pchip,4.682747,0.006895,2.375957,True
cwhvm1_ss_ba_h,1,259,0,0,42,300,shape_area_ha,0,0,0,0,True,insufficient_source_stands,,,,False
cwhvm1_ss_ba_l,4,880,49,299,16,300,shape_area_ha,0,0,0,0,True,smoothed_bin_pchip,22.624297,0.011933,26.481219,True
cwhvm1_ss_cw_h,9,2199,49,299,14,300,shape_area_ha,0,0,0,0,False,smoothed_bin_pchip,9.737306,0.005179,2.602881,True
cwhvm1_ss_cw_l,12,2520,49,299,22,326,shape_area_ha,0,0,0,0,False,smoothed_bin_pchip,6.267244,0.005819,4.869482,True
cwhvm1_ss_cw_m,4,867,49,299,27,300,shape_area_ha,0,0,0,0,True,smoothed_bin_pchip,15.428056,0.012358,11.62784,True
cwhvm1_ss_dr_h,6,1400,49,299,24,300,shape_area_ha,0,0,0,0,False,smoothed_bin_pchip,11.016393,0.008583,6.849457,True
cwhvm1_ss_dr_l,6,1335,49,299,42,300,shape_area_ha,0,0,0,0,False,smoothed_bin_pchip,6.928329,0.007263,4.929716,True
cwhvm1_ss_dr_m,4,860,49,299,24,300,shape_area_ha,0,0,0,0,True,smoothed_bin_pchip,8.930734,0.009083,8.464767,True
cwhvm1_ss_fdc_l,1,284,0,0,17,300,shape_area_ha,0,0,0,0,True,insufficient_source_stands,,,,False
cwhvm1_ss_h,3,817,49,299,16,300,shape_area_ha,0,0,0,0,True,smoothed_bin_pchip,11.362704,0.005154,5.500751,True
cwhvm1_ss_hw_h,49,10471,49,299,15,326,shape_area_ha,0,0,0,0,False,smoothed_bin_pchip,11.693502,0.006368,6.099111,True
cwhvm1_ss_hw_l,49,10511,49,299,16,376,shape_area_ha,0,0,0,0,False,smoothed_bin_pchip,8.295239,0.006785,5.379744,True
cwhvm1_ss_hw_m,49,11269,49,299,14,385,shape_area_ha,0,0,0,0,False,smoothed_bin_pchip,10.328949,0.007029,7.271173,True
cwhvm1_ss_l,4,317,39,299,113,300,shape_area_ha,0,0,0,0,True,smoothed_bin_pchip,25.799902,0.025793,28.80108,True
cwhvm1_ss_m,3,813,49,299,22,300,shape_area_ha,0,0,0,0,True,smoothed_bin_pchip,5.574436,0.006018,5.084351,True
cwhvm1_sx_bl_l,1,39,0,0,262,300,shape_area_ha,0,0,0,0,True,insufficient_source_stands,,,,False
cwhvm1_yc_ba_h,1,273,0,0,28,300,shape_area_ha,0,0,0,0,True,insufficient_source_stands,,,,False
cwhvm1_yc_ba_l,1,259,0,0,42,300,shape_area_ha,0,0,0,0,True,insufficient_source_stands,,,,False
cwhvm1_yc_cw_h,30,5814,49,299,15,376,shape_area_ha,0,0,0,0,False,smoothed_bin_pchip,31.130792,0.024039,38.269127,True
cwhvm1_yc_cw_l,50,6557,49,299,12,390,shape_area_ha,0,0,0,0,False,smoothed_bin_pchip,83.190068,0.096518,104.233933,True
cwhvm1_yc_cw_m,28,3629,49,299,17,390,shape_area_ha,0,0,0,0,False,smoothed_bin_pchip,71.180994,0.08619,87.39063,True
cwhvm1_yc_fdc_l,1,284,0,0,17,300,shape_area_ha,0,0,0,0,True,insufficient_source_stands,,,,False
cwhvm1_yc_h,4,906,49,299,31,300,shape_area_ha,0,0,0,0,True,smoothed_bin_pchip,12.686367,0.01329,14.756968,True
cwhvm1_yc_hm_h,12,1428,49,299,17,300,shape_area_ha,0,0,0,0,False,smoothed_bin_pchip,47.840048,0.031227,58.851651,True
cwhvm1_yc_hm_l,18,1243,49,299,14,390,shape_area_ha,0,0,0,0,False,smoothed_bin_pchip,72.371287,0.087978,89.923651,True
cwhvm1_yc_hm_m,5,518,27,299,172,376,shape_area_ha,0,0,0,0,False,smoothed_bin_pchip,0.161796,0.000443,0.161796,True
cwhvm1_yc_hw_h,27,5283,49,299,16,376,shape_area_ha,0,0,0,0,False,smoothed_bin_pchip,15.620928,0.014934,17.16244,True
cwhvm1_yc_hw_l,34,4847,49,299,13,376,shape_area_ha,0,0,0,0,False,smoothed_bin_pchip,79.697229,0.062656,99.846006,True
cwhvm1_yc_hw_m,23,3677,49,299,14,376,shape_area_ha,0,0,0,0,False,smoothed_bin_pchip,14.476014,0.017931,16.653921,True
cwhvm1_yc_l,5,722,49,299,23,300,shape_area_ha,0,0,0,0,False,smoothed_bin_pchip,110.470238,0.500815,138.599202,True
cwhvm1_yc_m,1,111,0,0,190,300,shape_area_ha,0,0,0,0,True,insufficient_source_stands,,,,False
cwhvm1_yc_pl_h,5,676,49,299,17,376,shape_area_ha,0,0,0,0,False,smoothed_bin_pchip,23.850653,0.015311,28.978399,True
cwhvm1_yc_pl_l,10,1031,49,299,17,376,shape_area_ha,0,0,0,0,False,smoothed_bin_pchip,47.83324,0.036728,59.141093,True
cwhvm1_yc_pl_m,10,347,23,299,190,376,shape_area_ha,0,0,0,0,False,smoothed_bin_pchip,0.029284,0.000325,0.029284,True
cwhvm2_ba_cw_h,3,843,49,299,20,300,shape_area_ha,0,0,0,0,True,smoothed_bin_pchip,9.444709,0.00566,3.646742,True
cwhvm2_ba_cw_l,3,820,49,299,26,300,shape_area_ha,0,0,0,0,True,smoothed_bin_pchip,6.316979,0.006861,1.909801,True
cwhvm2_ba_cw_m,1,111,0,0,190,300,shape_area_ha,0,0,0,0,True,insufficient_source_stands,,,,False
cwhvm2_ba_dr_l,1,281,0,0,20,300,shape_area_ha,0,0,0,0,True,insufficient_source_stands,,,,False
cwhvm2_ba_hm_h,3,716,49,299,18,300,shape_area_ha,0,0,0,0,True,smoothed_bin_pchip,10.824889,0.00558,0.379842,True
cwhvm2_ba_hm_l,3,241,31,299,150,300,shape_area_ha,0,0,0,0,True,smoothed_bin_pchip,23.300472,0.027736,23.300472,True
cwhvm2_ba_hm_m,3,386,49,299,17,300,shape_area_ha,0,0,0,0,True,smoothed_bin_pchip,73.035385,0.04164,91.149684,True
cwhvm2_ba_hw_h,36,8656,49,299,15,300,shape_area_ha,0,0,0,0,False,smoothed_bin_pchip,8.570388,0.005543,3.974616,True
cwhvm2_ba_hw_l,57,9362,49,299,17,390,shape_area_ha,0,0,0,0,False,smoothed_bin_pchip,8.878469,0.009122,7.503553,True
cwhvm2_ba_hw_m,59,13773,49,299,14,300,shape_area_ha,0,0,0,0,False,smoothed_bin_pchip,8.088925,0.006122,4.043066,True
cwhvm2_ba_yc_h,9,2228,49,299,17,300,shape_area_ha,0,0,0,0,False,smoothed_bin_pchip,9.590603,0.006966,5.402415,True
cwhvm2_ba_yc_l,9,1422,49,299,24,300,shape_area_ha,0,0,0,0,False,smoothed_bin_pchip,11.34354,0.019936,13.201233,True
cwhvm2_ba_yc_m,6,1656,49,299,17,300,shape_area_ha,0,0,0,0,False,smoothed_bin_pchip,7.12568,0.006274,3.062425,True
cwhvm2_cw_ba_l,2,287,49,299,16,326,shape_area_ha,0,0,0,0,True,smoothed_bin_pchip,8.42541,0.005117,4.350888,True
cwhvm2_cw_dr_h,1,261,0,0,40,300,shape_area_ha,0,0,0,0,True,insufficient_source_stands,,,,False
cwhvm2_cw_dr_l,2,527,49,299,35,300,shape_area_ha,0,0,0,0,True,smoothed_bin_pchip,6.087229,0.006366,2.007673,True
cwhvm2_cw_dr_m,2,550,49,299,22,300,shape_area_ha,0,0,0,0,True,smoothed_bin_pchip,8.373812,0.006142,4.790928,True
cwhvm2_cw_fdc_h,1,276,0,0,25,300,shape_area_ha,0,0,0,0,True,insufficient_source_stands,,,,False
cwhvm2_cw_fdc_l,1,270,0,0,31,300,shape_area_ha,0,0,0,0,True,insufficient_source_stands,,,,False
cwhvm2_cw_h,12,2353,49,299,17,326,shape_area_ha,0,0,0,0,False,smoothed_bin_pchip,15.579008,0.01297,16.56638,True
cwhvm2_cw_hm_h,1,2,0,0,362,376,shape_area_ha,0,0,0,0,True,insufficient_source_stands,,,,False
cwhvm2_cw_hm_l,1,101,0,0,200,300,shape_area_ha,0,0,0,0,True,insufficient_source_stands,,,,False
cwhvm2_cw_hw_h,51,10354,49,299,17,376,shape_area_ha,0,0,0,0,False,smoothed_bin_pchip,11.526874,0.011432,11.710335,True
cwhvm2_cw_hw_l,61,7635,49,299,16,376,shape_area_ha,0,0,0,0,False,smoothed_bin_pchip,35.665421,0.030258,44.166387,True
cwhvm2_cw_hw_m,44,5381,49,299,20,390,shape_area_ha,0,0,0,0,False,smoothed_bin_pchip,14.635126,0.018517,17.41865,True
cwhvm2_cw_l,12,1763,49,299,25,326,shape_area_ha,0,0,0,0,False,smoothed_bin_pchip,25.937618,0.026038,31.463281,True
cwhvm2_cw_m,9,1485,49,299,15,326,shape_area_ha,0,0,0,0,False,smoothed_bin_pchip,20.612963,0.018469,25.203075,True
cwhvm2_cw_yc_h,15,2109,49,299,17,376,shape_area_ha,0,0,0,0,False,smoothed_bin_pchip,30.549384,0.02204,37.199657,True
cwhvm2_cw_yc_l,19,2822,49,299,20,326,shape_area_ha,0,0,0,0,False,smoothed_bin_pchip,20.147723,0.028568,23.853453,True
cwhvm2_cw_yc_m,11,943,49,299,17,376,shape_area_ha,0,0,0,0,False,smoothed_bin_pchip,64.559512,0.050338,52.438399,True
cwhvm2_dr_h,4,1064,49,299,16,300,shape_area_ha,0,0,0,0,True,smoothed_bin_pchip,6.048931,0.004836,2.311463,True
cwhvm2_dr_hw_h,3,792,49,299,31,300,shape_area_ha,0,0,0,0,True,smoothed_bin_pchip,1.398202,0.00463,0.720076,True
cwhvm2_dr_hw_l,3,817,49,299,27,300,shape_area_ha,0,0,0,0,True,smoothed_bin_pchip,5.000733,0.007212,2.443972,True
cwhvm2_dr_hw_m,2,552,49,299,25,300,shape_area_ha,0,0,0,0,True,smoothed_bin_pchip,6.247694,0.025835,0.433202,True
cwhvm2_dr_l,4,1064,49,299,30,300,shape_area_ha,0,0,0,0,True,smoothed_bin_pchip,2.609615,0.005772,2.619086,True
cwhvm2_dr_m,2,459,49,299,42,300,shape_area_ha,0,0,0,0,True,smoothed_bin_pchip,6.238866,0.006072,1.600221,True
cwhvm2_fd_h,2,313,49,299,27,300,shape_area_ha,0,0,0,0,True,smoothed_bin_pchip,15.634119,0.014754,19.145731,True
cwhvm2_fd_hw_l,1,39,0,0,262,300,shape_area_ha,0,0,0,0,True,insufficient_source_stands,,,,False
cwhvm2_fd_l,2,78,9,299,262,300,shape_area_ha,0,0,0,0,True,smoothed_bin_pchip,30.077303,0.022403,30.077303,True
cwhvm2_fdc_ba_l,1,286,0,0,15,300,shape_area_ha,0,0,0,0,True,insufficient_source_stands,,,,False
cwhvm2_fdc_cw_l,1,273,0,0,28,300,shape_area_ha,0,0,0,0,True,insufficient_source_stands,,,,False
cwhvm2_fdc_dr_l,1,276,0,0,25,300,shape_area_ha,0,0,0,0,True,insufficient_source_stands,,,,False
cwhvm2_fdc_hw_l,1,281,0,0,20,300,shape_area_ha,0,0,0,0,True,insufficient_source_stands,,,,False
cwhvm2_fdc_l,1,275,0,0,26,300,shape_area_ha,0,0,0,0,True,insufficient_source_stands,,,,False
cwhvm2_fdc_yc_l,1,270,0,0,31,300,shape_area_ha,0,0,0,0,True,insufficient_source_stands,,,,False
cwhvm2_hm_ba_h,7,837,49,299,39,376,shape_area_ha,0,0,0,0,False,smoothed_bin_pchip,5.307527,0.007299,5.752134,True
