mp11_au_code,mp11_feature_id,mp11_tipsy_review_status,mp11_tipsy_comparison_class,vdyp_au_id,vdyp_natural_curve_status,vdyp_selected_path,vdyp_source_stand_count,tipsy_max_volume,vdyp_max_volume,tipsy_to_vdyp_max_ratio,tipsy_age_at_max_volume,vdyp_age_at_max_volume,tipsy_volume_age_100,vdyp_volume_age_100,tipsy_to_vdyp_age_100_ratio,common_age_rmse,common_age_mean_delta,diagnostic_class,review_status,model_input_status,plot_path,plot_exists,plot_size_bytes
Fvm105,611253,tentatively_passed_review,moderate_difference_review_required,cwhvm1_hw_ss_m,selected_curve_family_available,smoothed_bin_pchip,72,1494.9,1193.284,1.253,250,175,1141.0,954.19,1.196,253.463,220.895,tipsy_vdyp_moderate_difference,p10r5_tipsy_vdyp_diagnostic_review_required,not_model_input,plots/mp11_tipsy_vdyp_diagnostics/mp11-fvm105_tipsy-vs-vdyp-cwhvm1-hw-ss-m.png,True,97875
Fvm106,611263,tentatively_passed_review,moderate_difference_review_required,cwhvm1_hw_ss_l,selected_curve_family_available,smoothed_bin_pchip,449,1529.8,1057.283,1.447,310,175,973.8,821.624,1.185,335.933,262.318,tipsy_substantially_above_vdyp,p10r5_tipsy_vdyp_diagnostic_review_required,not_model_input,plots/mp11_tipsy_vdyp_diagnostics/mp11-fvm106_tipsy-vs-vdyp-cwhvm1-hw-ss-l.png,True,98938
Fvm106s,611273,tentatively_passed_review,large_difference_review_required,cwhvm1_cw_hw_h,selected_curve_family_available,smoothed_bin_pchip,694,1462.2,943.689,1.549,260,170,992.3,739.508,1.342,395.184,342.515,tipsy_substantially_above_vdyp,p10r5_tipsy_vdyp_diagnostic_review_required,not_model_input,plots/mp11_tipsy_vdyp_diagnostics/mp11-fvm106s_tipsy-vs-vdyp-cwhvm1-cw-hw-h.png,True,98116
Fvm107,611283,tentatively_passed_review,moderate_difference_review_required,cwhvm1_hw_cw_h,selected_curve_family_available,smoothed_bin_pchip,342,1645.4,1191.464,1.381,230,170,1198.6,949.431,1.262,353.175,311.755,tipsy_substantially_above_vdyp,p10r5_tipsy_vdyp_diagnostic_review_required,not_model_input,plots/mp11_tipsy_vdyp_diagnostics/mp11-fvm107_tipsy-vs-vdyp-cwhvm1-hw-cw-h.png,True,100093
Fvm109,611293,tentatively_passed_review,moderate_difference_review_required,cwhvm1_hw_fdc_l,selected_curve_family_available,smoothed_bin_pchip,108,1560.2,1153.231,1.353,330,170,1045.9,901.54,1.16,288.659,233.772,tipsy_substantially_above_vdyp,p10r5_tipsy_vdyp_diagnostic_review_required,not_model_input,plots/mp11_tipsy_vdyp_diagnostics/mp11-fvm109_tipsy-vs-vdyp-cwhvm1-hw-fdc-l.png,True,98622
Fvm111,611303,tentatively_passed_review,moderate_difference_review_required,cwhvm1_hw_ss_m,selected_curve_family_available,smoothed_bin_pchip,72,1658.5,1193.284,1.39,280,175,1200.4,954.19,1.258,349.988,303.34,tipsy_substantially_above_vdyp,p10r5_tipsy_vdyp_diagnostic_review_required,not_model_input,plots/mp11_tipsy_vdyp_diagnostics/mp11-fvm111_tipsy-vs-vdyp-cwhvm1-hw-ss-m.png,True,98866
Fvm114,611313,tentatively_passed_review,moderate_difference_review_required,cwhvm2_yc_hw_h,selected_curve_family_available,smoothed_bin_pchip,33,1095.4,832.912,1.315,260,180,708.2,662.802,1.068,201.979,149.979,tipsy_vdyp_moderate_difference,p10r5_tipsy_vdyp_diagnostic_review_required,not_model_input,plots/mp11_tipsy_vdyp_diagnostics/mp11-fvm114_tipsy-vs-vdyp-cwhvm2-yc-hw-h.png,True,95042
Fvm131,611323,tentatively_passed_review,large_difference_review_required,cwhvm1_hw_dr_l,selected_curve_family_available,smoothed_bin_pchip,147,1044.5,740.151,1.411,260,155,658.8,611.498,1.077,265.282,197.163,tipsy_substantially_above_vdyp,p10r5_tipsy_vdyp_diagnostic_review_required,not_model_input,plots/mp11_tipsy_vdyp_diagnostics/mp11-fvm131_tipsy-vs-vdyp-cwhvm1-hw-dr-l.png,True,92587
Fvm133,611333,tentatively_passed_review,low_difference,cwhvm1_cw_hw_m,selected_curve_family_available,smoothed_bin_pchip,544,986.5,830.562,1.188,250,165,645.7,648.166,0.996,136.572,89.841,tipsy_vdyp_moderate_difference,p10r5_tipsy_vdyp_diagnostic_review_required,not_model_input,plots/mp11_tipsy_vdyp_diagnostics/mp11-fvm133_tipsy-vs-vdyp-cwhvm1-cw-hw-m.png,True,95807
Fvm201,611343,tentatively_passed_review,large_difference_review_required,cwhvm1_cw_hw_h,selected_curve_family_available,smoothed_bin_pchip,694,1459.3,943.689,1.546,350,170,876.5,739.508,1.185,323.779,264.246,tipsy_substantially_above_vdyp,p10r5_tipsy_vdyp_diagnostic_review_required,not_model_input,plots/mp11_tipsy_vdyp_diagnostics/mp11-fvm201_tipsy-vs-vdyp-cwhvm1-cw-hw-h.png,True,97301
Fvm203,611353,tentatively_passed_review,large_difference_review_required,cwhvm2_cw_hw_m,selected_curve_family_available,smoothed_bin_pchip,44,827.6,696.38,1.188,350,165,403.1,496.435,0.812,136.396,32.568,tipsy_vdyp_moderate_difference,p10r5_tipsy_vdyp_diagnostic_review_required,not_model_input,plots/mp11_tipsy_vdyp_diagnostics/mp11-fvm203_tipsy-vs-vdyp-cwhvm2-cw-hw-m.png,True,105431
Fvm207,611373,tentatively_passed_review,low_difference,cwhvm1_hw_cw_m,selected_curve_family_available,smoothed_bin_pchip,1562,1707.4,1049.39,1.627,330,175,1052.4,813.825,1.293,434.432,363.001,tipsy_substantially_above_vdyp,p10r5_tipsy_vdyp_diagnostic_review_required,not_model_input,plots/mp11_tipsy_vdyp_diagnostics/mp11-fvm207_tipsy-vs-vdyp-cwhvm1-hw-cw-m.png,True,99573
Fvm208,611383,tentatively_passed_review,low_difference,cwhvm1_hw_cw_m,selected_curve_family_available,smoothed_bin_pchip,1562,1707.4,1049.39,1.627,330,175,1052.4,813.825,1.293,434.432,363.001,tipsy_substantially_above_vdyp,p10r5_tipsy_vdyp_diagnostic_review_required,not_model_input,plots/mp11_tipsy_vdyp_diagnostics/mp11-fvm208_tipsy-vs-vdyp-cwhvm1-hw-cw-m.png,True,100166
Fvm211,611393,tentatively_passed_review,large_difference_review_required,cwhvm1_hw_cw_l,selected_curve_family_available,smoothed_bin_pchip,1059,830.4,833.555,0.996,350,170,412.5,635.868,0.649,148.808,-90.761,tipsy_substantially_below_vdyp,p10r5_tipsy_vdyp_diagnostic_review_required,not_model_input,plots/mp11_tipsy_vdyp_diagnostics/mp11-fvm211_tipsy-vs-vdyp-cwhvm1-hw-cw-l.png,True,104040
