period,year,period_width,candidate_period_volume_m3,candidate_annual_volume_m3_per_year,mp11_base_case_m3_per_year,delta_vs_mp11_base_m3_per_year,pct_delta_vs_mp11_base,evidence_strength,candidate_source,mp11_source,notes
0,0,10.0,0.0,0.0,1061600.0,-1061600.0,-100.0,tracked_runtime_output,models/tfl6_patchworks_model_mp11_candidate/analysis/p12_5_harvest_smoke200k/scenario/targetSummary.csv,planning/tfl6_mp11_figure2_review_manifest.json,P12.5 smoke target output; not the maintainer interactive base scenario.
1,10,10.0,14485089.0,1448508.9,1061600.0,386908.8999999999,36.44582705350414,tracked_runtime_output,models/tfl6_patchworks_model_mp11_candidate/analysis/p12_5_harvest_smoke200k/scenario/targetSummary.csv,planning/tfl6_mp11_figure2_review_manifest.json,P12.5 smoke target output; not the maintainer interactive base scenario.
2,20,10.0,14406753.0,1440675.3,1061600.0,379075.30000000005,35.70792200452148,tracked_runtime_output,models/tfl6_patchworks_model_mp11_candidate/analysis/p12_5_harvest_smoke200k/scenario/targetSummary.csv,planning/tfl6_mp11_figure2_review_manifest.json,P12.5 smoke target output; not the maintainer interactive base scenario.
3,30,10.0,14360254.0,1436025.4,1061600.0,374425.3999999999,35.26991333835719,tracked_runtime_output,models/tfl6_patchworks_model_mp11_candidate/analysis/p12_5_harvest_smoke200k/scenario/targetSummary.csv,planning/tfl6_mp11_figure2_review_manifest.json,P12.5 smoke target output; not the maintainer interactive base scenario.
4,40,10.0,14279801.0,1427980.1,1061600.0,366380.1000000001,34.51206669178599,tracked_runtime_output,models/tfl6_patchworks_model_mp11_candidate/analysis/p12_5_harvest_smoke200k/scenario/targetSummary.csv,planning/tfl6_mp11_figure2_review_manifest.json,P12.5 smoke target output; not the maintainer interactive base scenario.
5,50,10.0,14249726.0,1424972.6,1061600.0,363372.6000000001,34.228767897513194,tracked_runtime_output,models/tfl6_patchworks_model_mp11_candidate/analysis/p12_5_harvest_smoke200k/scenario/targetSummary.csv,planning/tfl6_mp11_figure2_review_manifest.json,P12.5 smoke target output; not the maintainer interactive base scenario.
6,60,10.0,14212974.0,1421297.4,1061600.0,359697.3999999999,33.8825734740015,tracked_runtime_output,models/tfl6_patchworks_model_mp11_candidate/analysis/p12_5_harvest_smoke200k/scenario/targetSummary.csv,planning/tfl6_mp11_figure2_review_manifest.json,P12.5 smoke target output; not the maintainer interactive base scenario.
7,70,10.0,14132661.0,1413266.1,1061600.0,351666.1000000001,33.126045591559915,tracked_runtime_output,models/tfl6_patchworks_model_mp11_candidate/analysis/p12_5_harvest_smoke200k/scenario/targetSummary.csv,planning/tfl6_mp11_figure2_review_manifest.json,P12.5 smoke target output; not the maintainer interactive base scenario.
8,80,10.0,14125290.0,1412529.0,1061600.0,350929.0,33.05661266013564,tracked_runtime_output,models/tfl6_patchworks_model_mp11_candidate/analysis/p12_5_harvest_smoke200k/scenario/targetSummary.csv,planning/tfl6_mp11_figure2_review_manifest.json,P12.5 smoke target output; not the maintainer interactive base scenario.
9,90,10.0,14097117.0,1409711.7,1061600.0,348111.69999999995,32.791230218538054,tracked_runtime_output,models/tfl6_patchworks_model_mp11_candidate/analysis/p12_5_harvest_smoke200k/scenario/targetSummary.csv,planning/tfl6_mp11_figure2_review_manifest.json,P12.5 smoke target output; not the maintainer interactive base scenario.
10,100,10.0,14045787.0,1404578.7,1061600.0,342978.69999999995,32.30771477015825,tracked_runtime_output,models/tfl6_patchworks_model_mp11_candidate/analysis/p12_5_harvest_smoke200k/scenario/targetSummary.csv,planning/tfl6_mp11_figure2_review_manifest.json,P12.5 smoke target output; not the maintainer interactive base scenario.
11,110,10.0,13974457.0,1397445.7,1061600.0,335845.69999999995,31.63580444611906,tracked_runtime_output,models/tfl6_patchworks_model_mp11_candidate/analysis/p12_5_harvest_smoke200k/scenario/targetSummary.csv,planning/tfl6_mp11_figure2_review_manifest.json,P12.5 smoke target output; not the maintainer interactive base scenario.
