au_id,stratum_code,selected_top_90_stratum,area_ha,stand_count,bec_group,bec_zone_code,bec_subzone,bec_variant,species_combo,si_class,mean_si,curve_lane,mp11_curve_role,mp11_source_table,phase10_gate,mp11_parameter_status,phase5_natural_curve_available,mp10_fallback_confidence,candidate_future_genetic_gain,dependency_status,review_status,fallback_or_review_note,downstream_use,model_input_status
cwhvm1_hw_cw_m,CWHvm1_HW+CW,True,14576.473609,1602,CWHvm1,CWH,vm,1.0,HW+CW,M,26.405743,natural_unmanaged,natural_or_existing_unmanaged,VDYP 7.33b public natural-stand strategy,p10_4_natural_curve_diagnostics,public_vdyp_curve_available,True,not_applicable,not_applicable,public_vdyp,p10_4_review_required,Existing Phase 5 natural curve available for comparison.,phase10_curve_lane_crosswalk_only,not_model_input
cwhvm1_hw_cw_m,CWHvm1_HW+CW,True,14576.473609,1602,CWHvm1,CWH,vm,1.0,HW+CW,M,26.405743,early_managed,existing managed stands established 1961-2000,Table 54,p10_5_managed_parser_review,parser_review_required,True,high,not_applicable,public_table_fragmented,p10_5_parser_review_required,high-confidence nearest MP10 row by species/SI similarity,phase10_curve_lane_crosswalk_only,not_model_input
cwhvm1_hw_cw_m,CWHvm1_HW+CW,True,14576.473609,1602,CWHvm1,CWH,vm,1.0,HW+CW,M,26.405743,recent_managed,recent managed stands established 2001-2023,Table 55,p10_5_managed_parser_review,parser_review_required,True,medium,not_applicable,public_table_fragmented,p10_5_parser_review_required,"medium-confidence nearest MP10 row; acceptable for planning crosswalk, review before final curve QA",phase10_curve_lane_crosswalk_only,not_model_input
cwhvm1_hw_cw_m,CWHvm1_HW+CW,True,14576.473609,1602,CWHvm1,CWH,vm,1.0,HW+CW,M,26.405743,future_managed,future managed stands,Table 57,p10_5_managed_parser_review,parser_review_required,True,high,Cw=21.0%; Hw low-elevation restricted=1.7%,public_table_fragmented,p10_5_parser_review_required,high-confidence nearest MP10 row by species/SI similarity,phase10_curve_lane_crosswalk_only,not_model_input
cwhvm1_hw_ba_m,CWHvm1_HW+BA,True,13083.871387,1222,CWHvm1,CWH,vm,1.0,HW+BA,M,26.278233,natural_unmanaged,natural_or_existing_unmanaged,VDYP 7.33b public natural-stand strategy,p10_4_natural_curve_diagnostics,public_vdyp_curve_available,True,not_applicable,not_applicable,public_vdyp,p10_4_review_required,Existing Phase 5 natural curve available for comparison.,phase10_curve_lane_crosswalk_only,not_model_input
cwhvm1_hw_ba_m,CWHvm1_HW+BA,True,13083.871387,1222,CWHvm1,CWH,vm,1.0,HW+BA,M,26.278233,early_managed,existing managed stands established 1961-2000,Table 54,p10_5_managed_parser_review,parser_review_required,True,high,not_applicable,public_table_fragmented,p10_5_parser_review_required,high-confidence nearest MP10 row by species/SI similarity,phase10_curve_lane_crosswalk_only,not_model_input
cwhvm1_hw_ba_m,CWHvm1_HW+BA,True,13083.871387,1222,CWHvm1,CWH,vm,1.0,HW+BA,M,26.278233,recent_managed,recent managed stands established 2001-2023,Table 55,p10_5_managed_parser_review,parser_review_required,True,medium,not_applicable,public_table_fragmented,p10_5_parser_review_required,"medium-confidence nearest MP10 row; acceptable for planning crosswalk, review before final curve QA",phase10_curve_lane_crosswalk_only,not_model_input
cwhvm1_hw_ba_m,CWHvm1_HW+BA,True,13083.871387,1222,CWHvm1,CWH,vm,1.0,HW+BA,M,26.278233,future_managed,future managed stands,Table 57,p10_5_managed_parser_review,parser_review_required,True,high,Hw low-elevation restricted=1.7%,public_table_fragmented,p10_5_parser_review_required,high-confidence nearest MP10 row by species/SI similarity,phase10_curve_lane_crosswalk_only,not_model_input
cwhvm1_hw_cw_l,CWHvm1_HW+CW,True,7117.880299,1112,CWHvm1,CWH,vm,1.0,HW+CW,L,16.006294,natural_unmanaged,natural_or_existing_unmanaged,VDYP 7.33b public natural-stand strategy,p10_4_natural_curve_diagnostics,public_vdyp_curve_available,True,not_applicable,not_applicable,public_vdyp,p10_4_review_required,Existing Phase 5 natural curve available for comparison.,phase10_curve_lane_crosswalk_only,not_model_input
cwhvm1_hw_cw_l,CWHvm1_HW+CW,True,7117.880299,1112,CWHvm1,CWH,vm,1.0,HW+CW,L,16.006294,early_managed,existing managed stands established 1961-2000,Table 54,p10_5_managed_parser_review,parser_review_required,True,low,not_applicable,public_table_fragmented,p10_5_parser_review_required,low-confidence nearest MP10 row; review species/SI mismatch before executable BatchTIPSY use,phase10_curve_lane_crosswalk_only,not_model_input
