metric,value
generated_at_utc,2026-06-29T06:29:43+00:00
candidate_bundle_root,data/mp11_harvest_system_model_input_bundle
patchworks_output_root,output/patchworks_tfl6_mp11_harvest_system_candidate
forestmodel_xml,output/patchworks_tfl6_mp11_harvest_system_candidate/forestmodel.xml
fragments_path,output/patchworks_tfl6_mp11_harvest_system_candidate/fragments/fragments.shp
stand_table_rows,25019
stand_clearcut_eligible_rows,22614
harvest_system_eligible_rows,22614
harvest_system_group_rows,25019
checkpoint_rows,25019
fragment_rows,24879
fragment_area_ha,191168.566447
xml_root,ForestModel
xml_select_nodes,5698
xml_treatment_nodes,2442
managed_cc_selects_replaced,814
split_managed_selects,2442
product_cc_selects_replaced,814
split_product_selects,2442
hvsys_selects,2442
matrix_builder,not_performed
runtime_bundle_generation,not_performed
scenario_smoke,not_performed
