feature_id,map_id,polygon_id,area_ha,bec_group,bec_zone_code,bec_subzone,bec_variant,bec_phase,stratum_code,species_combo,estimated_site_index,si_class,au_id,selected_top_90_stratum,for_mgmt_land_base_ind,bclcs_level_1,bclcs_level_2,bclcs_level_3,bclcs_level_4,bclcs_level_5,est_site_index_species_cd,crown_closure,basal_area_75,stems_per_ha_75,est_age_spp1,est_height_spp1,est_age_spp2,est_height_spp2,species_cd_1,species_cd_2,species_cd_3,species_cd_4,species_cd_5,species_cd_6,species_pct_1,species_pct_2,species_pct_3,species_pct_4,species_pct_5,species_pct_6
13528820,092L071,69414155,0.46637,CWHvh1,CWH,vh,1,,CWHvh1_CW+HW,CW+HW,17.0,H,cwhvh1_cw_hw_h,True,Y,V,T,U,TC,OP,CW,45.0,59.61448,443.0,362.0,31.6,362.0,31.6,CW,HW,,,,,70.0,30.0,,,,
13530290,102I080,50125168,1.825827,CWHvh1,CWH,vh,1,,CWHvh1_CW+HW,CW+HW,19.0,H,cwhvh1_cw_hw_h,True,Y,V,T,U,TC,SP,CW,5.0,72.93291,421.0,362.0,29.3,362.0,29.3,CW,HW,,,,,80.0,20.0,,,,
13530593,102I080,6803680,8.417728,CWHvh1,CWH,vh,1,,CWHvh1_CW+HW,CW+HW,17.0,H,cwhvh1_cw_hw_h,True,Y,V,T,U,TC,OP,CW,55.0,83.65299,435.0,362.0,28.0,362.0,28.0,CW,HW,BA,,,,65.0,30.0,5.0,,,
13530596,102I080,45585293,2.869872,CWHvh1,CWH,vh,1,,CWHvh1_CW+HW,CW+HW,17.0,H,cwhvh1_cw_hw_h,True,Y,V,T,U,TC,SP,CW,7.0,51.58912,389.0,362.0,23.9,362.0,23.9,CW,HW,,,,,90.0,10.0,,,,
13530652,102I080,9513651,2.832698,CWHvh1,CWH,vh,1,,CWHvh1_CW+HW,CW+HW,22.0,H,cwhvh1_cw_hw_h,True,Y,V,T,U,TC,OP,CW,40.0,74.88007,322.0,362.0,31.7,362.0,31.7,CW,HW,BA,,,,55.0,25.0,20.0,,,
13530664,102I080,50135231,1.799915,CWHvh1,CWH,vh,1,,CWHvh1_CW+HW,CW+HW,17.0,H,cwhvh1_cw_hw_h,True,Y,V,T,U,TC,OP,CW,50.0,89.28774,299.0,362.0,32.2,362.0,32.2,CW,HW,,,,,65.0,35.0,,,,
16589025,092L041,58688112,2.128173,CWHvh1,CWH,vh,1,,CWHvh1_CW+HW,CW+HW,17.0,H,cwhvh1_cw_hw_h,True,Y,V,T,U,TC,DE,CW,60.0,70.00015,220.0,200.0,33.0,,,CW,HW,BA,,,,80.0,10.0,10.0,,,
16598846,102I080,30762904,6.249684,CWHvh1,CWH,vh,1,,CWHvh1_CW+HW,CW+HW,19.0,H,cwhvh1_cw_hw_h,True,Y,V,T,U,TC,OP,CW,45.0,78.82681,331.0,362.0,35.8,362.0,35.8,CW,HW,BA,,,,60.0,35.0,5.0,,,
16600046,102I060,8854621,5.9174,CWHvh1,CWH,vh,1,,CWHvh1_CW+HW,CW+HW,20.0,H,cwhvh1_cw_hw_h,True,Y,V,N,U,HE,DE,CW,,,1089.0,8.0,2.0,,,CW,HW,,,,,90.0,10.0,,,,
16600051,102I060,75685571,0.76283,CWHvh1,CWH,vh,1,,CWHvh1_CW+HW,CW+HW,24.0,H,cwhvh1_cw_hw_h,True,Y,V,N,U,HE,DE,CW,,,1025.0,7.0,2.0,,,CW,HW,,,,,90.0,10.0,,,,
