feature_id,map_id,polygon_id,area_ha,bec_group,bec_zone_code,bec_subzone,bec_variant,bec_phase,stratum_code,species_combo,estimated_site_index,si_class,au_id,selected_top_90_stratum,for_mgmt_land_base_ind,bclcs_level_1,bclcs_level_2,bclcs_level_3,bclcs_level_4,bclcs_level_5,est_site_index_species_cd,crown_closure,basal_area_75,stems_per_ha_75,est_age_spp1,est_height_spp1,est_age_spp2,est_height_spp2,species_cd_1,species_cd_2,species_cd_3,species_cd_4,species_cd_5,species_cd_6,species_pct_1,species_pct_2,species_pct_3,species_pct_4,species_pct_5,species_pct_6
16600343,102I060,89072775,4.306059,CWHvh1,CWH,vh,1,,CWHvh1_CW+HW,CW+HW,20.0,H,cwhvh1_cw_hw_h,True,Y,V,N,U,SL,DE,CW,,,1800.0,10.0,2.0,,,CW,HW,,,,,90.0,10.0,,,,
16600903,102I060,5504702,11.55379,CWHvh1,CWH,vh,1,,CWHvh1_CW+HW,CW+HW,19.0,H,cwhvh1_cw_hw_h,True,Y,V,T,U,TC,DE,CW,50.0,25.0,1500.0,22.0,6.0,,,CW,HW,DR,,,,50.0,40.0,10.0,,,
16602592,102I060,8224754,2.779459,CWHvh1,CWH,vh,1,,CWHvh1_CW+HW,CW+HW,19.0,H,cwhvh1_cw_hw_h,True,Y,V,T,U,TC,DE,CW,65.0,65.0,810.0,190.0,36.0,,,CW,HW,,,,,65.0,35.0,,,,
16602883,102I060,87355431,3.667872,CWHvh1,CWH,vh,1,,CWHvh1_CW+HW,CW+HW,20.0,H,cwhvh1_cw_hw_h,True,Y,V,T,U,TC,DE,CW,60.0,79.99998,424.0,190.0,38.0,,,CW,HW,,,,,60.0,40.0,,,,
16606859,102I060,82824650,3.921255,CWHvh1,CWH,vh,1,,CWHvh1_CW+HW,CW+HW,17.0,H,cwhvh1_cw_hw_h,True,Y,V,T,U,TC,DE,CW,55.0,75.0,720.0,190.0,33.0,,,CW,HW,,,,,80.0,20.0,,,,
16609285,102I060,88322845,13.512273,CWHvh1,CWH,vh,1,,CWHvh1_CW+HW,CW+HW,24.0,H,cwhvh1_cw_hw_h,True,Y,V,N,U,SL,DE,CW,,,1800.0,10.0,2.0,,,CW,HW,,,,,90.0,10.0,,,,
17357400,102I080,19203292,4.353261,CWHvh1,CWH,vh,1,,CWHvh1_CW+HW,CW+HW,22.0,H,cwhvh1_cw_hw_h,True,Y,V,T,U,TC,OP,CW,45.0,85.08332,385.0,362.0,30.5,362.0,30.5,CW,HW,,,,,55.0,45.0,,,,
17378189,102I060,75683387,5.028505,CWHvh1,CWH,vh,1,,CWHvh1_CW+HW,CW+HW,17.0,H,cwhvh1_cw_hw_h,True,Y,V,T,U,TC,SP,CW,11.0,,2060.0,4.0,0.6,3.0,0.3,CW,HW,YC,,,,70.0,20.0,10.0,,,
17378192,102I060,75953238,3.559971,CWHvh1,CWH,vh,1,,CWHvh1_CW+HW,CW+HW,17.0,H,cwhvh1_cw_hw_h,True,Y,V,T,U,TC,SP,CW,11.0,,2227.0,4.0,0.6,2.0,0.2,CW,HW,,,,,70.0,30.0,,,,
17378198,102I060,72363404,17.627331,CWHvh1,CWH,vh,1,,CWHvh1_CW+HW,CW+HW,17.0,H,cwhvh1_cw_hw_h,True,Y,V,T,U,TC,SP,CW,11.0,,2060.0,4.0,0.6,3.0,0.3,CW,HW,YC,,,,70.0,20.0,10.0,,,
17378199,102I060,73282913,12.554648,CWHvh1,CWH,vh,1,,CWHvh1_CW+HW,CW+HW,17.0,H,cwhvh1_cw_hw_h,True,Y,V,T,U,TC,SP,CW,11.0,,2227.0,4.0,0.6,2.0,0.2,CW,HW,,,,,70.0,30.0,,,,
17405776,092L041,57018142,5.403943,CWHvh1,CWH,vh,1,,CWHvh1_CW+HW,CW+HW,17.0,H,cwhvh1_cw_hw_h,True,Y,V,T,U,TC,DE,CW,60.0,75.00009,179.0,300.0,38.0,,,CW,HW,,,,,60.0,40.0,,,,
17406086,102I060,88582116,6.788916,CWHvh1,CWH,vh,1,,CWHvh1_CW+HW,CW+HW,17.0,H,cwhvh1_cw_hw_h,True,Y,V,T,U,TC,DE,CW,60.0,75.00014,170.0,250.0,37.0,,,CW,HW,,,,,70.0,30.0,,,,
17406090,102I060,86463613,1.258587,CWHvh1,CWH,vh,1,,CWHvh1_CW+HW,CW+HW,18.0,H,cwhvh1_cw_hw_h,True,Y,V,T,U,TC,SP,CW,10.0,,3200.0,11.0,1.8,,,CW,HW,SS,,,,82.0,15.0,3.0,,,
17406094,102I060,82233447,21.003212,CWHvh1,CWH,vh,1,,CWHvh1_CW+HW,CW+HW,20.0,H,cwhvh1_cw_hw_h,True,Y,V,T,U,TC,SP,CW,10.0,,2733.0,11.0,2.3,,,CW,HW,YC,,,,82.0,17.0,1.0,,,
17406096,102I060,84693388,22.315258,CWHvh1,CWH,vh,1,,CWHvh1_CW+HW,CW+HW,20.0,H,cwhvh1_cw_hw_h,True,Y,V,T,U,TC,SP,CW,10.0,,2733.0,11.0,2.3,,,CW,HW,YC,,,,82.0,17.0,1.0,,,
17406097,102I060,86523558,1.779271,CWHvh1,CWH,vh,1,,CWHvh1_CW+HW,CW+HW,20.0,H,cwhvh1_cw_hw_h,True,Y,V,N,U,HE,DE,CW,,,1052.0,2.0,1.0,,,CW,HW,,,,,90.0,10.0,,,,
17406099,102I060,83683498,1.304673,CWHvh1,CWH,vh,1,,CWHvh1_CW+HW,CW+HW,20.0,H,cwhvh1_cw_hw_h,True,Y,V,N,U,HE,DE,CW,,,1052.0,2.0,1.0,,,CW,HW,,,,,90.0,10.0,,,,
17406101,102I060,86303713,3.205475,CWHvh1,CWH,vh,1,,CWHvh1_CW+HW,CW+HW,20.0,H,cwhvh1_cw_hw_h,True,Y,V,T,U,TC,SP,CW,10.0,,2733.0,11.0,2.3,,,CW,HW,YC,,,,82.0,17.0,1.0,,,
17406107,102I060,82833236,1.769718,CWHvh1,CWH,vh,1,,CWHvh1_CW+HW,CW+HW,20.0,H,cwhvh1_cw_hw_h,True,Y,V,T,U,TC,SP,CW,10.0,,2733.0,11.0,2.3,,,CW,HW,YC,,,,82.0,17.0,1.0,,,
17406140,102I060,79811614,1.403809,CWHvh1,CWH,vh,1,,CWHvh1_CW+HW,CW+HW,26.0,H,cwhvh1_cw_hw_h,True,Y,V,T,U,TC,DE,CW,70.0,76.41361,717.0,150.0,38.0,,,CW,HW,BA,SS,,,40.0,30.0,20.0,10.0,,
17406157,102I060,71754477,1.78906,CWHvh1,CWH,vh,1,,CWHvh1_CW+HW,CW+HW,20.0,H,cwhvh1_cw_hw_h,True,Y,V,T,U,TC,DE,CW,40.0,25.0,650.0,30.0,10.1,,,CW,HW,,,,,75.0,25.0,,,,
17406224,102I060,71574443,1.348204,CWHvh1,CWH,vh,1,,CWHvh1_CW+HW,CW+HW,19.0,H,cwhvh1_cw_hw_h,True,Y,V,T,U,TC,DE,CW,50.0,100.00003,549.0,190.0,36.0,,,CW,HW,BA,,,,55.0,35.0,10.0,,,
17406225,102I060,78364271,8.6221,CWHvh1,CWH,vh,1,,CWHvh1_CW+HW,CW+HW,19.0,H,cwhvh1_cw_hw_h,True,Y,V,T,U,TC,DE,CW,50.0,100.00003,549.0,190.0,36.0,,,CW,HW,BA,,,,55.0,35.0,10.0,,,
17406226,102I060,72814253,3.48189,CWHvh1,CWH,vh,1,,CWHvh1_CW+HW,CW+HW,31.0,H,cwhvh1_cw_hw_h,True,Y,V,T,U,TC,OP,CW,31.0,,5200.0,8.0,1.5,8.0,3.2,CW,HW,,,,,90.0,10.0,,,,
17406762,102I060,73723579,7.212072,CWHvh1,CWH,vh,1,,CWHvh1_CW+HW,CW+HW,20.0,H,cwhvh1_cw_hw_h,True,Y,V,T,U,TC,OP,CW,45.0,81.45761,487.0,180.0,38.0,,,CW,HW,,,,,70.0,30.0,,,,
17406765,102I060,73013857,1.056394,CWHvh1,CWH,vh,1,,CWHvh1_CW+HW,CW+HW,20.0,H,cwhvh1_cw_hw_h,True,Y,V,T,U,TC,DE,CW,40.0,70.0,620.0,190.0,38.0,,,CW,HW,,,,,65.0,35.0,,,,
17406767,102I060,74993358,5.706618,CWHvh1,CWH,vh,1,,CWHvh1_CW+HW,CW+HW,17.0,H,cwhvh1_cw_hw_h,True,Y,V,T,U,TC,DE,CW,60.0,75.00014,180.0,250.0,36.0,,,CW,HW,,,,,70.0,30.0,,,,
17408743,102I060,80114112,0.990273,CWHvh1,CWH,vh,1,,CWHvh1_CW+HW,CW+HW,25.0,H,cwhvh1_cw_hw_h,True,Y,V,T,U,TC,SP,CW,11.0,,1440.0,8.0,2.6,8.0,3.0,CW,HW,,,,,90.0,10.0,,,,
17408744,102I060,80373992,3.774071,CWHvh1,CWH,vh,1,,CWHvh1_CW+HW,CW+HW,25.0,H,cwhvh1_cw_hw_h,True,Y,V,T,U,TC,SP,CW,11.0,,1400.0,8.0,2.2,8.0,4.3,CW,HW,,,,,60.0,40.0,,,,
17408746,102I060,81334085,6.680948,CWHvh1,CWH,vh,1,,CWHvh1_CW+HW,CW+HW,28.0,H,cwhvh1_cw_hw_h,True,Y,V,T,U,TC,DE,CW,80.0,89.06016,714.0,251.0,36.0,,,CW,HW,BA,,,,59.0,28.0,13.0,,,
17410233,102I060,83575454,1.772859,CWHvh1,CWH,vh,1,,CWHvh1_CW+HW,CW+HW,23.0,H,cwhvh1_cw_hw_h,True,Y,V,T,U,TC,DE,CW,55.0,90.0,550.0,190.0,44.0,,,CW,HW,,,,,60.0,40.0,,,,
17412850,102I060,9091864,10.73082,CWHvh1,CWH,vh,1,,CWHvh1_CW+HW,CW+HW,30.0,H,cwhvh1_cw_hw_h,True,Y,V,T,U,TC,DE,CW,45.0,2.0,600.0,15.0,6.0,,,CW,HW,,,,,60.0,40.0,,,,
17412856,102I060,7211462,40.499395,CWHvh1,CWH,vh,1,,CWHvh1_CW+HW,CW+HW,30.0,H,cwhvh1_cw_hw_h,True,Y,V,T,U,TC,DE,CW,50.0,2.0,600.0,15.0,6.0,,,CW,HW,,,,,60.0,40.0,,,,
17414326,102I060,19750368,1.104171,CWHvh1,CWH,vh,1,,CWHvh1_CW+HW,CW+HW,23.0,H,cwhvh1_cw_hw_h,True,Y,V,T,U,TC,OP,CW,45.0,,4080.0,10.0,2.3,,,CW,HW,,,,,90.0,10.0,,,,
17414331,102I060,18670449,3.544309,CWHvh1,CWH,vh,1,,CWHvh1_CW+HW,CW+HW,23.0,H,cwhvh1_cw_hw_h,True,Y,V,T,U,TC,OP,CW,45.0,,4080.0,10.0,2.3,,,CW,HW,,,,,90.0,10.0,,,,
17420247,102I060,76775319,4.290239,CWHvh1,CWH,vh,1,,CWHvh1_CW+HW,CW+HW,20.0,H,cwhvh1_cw_hw_h,True,Y,V,N,U,HE,DE,CW,,,2160.0,10.0,3.0,,,CW,HW,,,,,60.0,40.0,,,,
17420248,102I060,79795350,11.092568,CWHvh1,CWH,vh,1,,CWHvh1_CW+HW,CW+HW,23.0,H,cwhvh1_cw_hw_h,True,Y,V,T,U,TC,DE,CW,50.0,85.0,530.0,190.0,44.0,,,CW,HW,,,,,70.0,30.0,,,,
17420251,102I060,78655266,33.838077,CWHvh1,CWH,vh,1,,CWHvh1_CW+HW,CW+HW,23.0,H,cwhvh1_cw_hw_h,True,Y,V,T,U,TC,SP,CW,11.0,,1373.0,2.0,0.5,2.0,0.4,CW,HW,,,,,80.0,20.0,,,,
17999432,092L061,5151818,9.454775,CWHvh1,CWH,vh,1,,CWHvh1_CW+HW,CW+HW,23.0,H,cwhvh1_cw_hw_h,True,Y,V,T,U,TC,SP,CW,25.0,,3356.0,6.0,1.2,6.0,1.4,CW,HW,TW,,,,70.0,20.0,10.0,,,
18003149,102I080,5253474,1.490053,CWHvh1,CWH,vh,1,,CWHvh1_CW+HW,CW+HW,17.0,H,cwhvh1_cw_hw_h,True,Y,V,T,U,TC,OP,CW,45.0,62.47932,368.0,362.0,26.2,362.0,26.2,CW,HW,,,,,65.0,35.0,,,,
18003150,102I080,9693210,45.273883,CWHvh1,CWH,vh,1,,CWHvh1_CW+HW,CW+HW,24.0,H,cwhvh1_cw_hw_h,True,Y,V,T,U,TC,SP,,15.0,,,13.0,2.7,13.0,4.0,CW,HW,,,,,50.1,49.9,,,,
18008740,102I080,39843237,4.157569,CWHvh1,CWH,vh,1,,CWHvh1_CW+HW,CW+HW,20.0,H,cwhvh1_cw_hw_h,True,Y,V,T,U,TC,OP,CW,50.0,,4500.0,12.0,2.8,10.0,2.6,CW,HW,DR,,,,60.0,35.0,5.0,,,
18008743,102I080,40063328,4.536516,CWHvh1,CWH,vh,1,,CWHvh1_CW+HW,CW+HW,20.0,H,cwhvh1_cw_hw_h,True,Y,V,T,U,TC,OP,CW,40.0,,5000.0,10.0,2.3,10.0,2.5,CW,HW,DR,,,,70.0,29.0,1.0,,,
18008750,102I080,41283386,1.597715,CWHvh1,CWH,vh,1,,CWHvh1_CW+HW,CW+HW,20.0,H,cwhvh1_cw_hw_h,True,Y,V,T,U,TC,OP,CW,50.0,53.531498,339.0,362.0,37.3,362.0,37.3,CW,HW,BA,SS,,,70.0,20.0,5.0,5.0,,
18008799,102I080,26103651,3.1314,CWHvh1,CWH,vh,1,,CWHvh1_CW+HW,CW+HW,17.0,H,cwhvh1_cw_hw_h,True,Y,V,T,U,TC,DE,CW,65.0,86.97642,332.0,362.0,33.8,362.0,33.8,CW,HW,BA,,,,65.0,30.0,5.0,,,
18012570,102I080,45073585,2.206356,CWHvh1,CWH,vh,1,,CWHvh1_CW+HW,CW+HW,23.0,H,cwhvh1_cw_hw_h,True,Y,V,T,U,TC,SP,CW,20.0,,2400.0,11.0,2.3,8.0,2.1,CW,HW,YC,,,,60.0,30.0,10.0,,,
18014170,102I059,65993415,5.070345,CWHvh1,CWH,vh,1,,CWHvh1_CW+HW,CW+HW,17.0,H,cwhvh1_cw_hw_h,True,Y,V,T,U,TC,DE,CW,50.0,70.0,549.0,190.0,32.0,,,CW,HW,SS,,,,50.0,40.0,10.0,,,
18021698,102I060,88311324,4.593566,CWHvh1,CWH,vh,1,,CWHvh1_CW+HW,CW+HW,27.0,H,cwhvh1_cw_hw_h,True,Y,V,T,U,TC,OP,CW,30.0,,5750.0,11.0,2.4,9.0,2.9,CW,HW,SS,,,,50.0,40.0,10.0,,,
18025996,102I059,66504192,1.685245,CWHvh1,CWH,vh,1,,CWHvh1_CW+HW,CW+HW,27.0,H,cwhvh1_cw_hw_h,True,Y,V,T,U,TC,OP,CW,50.0,,8000.0,7.0,1.5,7.0,2.4,CW,HW,SS,,,,50.0,40.0,10.0,,,
18028898,102I060,2232321,4.077629,CWHvh1,CWH,vh,1,,CWHvh1_CW+HW,CW+HW,27.0,H,cwhvh1_cw_hw_h,True,Y,V,T,U,TC,SP,CW,20.0,,4400.0,10.0,1.8,8.0,2.3,CW,HW,,,,,70.0,30.0,,,,
18029147,102I060,94432160,12.708328,CWHvh1,CWH,vh,1,,CWHvh1_CW+HW,CW+HW,20.0,H,cwhvh1_cw_hw_h,True,Y,V,T,U,TC,SP,CW,15.0,,2200.0,10.0,1.5,9.0,2.0,CW,HW,,,,,60.0,40.0,,,,
18030489,102I060,99221419,30.776371,CWHvh1,CWH,vh,1,,CWHvh1_CW+HW,CW+HW,20.0,H,cwhvh1_cw_hw_h,True,Y,V,T,U,TC,SP,CW,11.0,,2050.0,9.0,1.3,8.0,1.7,CW,HW,,,,,70.0,30.0,,,,
18030558,102I070,12552456,3.452594,CWHvh1,CWH,vh,1,,CWHvh1_CW+HW,CW+HW,17.0,H,cwhvh1_cw_hw_h,True,Y,V,T,U,TC,DE,CW,45.0,70.0001,219.0,190.0,33.0,,,CW,HW,BA,,,,50.0,30.0,20.0,,,
18099690,092L071,95282757,2.506854,CWHvh1,CWH,vh,1,,CWHvh1_CW+HW,CW+HW,18.0,H,cwhvh1_cw_hw_h,True,Y,V,T,U,TC,OP,CW,50.0,55.791443,382.0,362.0,27.1,362.0,27.1,CW,HW,BA,,,,50.0,40.0,10.0,,,
18553248,102I070,8372586,25.398216,CWHvh1,CWH,vh,1,,CWHvh1_CW+HW,CW+HW,20.0,H,cwhvh1_cw_hw_h,True,Y,V,N,U,HE,OP,CW,,,0.0,13.0,2.0,,,CW,HW,,,,,50.0,50.0,,,,
18553311,102I070,3562053,0.307464,CWHvh1,CWH,vh,1,,CWHvh1_CW+HW,CW+HW,24.0,H,cwhvh1_cw_hw_h,True,Y,V,T,U,TC,OP,CW,40.0,25.00035,2000.0,25.0,10.0,25.0,13.0,CW,HW,SS,DR,,,50.0,30.0,10.0,10.0,,
19078854,102I080,15374132,11.27745,CWHvh1,CWH,vh,1,,CWHvh1_CW+HW,CW+HW,20.0,H,cwhvh1_cw_hw_h,True,Y,V,T,U,TC,OP,CW,30.0,10.0,1500.0,25.0,8.0,25.0,9.5,CW,HW,DR,,,,50.0,25.0,25.0,,,
19079136,102I080,3653448,0.365666,CWHvh1,CWH,vh,1,,CWHvh1_CW+HW,CW+HW,17.0,H,cwhvh1_cw_hw_h,True,Y,V,T,U,TC,OP,CW,45.0,78.379036,424.0,362.0,28.2,362.0,28.2,CW,HW,BA,SS,,,55.0,35.0,7.0,3.0,,
19079471,102I080,14863983,2.995554,CWHvh1,CWH,vh,1,,CWHvh1_CW+HW,CW+HW,20.0,H,cwhvh1_cw_hw_h,True,Y,V,T,U,TC,SP,CW,25.0,5.0,1500.0,25.0,8.0,25.0,9.5,CW,HW,DR,,,,50.0,40.0,10.0,,,
19079660,102I080,44935300,2.009198,CWHvh1,CWH,vh,1,,CWHvh1_CW+HW,CW+HW,20.0,H,cwhvh1_cw_hw_h,True,Y,V,T,U,TC,SP,CW,10.0,85.8006,480.0,362.0,28.7,362.0,28.7,CW,HW,,,,,65.0,35.0,,,,
19079966,102I080,5033796,8.488309,CWHvh1,CWH,vh,1,,CWHvh1_CW+HW,CW+HW,17.0,H,cwhvh1_cw_hw_h,True,Y,V,T,U,TC,OP,CW,55.0,75.84118,503.0,362.0,25.0,362.0,25.0,CW,HW,,,,,80.0,20.0,,,,
19080419,092L071,303030,0.773964,CWHvh1,CWH,vh,1,,CWHvh1_CW+HW,CW+HW,20.0,H,cwhvh1_cw_hw_h,True,Y,V,T,U,TC,OP,CW,50.0,60.93595,340.0,362.0,30.1,362.0,30.1,CW,HW,BA,,,,55.0,40.0,5.0,,,
19080509,092L071,98163347,4.862759,CWHvh1,CWH,vh,1,,CWHvh1_CW+HW,CW+HW,20.0,H,cwhvh1_cw_hw_h,True,Y,V,T,U,TC,SP,CW,15.0,1.0,3838.0,7.0,1.6,7.0,1.4,CW,HW,YC,,,,60.0,30.0,10.0,,,
19080518,092L071,72064425,0.396837,CWHvh1,CWH,vh,1,,CWHvh1_CW+HW,CW+HW,24.0,H,cwhvh1_cw_hw_h,True,Y,V,T,U,TC,SP,,18.0,,,8.0,1.8,8.0,1.8,CW,HW,,,,,70.0,30.0,,,,
19080634,092L071,143241,1.071717,CWHvh1,CWH,vh,1,,CWHvh1_CW+HW,CW+HW,20.0,H,cwhvh1_cw_hw_h,True,Y,V,T,U,TC,SP,CW,11.0,,3838.0,7.0,1.6,7.0,1.4,CW,HW,YC,,,,60.0,30.0,10.0,,,
19080777,092L071,4332667,0.342653,CWHvh1,CWH,vh,1,,CWHvh1_CW+HW,CW+HW,19.0,H,cwhvh1_cw_hw_h,True,Y,V,T,U,TC,SP,CW,11.0,,3262.0,11.0,1.6,9.0,2.0,CW,HW,,,,,90.0,10.0,,,,
19080921,092L071,71934965,3.919426,CWHvh1,CWH,vh,1,,CWHvh1_CW+HW,CW+HW,17.0,H,cwhvh1_cw_hw_h,True,Y,V,T,U,TC,OP,CW,50.0,94.09192,366.0,362.0,32.6,362.0,32.6,CW,HW,BA,,,,55.0,40.0,5.0,,,
19080968,092L071,133200,2.642606,CWHvh1,CWH,vh,1,,CWHvh1_CW+HW,CW+HW,20.0,H,cwhvh1_cw_hw_h,True,Y,V,T,U,TC,OP,CW,50.0,65.62143,272.0,362.0,32.5,362.0,32.5,CW,HW,BA,,,,55.0,40.0,5.0,,,
19080985,092L071,1043084,1.317066,CWHvh1,CWH,vh,1,,CWHvh1_CW+HW,CW+HW,20.0,H,cwhvh1_cw_hw_h,True,Y,V,T,U,TC,SP,CW,20.0,1.0,3838.0,7.0,1.6,7.0,1.4,CW,HW,YC,,,,60.0,30.0,10.0,,,
19081057,092L071,1533001,0.565203,CWHvh1,CWH,vh,1,,CWHvh1_CW+HW,CW+HW,20.0,H,cwhvh1_cw_hw_h,True,Y,V,T,U,TC,SP,CW,15.0,1.0,3838.0,7.0,1.6,7.0,1.4,CW,HW,YC,,,,60.0,30.0,10.0,,,
19081093,092L071,393345,6.472957,CWHvh1,CWH,vh,1,,CWHvh1_CW+HW,CW+HW,20.0,H,cwhvh1_cw_hw_h,True,Y,V,T,U,TC,SP,CW,15.0,1.0,3838.0,7.0,1.6,7.0,1.4,CW,HW,YC,,,,60.0,30.0,10.0,,,
19081306,092L071,99833118,5.951879,CWHvh1,CWH,vh,1,,CWHvh1_CW+HW,CW+HW,20.0,H,cwhvh1_cw_hw_h,True,Y,V,T,U,TC,SP,CW,11.0,,3838.0,7.0,1.6,7.0,1.4,CW,HW,YC,,,,60.0,30.0,10.0,,,
19081617,092L071,3642702,4.286179,CWHvh1,CWH,vh,1,,CWHvh1_CW+HW,CW+HW,19.0,H,cwhvh1_cw_hw_h,True,Y,V,T,U,TC,SP,CW,20.0,5.0,3262.0,21.0,5.0,19.0,6.2,CW,HW,,,,,90.0,10.0,,,,
19211671,092L061,6142127,10.791055,CWHvh1,CWH,vh,1,,CWHvh1_CW+HW,CW+HW,20.0,H,cwhvh1_cw_hw_h,True,Y,V,T,U,TC,OP,CW,50.0,81.3746,382.0,362.0,30.6,362.0,30.6,CW,HW,,,,,55.0,45.0,,,,
19211891,092L061,6892126,1.183385,CWHvh1,CWH,vh,1,,CWHvh1_CW+HW,CW+HW,19.0,H,cwhvh1_cw_hw_h,True,Y,V,T,U,TC,SP,CW,11.0,,2880.0,11.0,1.7,8.0,1.7,CW,HW,,,,,90.0,10.0,,,,
19212632,092L061,4302394,10.796089,CWHvh1,CWH,vh,1,,CWHvh1_CW+HW,CW+HW,19.0,H,cwhvh1_cw_hw_h,True,Y,V,T,U,TC,SP,CW,11.0,,3262.0,11.0,1.6,9.0,2.0,CW,HW,,,,,90.0,10.0,,,,
19212652,092L061,3602497,23.631195,CWHvh1,CWH,vh,1,,CWHvh1_CW+HW,CW+HW,19.0,H,cwhvh1_cw_hw_h,True,Y,V,T,U,TC,SP,CW,11.0,,2880.0,11.0,1.7,8.0,1.7,CW,HW,,,,,90.0,10.0,,,,
19329286,102I060,94115781,28.101349,CWHvh1,CWH,vh,1,,CWHvh1_CW+HW,CW+HW,20.0,H,cwhvh1_cw_hw_h,True,Y,V,N,U,HE,DE,CW,,,3482.0,9.0,2.0,,,CW,HW,,,,,80.0,20.0,,,,
19329340,102I060,90625693,7.926756,CWHvh1,CWH,vh,1,,CWHvh1_CW+HW,CW+HW,18.0,H,cwhvh1_cw_hw_h,True,Y,V,T,U,TC,DE,CW,60.0,74.999985,670.0,190.0,35.0,,,CW,HW,,,,,75.0,25.0,,,,
19329353,102I060,14750059,0.00938,CWHvh1,CWH,vh,1,,CWHvh1_CW+HW,CW+HW,24.0,H,cwhvh1_cw_hw_h,True,Y,V,T,U,TC,OP,CW,40.0,71.64154,501.0,250.0,37.0,,,CW,HW,BA,,,,40.1,39.9,20.0,,,
19329431,102I060,9444804,0.466012,CWHvh1,CWH,vh,1,,CWHvh1_CW+HW,CW+HW,20.0,H,cwhvh1_cw_hw_h,True,Y,V,T,U,TC,DE,CW,50.0,64.99999,675.0,190.0,38.0,,,CW,HW,,,,,65.0,35.0,,,,
19329550,102I060,90015624,2.751365,CWHvh1,CWH,vh,1,,CWHvh1_CW+HW,CW+HW,20.0,H,cwhvh1_cw_hw_h,True,Y,V,T,U,TC,DE,CW,60.0,85.00016,520.0,190.0,38.0,,,CW,HW,BA,,,,50.0,40.0,10.0,,,
