source_au_id,canonical_curve_au_id,selected_top_90_stratum,lexmatch_alias_used,source_stratum_code,canonical_stratum_code,source_si_class,canonical_si_class,source_bec_group,canonical_bec_group,source_species_combo,canonical_species_combo,stand_count,area_ha,canonical_selected_area_ha
cwhvm1_hw_cw_m,cwhvm1_hw_cw_m,True,False,CWHvm1_HW+CW,CWHvm1_HW+CW,M,M,CWHvm1,CWHvm1,HW+CW,HW+CW,1602,14576.473609,14576.473609
cwhvm1_hw_ba_m,cwhvm1_hw_ba_m,True,False,CWHvm1_HW+BA,CWHvm1_HW+BA,M,M,CWHvm1,CWHvm1,HW+BA,HW+BA,1222,13083.871387,13083.871387
cwhvm1_hw_cw_l,cwhvm1_hw_cw_l,True,False,CWHvm1_HW+CW,CWHvm1_HW+CW,L,L,CWHvm1,CWHvm1,HW+CW,HW+CW,1112,7117.880299,7117.880299
cwhvm1_hw_ba_h,cwhvm1_hw_ba_h,True,False,CWHvm1_HW+BA,CWHvm1_HW+BA,H,H,CWHvm1,CWHvm1,HW+BA,HW+BA,531,6336.709216,6336.709216
cwhvm1_hw_ba_l,cwhvm1_hw_ba_l,True,False,CWHvm1_HW+BA,CWHvm1_HW+BA,L,L,CWHvm1,CWHvm1,HW+BA,HW+BA,952,6328.040635,6328.040635
cwhvm1_cw_hw_h,cwhvm1_cw_hw_h,True,False,CWHvm1_CW+HW,CWHvm1_CW+HW,H,H,CWHvm1,CWHvm1,CW+HW,CW+HW,717,6154.404369,6154.404369
cwhvm1_cw_hw_l,cwhvm1_cw_hw_l,True,False,CWHvm1_CW+HW,CWHvm1_CW+HW,L,L,CWHvm1,CWHvm1,CW+HW,CW+HW,927,6107.943901,6107.943901
cwhvm1_hw_m,cwhvm1_hw_m,True,False,CWHvm1_HW,CWHvm1_HW,M,M,CWHvm1,CWHvm1,HW,HW,448,4138.939451,4138.939451
cwhvm1_hw_ss_l,cwhvm1_hw_ss_l,True,False,CWHvm1_HW+SS,CWHvm1_HW+SS,L,L,CWHvm1,CWHvm1,HW+SS,HW+SS,463,4135.63912,4135.63912
cwhvm1_cw_hw_m,cwhvm1_cw_hw_m,True,False,CWHvm1_CW+HW,CWHvm1_CW+HW,M,M,CWHvm1,CWHvm1,CW+HW,CW+HW,568,4015.120247,4015.120247
cwhvm2_hw_ba_h,cwhvm2_hw_ba_h,True,False,CWHvm2_HW+BA,CWHvm2_HW+BA,H,H,CWHvm2,CWHvm2,HW+BA,HW+BA,326,3577.020254,3577.020254
cwhvm2_hw_ba_l,cwhvm2_hw_ba_l,True,False,CWHvm2_HW+BA,CWHvm2_HW+BA,L,L,CWHvm2,CWHvm2,HW+BA,HW+BA,448,3095.371233,3095.371233
cwhvm1_hw_cw_h,cwhvm1_hw_cw_h,True,False,CWHvm1_HW+CW,CWHvm1_HW+CW,H,H,CWHvm1,CWHvm1,HW+CW,HW+CW,349,2899.431292,2899.431292
cwhvm2_hw_ba_m,cwhvm2_hw_ba_m,True,False,CWHvm2_HW+BA,CWHvm2_HW+BA,M,M,CWHvm2,CWHvm2,HW+BA,HW+BA,304,2418.081584,2418.081584
cwhvm1_hw_ss_h,cwhvm1_hw_ss_h,True,False,CWHvm1_HW+SS,CWHvm1_HW+SS,H,H,CWHvm1,CWHvm1,HW+SS,HW+SS,236,2240.217819,2240.217819
cwhvm1_hw_h,cwhvm1_hw_h,True,False,CWHvm1_HW,CWHvm1_HW,H,H,CWHvm1,CWHvm1,HW,HW,223,1645.046704,1645.046704
cwhvm1_hw_l,cwhvm1_hw_l,True,False,CWHvm1_HW,CWHvm1_HW,L,L,CWHvm1,CWHvm1,HW,HW,375,1582.40532,1582.40532
cwhvm1_cw_h,cwhvm1_cw_h,True,False,CWHvm1_CW,CWHvm1_CW,H,H,CWHvm1,CWHvm1,CW,CW,131,1331.281287,1331.281287
cwhvm1_cw_yc_l,cwhvm1_cw_yc_l,True,False,CWHvm1_CW+YC,CWHvm1_CW+YC,L,L,CWHvm1,CWHvm1,CW+YC,CW+YC,93,1293.870013,1293.870013
cwhvm1_hw_fdc_l,cwhvm1_hw_fdc_l,True,False,CWHvm1_HW+FDC,CWHvm1_HW+FDC,L,L,CWHvm1,CWHvm1,HW+FDC,HW+FDC,110,1288.9352,1288.9352
cwhvm1_hw_dr_m,cwhvm1_hw_dr_m,True,False,CWHvm1_HW+DR,CWHvm1_HW+DR,M,M,CWHvm1,CWHvm1,HW+DR,HW+DR,148,1157.28499,1157.28499
