mp11_au_code,mp11_feature_id,mp11_curve_lane,mp11_thlb_area_ha,phase5_au_id,phase5_feature_id,phase5_stratum_code,phase5_match_confidence,species_overlap_ratio,mean_si_abs_diff,max_volume_pct_delta,volume_age_100_pct_delta,mp11_volume_age_100,phase5_volume_age_100,comparison_class,review_status,model_input_status,plot_path,plot_exists,plot_size_bytes
FMH01,611403,future_managed,939.0,cwhvm2_hw_ba_l,600123,CWHvm2_HW+BA,medium,0.667,0.44,-41.577,-52.841,316.2,670.5,large_difference_review_required,tentatively_passed_review,not_model_input,plots/mp11_managed_curve_comparison/mp11-fmh01_vs_phase5-cwhvm2-hw-ba-l.png,True,94035
FMH22,611413,future_managed,216.0,cwhvm2_hw_ba_l,600123,CWHvm2_HW+BA,medium,0.667,0.44,-42.599,-57.942,282.0,670.5,large_difference_review_required,tentatively_passed_review,not_model_input,plots/mp11_managed_curve_comparison/mp11-fmh22_vs_phase5-cwhvm2-hw-ba-l.png,True,94772
Fvh101,611143,future_managed,1604.0,cwhvh1_cw_hw_m,600283,CWHvh1_CW+HW,medium,0.667,0.279,-29.728,-26.199,464.8,629.8,large_difference_review_required,tentatively_passed_review,not_model_input,plots/mp11_managed_curve_comparison/mp11-fvh101_vs_phase5-cwhvh1-cw-hw-m.png,True,92236
Fvh103,611153,future_managed,294.0,cwhvh1_cw_hw_l,600233,CWHvh1_CW+HW,medium,0.4,3.739,-79.824,-88.869,70.1,629.8,large_difference_review_required,tentatively_passed_review,not_model_input,plots/mp11_managed_curve_comparison/mp11-fvh103_vs_phase5-cwhvh1-cw-hw-l.png,True,84563
Fvh108,611193,future_managed,57.0,cwhvh1_hw_cw_h,600313,CWHvh1_HW+CW,high,0.4,0.427,-30.281,-15.98,903.3,1075.1,large_difference_review_required,tentatively_passed_review,not_model_input,plots/mp11_managed_curve_comparison/mp11-fvh108_vs_phase5-cwhvh1-hw-cw-h.png,True,92535
Fvh113,611203,future_managed,508.0,cwhvh1_cw_hw_m,600283,CWHvh1_CW+HW,medium,0.5,0.279,-31.312,-27.644,455.7,629.8,large_difference_review_required,tentatively_passed_review,not_model_input,plots/mp11_managed_curve_comparison/mp11-fvh113_vs_phase5-cwhvh1-cw-hw-m.png,True,91609
Fvm101s,611223,future_managed,11015.0,cwhvm1_cw_hw_h,600063,CWHvm1_CW+HW,medium,1.0,0.426,30.928,53.668,967.8,629.8,large_difference_review_required,tentatively_passed_review,not_model_input,plots/mp11_managed_curve_comparison/mp11-fvm101s_vs_phase5-cwhvm1-cw-hw-h.png,True,94896
Fvm103,611233,future_managed,3659.0,cwhvm2_yc_hw_h,600563,CWHvm2_YC+HW,medium,0.5,0.681,-25.247,-4.497,601.0,629.3,large_difference_review_required,tentatively_passed_review,not_model_input,plots/mp11_managed_curve_comparison/mp11-fvm103_vs_phase5-cwhvm2-yc-hw-h.png,True,93320
Fvm106s,611273,future_managed,336.0,cwhvm1_cw_hw_h,600063,CWHvm1_CW+HW,medium,1.0,0.206,33.913,57.558,992.3,629.8,large_difference_review_required,tentatively_passed_review,not_model_input,plots/mp11_managed_curve_comparison/mp11-fvm106s_vs_phase5-cwhvm1-cw-hw-h.png,True,96058
Fvm131,611323,future_managed,75.0,cwhvm1_hw_dr_l,600253,CWHvm1_HW+DR,low,0.4,0.651,-47.183,-40.364,658.8,1104.7,large_difference_review_required,tentatively_passed_review,not_model_input,plots/mp11_managed_curve_comparison/mp11-fvm131_vs_phase5-cwhvm1-hw-dr-l.png,True,93863
Fvm201,611343,future_managed,14134.0,cwhvm1_cw_hw_h,600063,CWHvm1_CW+HW,medium,0.4,0.329,33.648,39.171,876.5,629.8,large_difference_review_required,tentatively_passed_review,not_model_input,plots/mp11_managed_curve_comparison/mp11-fvm201_vs_phase5-cwhvm1-cw-hw-h.png,True,95996
Fvm203,611353,future_managed,890.0,cwhvm2_cw_hw_m,600703,CWHvm2_CW+HW,medium,0.5,0.138,-24.206,-35.996,403.1,629.8,large_difference_review_required,tentatively_passed_review,not_model_input,plots/mp11_managed_curve_comparison/mp11-fvm203_vs_phase5-cwhvm2-cw-hw-m.png,True,94954
Fvm211,611393,future_managed,245.0,cwhvm1_hw_cw_l,600033,CWHvm1_HW+CW,low,0.5,0.226,-55.667,-61.631,412.5,1075.1,large_difference_review_required,tentatively_passed_review,not_model_input,plots/mp11_managed_curve_comparison/mp11-fvm211_vs_phase5-cwhvm1-hw-cw-l.png,True,92172
Fvm133,611333,future_managed,49.0,cwhvm1_cw_hw_m,600103,CWHvm1_CW+HW,medium,0.5,1.224,-9.653,2.525,645.7,629.8,low_difference,tentatively_passed_review,not_model_input,plots/mp11_managed_curve_comparison/mp11-fvm133_vs_phase5-cwhvm1-cw-hw-m.png,True,90342
Fvm207,611373,future_managed,70.0,cwhvm1_hw_cw_m,600013,CWHvm1_HW+CW,high,0.5,0.006,-8.846,-2.111,1052.4,1075.1,low_difference,tentatively_passed_review,not_model_input,plots/mp11_managed_curve_comparison/mp11-fvm207_vs_phase5-cwhvm1-hw-cw-m.png,True,90442
