au_id,stratum_code,si_class,selected_top_90_stratum,area_ha,stand_count,mean_si,median_si,bec_group,species_combo,curve_lane,source_table,matched_legacy_au_code,matched_legacy_au_key,legacy_au_footnote_marker,legacy_age_band_context,match_confidence,match_score,species_l1_pct,mp10_weighted_si,si_abs_diff,dominant_species_bucket_match,fallback_or_review_note,au_ba_pct,au_cw_pct,au_cy_pct,au_fd_pct,au_hw_pct,au_ss_pct,au_other_pct,mp10_ba_pct,mp10_cw_pct,mp10_cy_pct,mp10_fd_pct,mp10_hw_pct,mp10_ss_pct,mp10_other_pct,initial_sph,spaced_sph,oaf1_pct,oaf2_pct,utilization_dbh_cm,regen_delay_years,mp10_thlb_area_ha
cwhvh1_cw_hw_h,CWHvh1_CW+HW,H,True,1076.780452,138,20.724638,20.0,CWHvh1,CW+HW,existing_managed_11_50,mp10_table_27,6220,mp10_au_6220,,existing_managed_aged_11_50,high,14.368584,11.92841,19.504551,1.220087,True,high-confidence nearest MP10 row by species/SI similarity,0.594886,70.035795,0.788747,0.09967,26.001976,0.922064,1.556861,0.0,76.0,0.0,0.0,24.0,0.0,0.0,1200,,10.0,5.0,12.5,,2637
cwhvh1_cw_hw_h,CWHvh1_CW+HW,H,True,1076.780452,138,20.724638,20.0,CWHvh1,CW+HW,existing_managed_1_10,mp10_table_28,1120,mp10_au_1120,,existing_managed_aged_1_10,medium,16.473162,7.924458,24.99899,4.274352,True,"medium-confidence nearest MP10 row; acceptable for planning crosswalk, review before final curve QA",0.594886,70.035795,0.788747,0.09967,26.001976,0.922064,1.556861,0.0,71.0,0.0,0.0,29.0,0.0,0.0,1100,,10.0,5.0,12.5,,154
cwhvh1_cw_hw_h,CWHvh1_CW+HW,H,True,1076.780452,138,20.724638,20.0,CWHvh1,CW+HW,future_managed,mp10_table_29,7500,mp10_au_7500,,future_managed,medium,42.368584,39.92841,19.504551,1.220087,True,"medium-confidence nearest MP10 row; acceptable for planning crosswalk, review before final curve QA",0.594886,70.035795,0.788747,0.09967,26.001976,0.922064,1.556861,0.0,90.0,0.0,0.0,10.0,0.0,0.0,1000,,10.0,5.0,12.5,1 planted / 3 natural per Section 8.6.5,6109
cwhvh1_cw_hw_l,CWHvh1_CW+HW,L,True,1104.143424,175,12.234285,13.0,CWHvh1,CW+HW,existing_managed_11_50,mp10_table_27,7220,mp10_au_7220,,existing_managed_aged_11_50,medium,21.877225,7.500861,19.422467,7.188182,True,"medium-confidence nearest MP10 row; acceptable for planning crosswalk, review before final curve QA",0.555107,79.20897,0.518828,0.0,18.24957,0.836023,0.631502,0.0,78.0,0.0,0.0,22.0,0.0,0.0,800,,10.0,5.0,12.5,,730
cwhvh1_cw_hw_l,CWHvh1_CW+HW,L,True,1104.143424,175,12.234285,13.0,CWHvh1,CW+HW,existing_managed_1_10,mp10_table_28,7120,mp10_au_7120,,existing_managed_aged_1_10,medium,33.958423,19.582059,19.422467,7.188182,True,"medium-confidence nearest MP10 row; acceptable for planning crosswalk, review before final curve QA",0.555107,79.20897,0.518828,0.0,18.24957,0.836023,0.631502,0.0,89.0,0.0,0.0,11.0,0.0,0.0,1000,,10.0,5.0,12.5,,304
cwhvh1_cw_hw_l,CWHvh1_CW+HW,L,True,1104.143424,175,12.234285,13.0,CWHvh1,CW+HW,future_managed,mp10_table_29,7500,mp10_au_7500,,future_managed,medium,35.958423,21.582059,19.422467,7.188182,True,"medium-confidence nearest MP10 row; acceptable for planning crosswalk, review before final curve QA",0.555107,79.20897,0.518828,0.0,18.24957,0.836023,0.631502,0.0,90.0,0.0,0.0,10.0,0.0,0.0,1000,,10.0,5.0,12.5,1 planted / 3 natural per Section 8.6.5,6109
cwhvh1_cw_hw_m,CWHvh1_CW+HW,M,True,925.172952,122,15.721312,16.0,CWHvh1,CW+HW,existing_managed_11_50,mp10_table_27,6220,mp10_au_6220,,existing_managed_aged_11_50,high,17.852688,10.229173,19.53307,3.811758,True,high-confidence nearest MP10 row by species/SI similarity,1.070243,70.885414,0.622809,0.026921,25.388414,1.480229,0.52597,0.0,76.0,0.0,0.0,24.0,0.0,0.0,1200,,10.0,5.0,12.5,,2637
cwhvh1_cw_hw_m,CWHvh1_CW+HW,M,True,925.172952,122,15.721312,16.0,CWHvh1,CW+HW,existing_managed_1_10,mp10_table_28,1120,mp10_au_1120,,existing_managed_aged_1_10,low,26.023661,7.452345,25.00697,9.285658,True,low-confidence nearest MP10 row; review species/SI mismatch before executable BatchTIPSY use,1.070243,70.885414,0.622809,0.026921,25.388414,1.480229,0.52597,0.0,71.0,0.0,0.0,29.0,0.0,0.0,1100,,10.0,5.0,12.5,,154
cwhvh1_cw_hw_m,CWHvh1_CW+HW,M,True,925.172952,122,15.721312,16.0,CWHvh1,CW+HW,future_managed,mp10_table_29,7500,mp10_au_7500,,future_managed,medium,45.852688,38.229173,19.53307,3.811758,True,"medium-confidence nearest MP10 row; acceptable for planning crosswalk, review before final curve QA",1.070243,70.885414,0.622809,0.026921,25.388414,1.480229,0.52597,0.0,90.0,0.0,0.0,10.0,0.0,0.0,1000,,10.0,5.0,12.5,1 planted / 3 natural per Section 8.6.5,6109
cwhvh1_hw_ba_h,CWHvh1_HW+BA,H,True,372.648201,59,25.288136,25.0,CWHvh1,HW+BA,existing_managed_11_50,mp10_table_27,5250,mp10_au_5250,,existing_managed_aged_11_50,high,15.828084,11.482104,27.461126,2.17299,True,high-confidence nearest MP10 row by species/SI similarity,20.273894,5.207425,0.1569,0.0,72.051523,1.803022,0.507236,17.0,6.0,0.0,0.0,77.0,0.0,0.0,900,,10.0,5.0,12.5,,2758
