au_id,plot_path,curve_lanes,has_natural_curve
cwhvh1_cw_hw_h,plots/tipsy_vdyp_tfl6-cwhvh1_cw_hw_h.png,existing_managed_11_50;existing_managed_1_10;future_managed,True
cwhvh1_cw_hw_l,plots/tipsy_vdyp_tfl6-cwhvh1_cw_hw_l.png,existing_managed_11_50;existing_managed_1_10;future_managed,True
cwhvh1_cw_hw_m,plots/tipsy_vdyp_tfl6-cwhvh1_cw_hw_m.png,existing_managed_11_50;existing_managed_1_10;future_managed,True
cwhvh1_hw_ba_h,plots/tipsy_vdyp_tfl6-cwhvh1_hw_ba_h.png,existing_managed_11_50;existing_managed_1_10;future_managed,True
cwhvh1_hw_ba_l,plots/tipsy_vdyp_tfl6-cwhvh1_hw_ba_l.png,existing_managed_11_50;existing_managed_1_10;future_managed,True
cwhvh1_hw_ba_m,plots/tipsy_vdyp_tfl6-cwhvh1_hw_ba_m.png,existing_managed_11_50;existing_managed_1_10;future_managed,True
cwhvh1_hw_cw_h,plots/tipsy_vdyp_tfl6-cwhvh1_hw_cw_h.png,existing_managed_11_50;existing_managed_1_10;future_managed,True
cwhvh1_hw_cw_l,plots/tipsy_vdyp_tfl6-cwhvh1_hw_cw_l.png,existing_managed_11_50;existing_managed_1_10;future_managed,True
cwhvh1_hw_cw_m,plots/tipsy_vdyp_tfl6-cwhvh1_hw_cw_m.png,existing_managed_11_50;existing_managed_1_10;future_managed,True
cwhvh1_hw_ss_h,plots/tipsy_vdyp_tfl6-cwhvh1_hw_ss_h.png,existing_managed_11_50;existing_managed_1_10;future_managed,True
cwhvh1_hw_ss_l,plots/tipsy_vdyp_tfl6-cwhvh1_hw_ss_l.png,existing_managed_11_50;existing_managed_1_10;future_managed,True
cwhvh1_hw_ss_m,plots/tipsy_vdyp_tfl6-cwhvh1_hw_ss_m.png,existing_managed_11_50;existing_managed_1_10;future_managed,True
cwhvm1_ba_hw_h,plots/tipsy_vdyp_tfl6-cwhvm1_ba_hw_h.png,existing_managed_11_50;existing_managed_1_10;future_managed,True
cwhvm1_ba_hw_l,plots/tipsy_vdyp_tfl6-cwhvm1_ba_hw_l.png,existing_managed_11_50;existing_managed_1_10;future_managed,True
cwhvm1_ba_hw_m,plots/tipsy_vdyp_tfl6-cwhvm1_ba_hw_m.png,existing_managed_11_50;existing_managed_1_10;future_managed,True
cwhvm1_cw_h,plots/tipsy_vdyp_tfl6-cwhvm1_cw_h.png,existing_managed_11_50;existing_managed_1_10;future_managed,True
cwhvm1_cw_hw_h,plots/tipsy_vdyp_tfl6-cwhvm1_cw_hw_h.png,existing_managed_11_50;existing_managed_1_10;future_managed,True
cwhvm1_cw_hw_l,plots/tipsy_vdyp_tfl6-cwhvm1_cw_hw_l.png,existing_managed_11_50;existing_managed_1_10;future_managed,True
cwhvm1_cw_hw_m,plots/tipsy_vdyp_tfl6-cwhvm1_cw_hw_m.png,existing_managed_11_50;existing_managed_1_10;future_managed,True
cwhvm1_cw_l,plots/tipsy_vdyp_tfl6-cwhvm1_cw_l.png,existing_managed_11_50;existing_managed_1_10;future_managed,True
cwhvm1_cw_m,plots/tipsy_vdyp_tfl6-cwhvm1_cw_m.png,existing_managed_11_50;existing_managed_1_10;future_managed,True
cwhvm1_cw_yc_h,plots/tipsy_vdyp_tfl6-cwhvm1_cw_yc_h.png,existing_managed_11_50;existing_managed_1_10;future_managed,True
cwhvm1_cw_yc_l,plots/tipsy_vdyp_tfl6-cwhvm1_cw_yc_l.png,existing_managed_11_50;existing_managed_1_10;future_managed,True
cwhvm1_cw_yc_m,plots/tipsy_vdyp_tfl6-cwhvm1_cw_yc_m.png,existing_managed_11_50;existing_managed_1_10;future_managed,True
cwhvm1_dr_h,plots/tipsy_vdyp_tfl6-cwhvm1_dr_h.png,existing_managed_11_50;existing_managed_1_10;future_managed,True
cwhvm1_dr_hw_h,plots/tipsy_vdyp_tfl6-cwhvm1_dr_hw_h.png,existing_managed_11_50;existing_managed_1_10;future_managed,True
