figure_id,step_order,step_label,step_kind,printed_value_m3_per_year,component_left_px,component_top_px,component_right_px,component_bottom_px,geometry_high_m3_per_year,geometry_low_m3_per_year,geometry_delta_m3_per_year,geometry_value_for_review_m3_per_year,abs_geometry_minus_printed_m3_per_year,abs_geometry_minus_printed_percent
Figure 20,1,Current AAC,absolute,1362000.0,289,86,369,656,1362000.0,800000.0,562000.0,1362000.0,0.0,0.0
Figure 20,2,MP 10 Forecast Decline,delta,-95400.0,389,86,471,185,1362000.0,1264389.4736842106,97610.52631578944,-97610.52631578944,2210.526315789437,2.3171135385633512
Figure 20,3,THLB and modelling changes,delta,-118900.0,491,182,573,305,1267347.3684210526,1146073.6842105263,121273.68421052629,-121273.68421052629,2373.6842105262913,1.9963702359346438
Figure 20,4,MP 11 max short-term flow,absolute,1147700.0,593,302,673,656,1149031.5789473685,800000.0,349031.57894736854,1149031.5789473685,1331.5789473685436,0.1160215167176565
Figure 20,5,Apply even-flow harvest,delta,-86100.0,694,301,775,393,1150017.5438596492,1059308.7719298245,90708.77192982472,-90708.77192982472,4608.771929824725,5.352812926625697
Figure 20,6,MP 11 Base Case,absolute,1061600.0,796,389,874,655,1063252.6315789474,800985.9649122807,262266.66666666674,1063252.6315789474,1652.6315789474174,0.15567366041328348
Figure 57,1,Current AAC,absolute,1362000.0,222,92,286,573,1362000.0,800000.0,562000.0,1362000.0,0.0,0.0
Figure 57,2,MP 10 Forecast Decline,delta,-95400.0,302,92,367,176,1362000.0,1263854.4698544699,98145.53014553012,-98145.53014553012,2745.5301455301233,2.877914198668892
Figure 57,3,THLB and modelling changes,delta,-118900.0,383,173,448,277,1267359.6673596674,1145846.153846154,121513.51351351338,-121513.51351351338,2613.513513513375,2.1980769667900546
Figure 57,4,MP 11 max short-term flow,absolute,1147700.0,465,274,529,573,1149351.3513513515,800000.0,349351.3513513515,1149351.3513513515,1651.3513513514772,0.14388353675624965
Figure 57,5,Apply even-flow harvest,delta,-86100.0,545,274,610,349,1149351.3513513515,1061721.4137214138,87629.93762993766,-87629.93762993766,1529.93762993766,1.776931045223763
Figure 57,6,MP 11 Base Case,absolute,1061600.0,627,350,691,573,1060553.0145530147,800000.0,260553.01455301465,1060553.0145530147,1046.9854469853453,0.09862334655099335
Figure 57,7,LiDAR yield adjustments even-flow,delta,88700.0,706,271,775,350,1152856.548856549,1060553.0145530147,92303.53430353431,92303.53430353431,3603.5343035343103,4.062609135889865
Figure 57,8,LiDAR MHA adjustment max short-term flow,delta,102400.0,786,183,856,276,1255675.6756756757,1147014.5530145532,108661.12266112259,108661.12266112259,6261.122661122587,6.114377598752526
Figure 57,9,MP 11 AAC Recommendation,absolute,1252700.0,870,187,933,573,1251002.079002079,800000.0,451002.0790020791,1251002.079002079,1697.9209979209118,0.13554091146490874
