metric,value
generated_at_utc,2026-06-29T04:22:20+00:00
qa_status,matrix_builder_tracks_generated_inspection_pass
run_id,tfl6_mp11_candidate_p12_2_matrix_build
matrix_builder_returncode,0
matrix_builder_raw_returncode,1
expected_track_files_present,True
track_file_count,13
features_rows,86574
accounts_rows,823
protoaccounts_rows,823
accounts_proto_equal,True
products_rows,26085
curves_rows,1004368
groups_rows,24879
strata_rows,28858
treatments_rows,17390
blocks_rows,47218
messages_rows,0
block_area_ha,191168.565448
phase11_fragment_area_ha,191168.566447
block_fragment_area_delta_ha,-0.000999
manifest_failures_count,0
manifest_warnings_count,1
generic_warning_only,True
stdout_error_count,0
stderr_error_count,0
runtime_bundle_generation,not_performed
direct_launch_smoke,not_performed
scenario_smoke,not_performed
