figure_id,landscape_unit,scenario,series_name,label,point_count,year_min,year_max,percent_min,percent_max,percent_mean,final_percent
Figure 16,Holberg,base_case,cwhvm1_in_gmz_or_cwhvh1,CWHvm1 in GMZ/CWHvh1,124,3.7676609105180536,295.7613814756672,3.0444964871194378,39.812646370023415,29.60451763994863,39.34426229508197
Figure 16,Holberg,base_case,cwhvm1_other,Other CWHvm1/CWHvm1,122,3.7676609105180536,295.7613814756672,2.810304449648712,27.166276346604217,15.683188083080585,27.166276346604217
Figure 16,Holberg,base_case,cwhvm2,CWHvm2,125,3.7676609105180536,295.7613814756672,5.152224824355972,28.337236533957842,24.176112412177986,28.337236533957842
Figure 16,Holberg,base_case,mhmm1,MHmm1,125,3.7676609105180536,295.7613814756672,6.557377049180328,79.62529274004683,72.11241217798595,71.89695550351288
Figure 17,Keogh,base_case,cwhvm1_in_gmz_or_cwhvh1,CWHvm1 in GMZ/CWHvh1,106,4.3478260869565215,295.10869565217394,5.620608899297424,31.61592505854801,16.455304670584596,31.61592505854801
Figure 17,Keogh,base_case,cwhvm1_other,Other CWHvm1/CWHvm1,95,4.3478260869565215,295.10869565217394,4.449648711943794,28.805620608899297,16.36879082953285,28.337236533957842
Figure 17,Keogh,base_case,cwhvm2,CWHvm2,102,4.3478260869565215,295.10869565217394,13.114754098360656,29.7423887587822,23.308995729439317,29.508196721311474
Figure 17,Keogh,base_case,mhmm1,MHmm1,108,4.3478260869565215,295.10869565217394,37.93911007025761,58.07962529274005,43.06748200190823,47.7751756440281
Figure 18,Mahatta,base_case,cwhvm1_in_gmz_or_cwhvh1,CWHvm1 in GMZ/CWHvh1,125,3.7676609105180536,295.7613814756672,48.94613583138173,73.06791569086651,54.19953161592506,63.70023419203748
Figure 18,Mahatta,base_case,cwhvm1_other,Other CWHvm1/CWHvm1,125,3.7676609105180536,295.7613814756672,13.817330210772832,37.00234192037471,21.8192037470726,36.768149882903984
Figure 18,Mahatta,base_case,cwhvm2,CWHvm2,125,3.7676609105180536,295.7613814756672,32.31850117096019,39.578454332552695,35.220608899297424,39.34426229508197
Figure 18,Mahatta,base_case,mhmm1,MHmm1,125,3.7676609105180536,295.7613814756672,58.31381733021077,73.53629976580797,67.02763466042155,64.63700234192038
Figure 19,Neroutsos,base_case,cwhvm1_other,Other CWHvm1/CWHvm1,123,3.7676609105180536,295.7613814756672,18.30985915492958,42.48826291079813,27.57929691972976,42.25352112676056
Figure 19,Neroutsos,base_case,cwhvm2,CWHvm2,125,3.7676609105180536,295.7613814756672,23.943661971830984,38.26291079812207,33.85539906103286,38.26291079812207
Figure 19,Neroutsos,base_case,mhmm1,MHmm1,125,3.7676609105180536,295.7613814756672,46.71361502347418,70.65727699530517,68.02065727699531,68.54460093896714
Figure 53,Holberg,aac_recommendation,cwhvm1_in_gmz_or_cwhvh1,CWHvm1 in GMZ/CWHvh1,121,3.7617554858934166,295.29780564263325,3.278688524590164,37.470725995316165,28.87142663595719,37.470725995316165
Figure 53,Holberg,aac_recommendation,cwhvm1_other,Other CWHvm1/CWHvm1,122,3.7617554858934166,295.29780564263325,3.0444964871194378,26.46370023419204,15.573770491803279,26.229508196721312
Figure 53,Holberg,aac_recommendation,cwhvm2,CWHvm2,123,3.7617554858934166,295.29780564263325,4.918032786885246,27.86885245901639,24.531139924982387,27.634660421545664
Figure 53,Holberg,aac_recommendation,mhmm1,MHmm1,125,3.7617554858934166,295.29780564263325,6.791569086651054,78.92271662763466,71.62154566744731,72.1311475409836
Figure 54,Keogh,aac_recommendation,cwhvm1_in_gmz_or_cwhvh1,CWHvm1 in GMZ/CWHvh1,85,4.332129963898917,280.5054151624549,5.39906103286385,28.638497652582164,12.460646230323116,13.380281690140844
Figure 54,Keogh,aac_recommendation,cwhvm1_other,Other CWHvm1/CWHvm1,96,4.332129963898917,294.043321299639,4.460093896713615,27.93427230046948,15.801056338028168,27.699530516431924
Figure 54,Keogh,aac_recommendation,cwhvm2,CWHvm2,108,4.332129963898917,294.043321299639,19.718309859154928,28.87323943661972,23.380716397148323,28.638497652582164
Figure 54,Keogh,aac_recommendation,mhmm1,MHmm1,108,4.332129963898917,294.043321299639,38.967136150234744,59.624413145539904,43.15771170231264,43.42723004694836
Figure 55,Mahatta,aac_recommendation,cwhvm1_in_gmz_or_cwhvh1,CWHvm1 in GMZ/CWHvh1,124,3.7617554858934166,295.29780564263325,50.11709601873536,73.77049180327869,55.47329455314648,64.16861826697892
Figure 55,Mahatta,aac_recommendation,cwhvm1_other,Other CWHvm1/CWHvm1,125,3.7617554858934166,295.29780564263325,14.285714285714285,36.0655737704918,21.807962529274004,36.0655737704918
Figure 55,Mahatta,aac_recommendation,cwhvm2,CWHvm2,125,3.7617554858934166,295.29780564263325,32.78688524590164,39.812646370023415,35.75269320843091,39.578454332552695
Figure 55,Mahatta,aac_recommendation,mhmm1,MHmm1,125,3.7617554858934166,295.29780564263325,60.187353629976585,72.59953161592506,67.17002341920374,65.10538641686182
Figure 56,Neroutsos,aac_recommendation,cwhvm1_other,Other CWHvm1/CWHvm1,125,3.7617554858934166,295.29780564263325,12.910798122065728,41.78403755868544,27.515492957746478,41.78403755868544
Figure 56,Neroutsos,aac_recommendation,cwhvm2,CWHvm2,125,3.7617554858934166,295.29780564263325,26.995305164319248,37.32394366197183,34.321126760563374,37.32394366197183
Figure 56,Neroutsos,aac_recommendation,mhmm1,MHmm1,125,3.7617554858934166,295.29780564263325,50.46948356807511,71.36150234741784,68.83568075117371,69.48356807511738
