au_id,curve_lane,feature_id,stratum_code,si_class,area_ha,matched_legacy_au_code,match_confidence,max_treated_volume,age_at_max_treated_volume,treated_volume_age_40,treated_volume_age_60,treated_volume_age_80,treated_volume_age_100,natural_max_volume,treated_to_natural_max_ratio,other_species_pct_encoded_as_dr
cwhvh1_cw_hw_h,existing_managed_11_50,600241,CWHvh1_CW+HW,H,1076.780452,6220,high,1127.0,320,111.9,311.0,486.5,648.2,797.605,1.413,0.0
cwhvh1_cw_hw_h,existing_managed_1_10,600242,CWHvh1_CW+HW,H,1076.780452,1120,medium,1634.1,320,247.9,540.3,804.2,1021.4,797.605,2.049,0.0
cwhvh1_cw_hw_h,future_managed,600243,CWHvh1_CW+HW,H,1076.780452,7500,medium,1091.9,300,92.7,287.0,462.2,629.8,797.605,1.369,0.0
cwhvh1_cw_hw_l,existing_managed_11_50,600231,CWHvh1_CW+HW,L,1104.143424,7220,medium,1119.6,320,91.9,277.4,453.2,620.9,613.123,1.826,0.0
cwhvh1_cw_hw_l,existing_managed_1_10,600232,CWHvh1_CW+HW,L,1104.143424,7120,medium,1094.3,300,101.5,297.1,471.6,637.2,613.123,1.785,0.0
cwhvh1_cw_hw_l,future_managed,600233,CWHvh1_CW+HW,L,1104.143424,7500,medium,1091.9,300,92.7,287.0,462.2,629.8,613.123,1.781,0.0
cwhvh1_cw_hw_m,existing_managed_11_50,600281,CWHvh1_CW+HW,M,925.172952,6220,high,1127.0,320,111.9,311.0,486.5,648.2,656.797,1.716,0.0
cwhvh1_cw_hw_m,existing_managed_1_10,600282,CWHvh1_CW+HW,M,925.172952,1120,low,1634.1,320,247.9,540.3,804.2,1021.4,656.797,2.488,0.0
cwhvh1_cw_hw_m,future_managed,600283,CWHvh1_CW+HW,M,925.172952,7500,medium,1091.9,300,92.7,287.0,462.2,629.8,656.797,1.662,0.0
cwhvh1_hw_ba_h,existing_managed_11_50,600541,CWHvh1_HW+BA,H,372.648201,5250,high,1958.9,350,286.7,607.9,893.9,1111.8,1069.186,1.832,0.0
cwhvh1_hw_ba_h,existing_managed_1_10,600542,CWHvh1_HW+BA,H,372.648201,5150,high,1897.3,350,294.3,610.6,884.0,1089.1,1069.186,1.775,0.0
cwhvh1_hw_ba_h,future_managed,600543,CWHvh1_HW+BA,H,372.648201,1510,high,1977.6,350,339.5,655.1,915.8,1104.7,1069.186,1.85,0.0
cwhvh1_hw_ba_l,existing_managed_11_50,600461,CWHvh1_HW+BA,L,467.414274,9250,medium,1359.8,350,99.0,273.7,455.8,616.5,700.372,1.942,0.0
cwhvh1_hw_ba_l,existing_managed_1_10,600462,CWHvh1_HW+BA,L,467.414274,6150,medium,1330.6,350,131.6,328.0,514.7,668.5,700.372,1.9,0.0
cwhvh1_hw_ba_l,future_managed,600463,CWHvh1_HW+BA,L,467.414274,9510,medium,1340.4,350,127.4,330.5,518.3,670.5,700.372,1.914,0.0
cwhvh1_hw_ba_m,existing_managed_11_50,600731,CWHvh1_HW+BA,M,140.890507,9250,high,1359.8,350,99.0,273.7,455.8,616.5,821.703,1.655,0.0
cwhvh1_hw_ba_m,existing_managed_1_10,600732,CWHvh1_HW+BA,M,140.890507,6150,high,1330.6,350,131.6,328.0,514.7,668.5,821.703,1.619,0.0
cwhvh1_hw_ba_m,future_managed,600733,CWHvh1_HW+BA,M,140.890507,9510,high,1340.4,350,127.4,330.5,518.3,670.5,821.703,1.631,0.0
cwhvh1_hw_cw_h,existing_managed_11_50,600311,CWHvh1_HW+CW,H,858.724563,6251,high,1831.5,350,312.3,634.6,912.7,1122.9,1040.455,1.76,0.0
