figure_id,caption,pdf_page,source_sha256,source_url,image_path,rows_csv_path,overlay_path,step_count,accepted_printed_total_m3_per_year,max_abs_geometry_minus_printed_m3_per_year,max_abs_geometry_minus_printed_percent,arithmetic_residual_m3_per_year,review_status,downstream_use,notes
Figure 20,Timber Supply Impacts since MP #10 to Base Case,101,44591c1024254e36d8989df45a2b489a624d5669c5ae01a6ebfd961b50a7321b,https://www.westernforest.com/wp-content/uploads/2026/06/TFL6_MP_11_202606_w_Appendices_Web-compressed.pdf,runtime/document_ingestion/tfl6-mp11-full-figures/crops/priority_high_proposals/figure-20-proposal.png,runtime/document_ingestion/tfl6-mp11-full-figures/recovered/impact_batch/figure-20-impact-steps.csv,runtime/document_ingestion/tfl6-mp11-full-figures/overlays/impact_batch/figure-20-overlay.png,6,1061600.0,4608.771929824725,5.352812926625697,0.0,raw_extraction,needs_p7_5_review,Waterfall step values are transcribed from printed chart labels and checked against deterministic coloured-component geometry. Detailed step rows and overlays remain under ignored runtime paths.
Figure 57,Updated Timber Supply Impacts Since MP #10,158,44591c1024254e36d8989df45a2b489a624d5669c5ae01a6ebfd961b50a7321b,https://www.westernforest.com/wp-content/uploads/2026/06/TFL6_MP_11_202606_w_Appendices_Web-compressed.pdf,runtime/document_ingestion/tfl6-mp11-full-figures/crops/priority_high_proposals/figure-57-proposal.png,runtime/document_ingestion/tfl6-mp11-full-figures/recovered/impact_batch/figure-57-impact-steps.csv,runtime/document_ingestion/tfl6-mp11-full-figures/overlays/impact_batch/figure-57-overlay.png,9,1252700.0,6261.122661122587,6.114377598752526,0.0,raw_extraction,needs_p7_5_review,Waterfall step values are transcribed from printed chart labels and checked against deterministic coloured-component geometry. Detailed step rows and overlays remain under ignored runtime paths.
