au_id,base_au,si_level,accepted,selected_path,source_stand_count,age_min,age_max,max_volume,peak_age,peak_volume,terminal_volume,first_age_ge_1,first_age_ge_10,first_age_ge_50,volume_at_80,volume_at_120,volume_at_200,volume_at_250,terminal_uptick_from_post_peak_min,terminal_uptick_ratio,last_20_gain,last_50_gain,max_single_year_drop,max_single_year_gain,negative_year_count,large_negative_year_count,sign_change_count,shape_severity,shape_flags,recommended_action,lmh_order_violation_count,lmh_order_max_violation_m3ha
cwhvm2_dr_m,cwhvm2_dr,M,True,smoothed_bin_pchip,2,1,299,632.07156,160,632.07156,598.0252,2.0,6.0,13.0,495.14824,592.694608,621.049658,608.768706,0.0,0.0,-4.226384,-10.965466,-0.346612,10.498969,49,0,1,review,lmh_order_violation,review_lmh_order_or_borrowing,1,20.568892
cwhvm2_dr_hw_h,cwhvm2_dr_hw,H,True,smoothed_bin_pchip,3,1,299,236.893987,115,236.893987,174.272178,3.0,8.0,18.0,226.55835,236.461676,193.70428,179.766206,0.0,0.0,-2.073846,-5.625577,-0.662715,4.905742,102,0,1,review,lmh_order_violation,review_lmh_order_or_borrowing,2,460.092212
cwhvm2_dr_hw_l,cwhvm2_dr_hw,L,True,smoothed_bin_pchip,3,1,299,552.582991,175,552.582991,494.351161,14.0,24.0,37.0,309.697821,484.400803,545.57847,519.325797,0.0,0.0,-9.641684,-25.511767,-0.55848,7.693261,114,0,1,review,lmh_order_violation,review_lmh_order_or_borrowing,2,460.092212
cwhvm2_dr_hw_m,cwhvm2_dr_hw,M,True,smoothed_bin_pchip,2,1,299,99.085258,125,99.085258,69.93232,5.0,14.0,42.0,89.260021,98.981805,86.765645,74.270703,0.0,0.0,-1.191487,-4.508429,-0.282816,1.500394,48,0,1,review,lmh_order_violation,review_lmh_order_or_borrowing,2,460.092212
cwhvm2_hm_ba_h,cwhvm2_hm_ba,H,True,smoothed_bin_pchip,7,1,299,555.72356,245,555.72356,546.809422,25.0,38.0,54.0,176.426871,373.142493,550.37836,555.632758,0.0,0.0,-4.041292,-8.851897,-0.235614,5.361046,0,0,0,review,lmh_order_violation,review_lmh_order_or_borrowing,3,703.224057
cwhvm2_hm_ba_m,cwhvm2_hm_ba,M,True,smoothed_bin_pchip,5,1,299,459.293858,215,459.293858,432.288282,3.0,8.0,16.0,383.2,413.716701,450.772345,440.669722,0.0,0.0,-5.672559,-8.655566,-0.748177,7.268345,69,0,3,review,lmh_order_violation,review_lmh_order_or_borrowing,3,703.224057
cwhvm2_hm_cw_l,cwhvm2_hm_cw,L,True,smoothed_bin_pchip,3,1,299,1048.778716,170,1048.778716,980.046904,5.0,10.0,18.0,671.659506,937.82755,1035.605632,997.601175,0.0,0.0,-6.408717,-18.025725,-0.914374,11.526177,118,0,1,review,lmh_order_violation,review_lmh_order_or_borrowing,1,1048.480589
cwhvm2_hm_yc_h,cwhvm2_hm_yc,H,True,smoothed_bin_pchip,23,1,299,721.987961,155,721.987961,473.26808,3.0,8.0,18.0,458.021034,611.496674,579.16386,527.406725,0.0,0.0,-12.209721,-55.44625,-4.517564,8.739387,135,0,1,review,lmh_order_violation,review_lmh_order_or_borrowing,2,553.049157
cwhvm2_hm_yc_m,cwhvm2_hm_yc,M,True,smoothed_bin_pchip,31,1,299,526.89423,150,526.89423,413.917537,8.0,16.0,29.0,354.569311,498.809692,485.932626,445.913441,0.0,0.0,-9.415283,-32.834316,-1.084783,7.196061,143,0,1,review,lmh_order_violation,review_lmh_order_or_borrowing,2,553.049157
cwhvm2_hw_h,cwhvm2_hw,H,True,smoothed_bin_pchip,43,1,299,922.232001,175,922.232001,825.3984,4.0,10.0,20.0,555.73695,812.642156,904.424537,860.172752,0.0,0.0,-10.100665,-35.662719,-3.2548,9.913127,117,0,3,review,lmh_order_violation,review_lmh_order_or_borrowing,1,78.191555
