au_id,stratum_code,selected_top_90_stratum,area_ha,stand_count,bec_group,bec_zone_code,bec_subzone,bec_variant,species_combo,si_class,mean_si,curve_lane,mp11_curve_role,mp11_source_table,phase10_gate,mp11_parameter_status,phase5_natural_curve_available,mp10_fallback_confidence,candidate_future_genetic_gain,dependency_status,review_status,fallback_or_review_note,downstream_use,model_input_status,phase5_curve_lane,feature_id,matched_legacy_au_code,phase5_mp10_match_confidence,max_treated_volume,age_at_max_treated_volume,treated_volume_age_40,treated_volume_age_60,treated_volume_age_80,treated_volume_age_100,natural_max_volume,treated_to_natural_max_ratio,other_species_pct_encoded_as_dr,plot_path,has_natural_curve,phase5_comparison_curve_available,mp11_curve_generation_status
cwhvm1_hw_cw_m,CWHvm1_HW+CW,True,14576.473609,1602,CWHvm1,CWH,vm,1.0,HW+CW,M,26.405743,early_managed,existing managed stands established 1961-2000,Table 54,p10_5_managed_parser_review,parser_review_required,True,high,not_applicable,public_table_fragmented,mp11_parser_blocked_with_phase5_comparison,high-confidence nearest MP10 row by species/SI similarity,phase10_managed_curve_diagnostics_only,not_model_input,existing_managed_11_50,600011.0,6251.0,high,1831.5,350.0,312.3,634.6,912.7,1122.9,1049.39,1.745,0.0,plots/tipsy_vdyp_tfl6-cwhvm1_hw_cw_m.png,True,True,blocked_pending_per_au_table_parser
cwhvm1_hw_cw_m,CWHvm1_HW+CW,True,14576.473609,1602,CWHvm1,CWH,vm,1.0,HW+CW,M,26.405743,future_managed,future managed stands,Table 57,p10_5_managed_parser_review,parser_review_required,True,high,Cw=21.0%; Hw low-elevation restricted=1.7%,public_table_fragmented,mp11_parser_blocked_with_phase5_comparison,high-confidence nearest MP10 row by species/SI similarity,phase10_managed_curve_diagnostics_only,not_model_input,future_managed,600013.0,1500.0,high,1873.1,350.0,275.6,589.6,867.3,1075.1,1049.39,1.785,0.0,plots/tipsy_vdyp_tfl6-cwhvm1_hw_cw_m.png,True,True,blocked_pending_per_au_table_parser
cwhvm1_hw_cw_m,CWHvm1_HW+CW,True,14576.473609,1602,CWHvm1,CWH,vm,1.0,HW+CW,M,26.405743,recent_managed,recent managed stands established 2001-2023,Table 55,p10_5_managed_parser_review,parser_review_required,True,medium,not_applicable,public_table_fragmented,mp11_parser_blocked_with_phase5_comparison,"medium-confidence nearest MP10 row; acceptable for planning crosswalk, review before final curve QA",phase10_managed_curve_diagnostics_only,not_model_input,existing_managed_1_10,600012.0,7150.0,medium,1315.9,350.0,110.8,295.6,479.4,639.0,1049.39,1.254,0.0,plots/tipsy_vdyp_tfl6-cwhvm1_hw_cw_m.png,True,True,blocked_pending_per_au_table_parser
cwhvm1_hw_ba_m,CWHvm1_HW+BA,True,13083.871387,1222,CWHvm1,CWH,vm,1.0,HW+BA,M,26.278233,early_managed,existing managed stands established 1961-2000,Table 54,p10_5_managed_parser_review,parser_review_required,True,high,not_applicable,public_table_fragmented,mp11_parser_blocked_with_phase5_comparison,high-confidence nearest MP10 row by species/SI similarity,phase10_managed_curve_diagnostics_only,not_model_input,existing_managed_11_50,600021.0,5250.0,high,1958.9,350.0,286.7,607.9,893.9,1111.8,1085.13,1.805,0.0,plots/tipsy_vdyp_tfl6-cwhvm1_hw_ba_m.png,True,True,blocked_pending_per_au_table_parser
cwhvm1_hw_ba_m,CWHvm1_HW+BA,True,13083.871387,1222,CWHvm1,CWH,vm,1.0,HW+BA,M,26.278233,future_managed,future managed stands,Table 57,p10_5_managed_parser_review,parser_review_required,True,high,Hw low-elevation restricted=1.7%,public_table_fragmented,mp11_parser_blocked_with_phase5_comparison,high-confidence nearest MP10 row by species/SI similarity,phase10_managed_curve_diagnostics_only,not_model_input,future_managed,600023.0,1510.0,high,1977.6,350.0,339.5,655.1,915.8,1104.7,1085.13,1.822,0.0,plots/tipsy_vdyp_tfl6-cwhvm1_hw_ba_m.png,True,True,blocked_pending_per_au_table_parser
cwhvm1_hw_ba_m,CWHvm1_HW+BA,True,13083.871387,1222,CWHvm1,CWH,vm,1.0,HW+BA,M,26.278233,recent_managed,recent managed stands established 2001-2023,Table 55,p10_5_managed_parser_review,parser_review_required,True,medium,not_applicable,public_table_fragmented,mp11_parser_blocked_with_phase5_comparison,"medium-confidence nearest MP10 row; acceptable for planning crosswalk, review before final curve QA",phase10_managed_curve_diagnostics_only,not_model_input,existing_managed_1_10,600022.0,6150.0,medium,1330.6,350.0,131.6,328.0,514.7,668.5,1085.13,1.226,0.0,plots/tipsy_vdyp_tfl6-cwhvm1_hw_ba_m.png,True,True,blocked_pending_per_au_table_parser
cwhvm1_hw_cw_l,CWHvm1_HW+CW,True,7117.880299,1112,CWHvm1,CWH,vm,1.0,HW+CW,L,16.006294,early_managed,existing managed stands established 1961-2000,Table 54,p10_5_managed_parser_review,parser_review_required,True,low,not_applicable,public_table_fragmented,mp11_parser_blocked_with_phase5_comparison,low-confidence nearest MP10 row; review species/SI mismatch before executable BatchTIPSY use,phase10_managed_curve_diagnostics_only,not_model_input,existing_managed_11_50,600031.0,6251.0,low,1831.5,350.0,312.3,634.6,912.7,1122.9,833.555,2.197,0.0,plots/tipsy_vdyp_tfl6-cwhvm1_hw_cw_l.png,True,True,blocked_pending_per_au_table_parser
cwhvm1_hw_cw_l,CWHvm1_HW+CW,True,7117.880299,1112,CWHvm1,CWH,vm,1.0,HW+CW,L,16.006294,future_managed,future managed stands,Table 57,p10_5_managed_parser_review,parser_review_required,True,low,Cw=21.0%; Hw low-elevation restricted=1.7%,public_table_fragmented,mp11_parser_blocked_with_phase5_comparison,low-confidence nearest MP10 row; review species/SI mismatch before executable BatchTIPSY use,phase10_managed_curve_diagnostics_only,not_model_input,future_managed,600033.0,1500.0,low,1873.1,350.0,275.6,589.6,867.3,1075.1,833.555,2.247,0.0,plots/tipsy_vdyp_tfl6-cwhvm1_hw_cw_l.png,True,True,blocked_pending_per_au_table_parser
cwhvm1_hw_cw_l,CWHvm1_HW+CW,True,7117.880299,1112,CWHvm1,CWH,vm,1.0,HW+CW,L,16.006294,recent_managed,recent managed stands established 2001-2023,Table 55,p10_5_managed_parser_review,parser_review_required,True,high,not_applicable,public_table_fragmented,mp11_parser_blocked_with_phase5_comparison,high-confidence nearest MP10 row by species/SI similarity,phase10_managed_curve_diagnostics_only,not_model_input,existing_managed_1_10,600032.0,7150.0,high,1315.9,350.0,110.8,295.6,479.4,639.0,833.555,1.579,0.0,plots/tipsy_vdyp_tfl6-cwhvm1_hw_cw_l.png,True,True,blocked_pending_per_au_table_parser
cwhvm1_hw_ba_h,CWHvm1_HW+BA,True,6336.709216,531,CWHvm1,CWH,vm,1.0,HW+BA,H,31.16949,early_managed,existing managed stands established 1961-2000,Table 54,p10_5_managed_parser_review,parser_review_required,True,high,not_applicable,public_table_fragmented,mp11_parser_blocked_with_phase5_comparison,high-confidence nearest MP10 row by species/SI similarity,phase10_managed_curve_diagnostics_only,not_model_input,existing_managed_11_50,600041.0,5250.0,high,1958.9,350.0,286.7,607.9,893.9,1111.8,1140.602,1.717,0.0,plots/tipsy_vdyp_tfl6-cwhvm1_hw_ba_h.png,True,True,blocked_pending_per_au_table_parser
