feature_id,au_id,stratum_code,si_class,curve_lane,selected_top_90_stratum,area_ha,source_table,matched_legacy_au_code,match_confidence,other_species_pct_encoded_as_dr,oaf1_factor,oaf2_factor,planting_delay,planted_percent
600241,cwhvh1_cw_hw_h,CWHvh1_CW+HW,H,existing_managed_11_50,True,1076.780452,mp10_table_27,6220,high,0.0,0.9,0.95,0,100
600242,cwhvh1_cw_hw_h,CWHvh1_CW+HW,H,existing_managed_1_10,True,1076.780452,mp10_table_28,1120,medium,0.0,0.9,0.95,0,100
600243,cwhvh1_cw_hw_h,CWHvh1_CW+HW,H,future_managed,True,1076.780452,mp10_table_29,7500,medium,0.0,0.9,0.95,1,100
600231,cwhvh1_cw_hw_l,CWHvh1_CW+HW,L,existing_managed_11_50,True,1104.143424,mp10_table_27,7220,medium,0.0,0.9,0.95,0,100
600232,cwhvh1_cw_hw_l,CWHvh1_CW+HW,L,existing_managed_1_10,True,1104.143424,mp10_table_28,7120,medium,0.0,0.9,0.95,0,100
600233,cwhvh1_cw_hw_l,CWHvh1_CW+HW,L,future_managed,True,1104.143424,mp10_table_29,7500,medium,0.0,0.9,0.95,1,100
600281,cwhvh1_cw_hw_m,CWHvh1_CW+HW,M,existing_managed_11_50,True,925.172952,mp10_table_27,6220,high,0.0,0.9,0.95,0,100
600282,cwhvh1_cw_hw_m,CWHvh1_CW+HW,M,existing_managed_1_10,True,925.172952,mp10_table_28,1120,low,0.0,0.9,0.95,0,100
600283,cwhvh1_cw_hw_m,CWHvh1_CW+HW,M,future_managed,True,925.172952,mp10_table_29,7500,medium,0.0,0.9,0.95,1,100
600541,cwhvh1_hw_ba_h,CWHvh1_HW+BA,H,existing_managed_11_50,True,372.648201,mp10_table_27,5250,high,0.0,0.9,0.95,0,100
600542,cwhvh1_hw_ba_h,CWHvh1_HW+BA,H,existing_managed_1_10,True,372.648201,mp10_table_28,5150,high,0.0,0.9,0.95,0,100
600543,cwhvh1_hw_ba_h,CWHvh1_HW+BA,H,future_managed,True,372.648201,mp10_table_29,1510,high,0.0,0.9,0.95,1,100
600461,cwhvh1_hw_ba_l,CWHvh1_HW+BA,L,existing_managed_11_50,True,467.414274,mp10_table_27,9250,medium,0.0,0.9,0.95,0,100
600462,cwhvh1_hw_ba_l,CWHvh1_HW+BA,L,existing_managed_1_10,True,467.414274,mp10_table_28,6150,medium,0.0,0.9,0.95,0,100
600463,cwhvh1_hw_ba_l,CWHvh1_HW+BA,L,future_managed,True,467.414274,mp10_table_29,9510,medium,0.0,0.9,0.95,1,100
600731,cwhvh1_hw_ba_m,CWHvh1_HW+BA,M,existing_managed_11_50,True,140.890507,mp10_table_27,9250,high,0.0,0.9,0.95,0,100
600732,cwhvh1_hw_ba_m,CWHvh1_HW+BA,M,existing_managed_1_10,True,140.890507,mp10_table_28,6150,high,0.0,0.9,0.95,0,100
600733,cwhvh1_hw_ba_m,CWHvh1_HW+BA,M,future_managed,True,140.890507,mp10_table_29,9510,high,0.0,0.9,0.95,1,100
600311,cwhvh1_hw_cw_h,CWHvh1_HW+CW,H,existing_managed_11_50,True,858.724563,mp10_table_27,6251,high,0.0,0.9,0.95,0,100
600312,cwhvh1_hw_cw_h,CWHvh1_HW+CW,H,existing_managed_1_10,True,858.724563,mp10_table_28,1150,high,0.0,0.9,0.95,0,100
600313,cwhvh1_hw_cw_h,CWHvh1_HW+CW,H,future_managed,True,858.724563,mp10_table_29,1500,high,0.0,0.9,0.95,1,100
600331,cwhvh1_hw_cw_l,CWHvh1_HW+CW,L,existing_managed_11_50,True,749.479196,mp10_table_27,6251,fallback_review_required,0.0,0.9,0.95,0,100
600332,cwhvh1_hw_cw_l,CWHvh1_HW+CW,L,existing_managed_1_10,True,749.479196,mp10_table_28,7150,medium,0.0,0.9,0.95,0,100
600333,cwhvh1_hw_cw_l,CWHvh1_HW+CW,L,future_managed,True,749.479196,mp10_table_29,1500,fallback_review_required,0.0,0.9,0.95,1,100
600601,cwhvh1_hw_cw_m,CWHvh1_HW+CW,M,existing_managed_11_50,True,339.5067,mp10_table_27,6251,medium,0.0,0.9,0.95,0,100
600602,cwhvh1_hw_cw_m,CWHvh1_HW+CW,M,existing_managed_1_10,True,339.5067,mp10_table_28,7150,high,0.0,0.9,0.95,0,100
600603,cwhvh1_hw_cw_m,CWHvh1_HW+CW,M,future_managed,True,339.5067,mp10_table_29,1500,low,0.0,0.9,0.95,1,100
600521,cwhvh1_hw_ss_h,CWHvh1_HW+SS,H,existing_managed_11_50,True,376.075834,mp10_table_27,0250,high,0.0,0.9,0.95,0,100
600522,cwhvh1_hw_ss_h,CWHvh1_HW+SS,H,existing_managed_1_10,True,376.075834,mp10_table_28,0150,medium,0.0,0.9,0.95,0,100
600523,cwhvh1_hw_ss_h,CWHvh1_HW+SS,H,future_managed,True,376.075834,mp10_table_29,1510,medium,0.0,0.9,0.95,1,100
600671,cwhvh1_hw_ss_l,CWHvh1_HW+SS,L,existing_managed_11_50,True,265.087958,mp10_table_27,7252,medium,0.0,0.9,0.95,0,100
600672,cwhvh1_hw_ss_l,CWHvh1_HW+SS,L,existing_managed_1_10,True,265.087958,mp10_table_28,6150,medium,0.0,0.9,0.95,0,100
600673,cwhvh1_hw_ss_l,CWHvh1_HW+SS,L,future_managed,True,265.087958,mp10_table_29,9510,medium,0.0,0.9,0.95,1,100
600691,cwhvh1_hw_ss_m,CWHvh1_HW+SS,M,existing_managed_11_50,True,246.655292,mp10_table_27,7250,medium,0.0,0.9,0.95,0,100
600692,cwhvh1_hw_ss_m,CWHvh1_HW+SS,M,existing_managed_1_10,True,246.655292,mp10_table_28,6150,medium,0.0,0.9,0.95,0,100
600693,cwhvh1_hw_ss_m,CWHvh1_HW+SS,M,future_managed,True,246.655292,mp10_table_29,9510,medium,0.0,0.9,0.95,1,100
600611,cwhvm1_ba_hw_h,CWHvm1_BA+HW,H,existing_managed_11_50,True,311.257048,mp10_table_27,1210,high,0.0,0.9,0.95,0,100
600612,cwhvm1_ba_hw_h,CWHvm1_BA+HW,H,existing_managed_1_10,True,311.257048,mp10_table_28,1110,high,0.0,0.9,0.95,0,100
600613,cwhvm1_ba_hw_h,CWHvm1_BA+HW,H,future_managed,True,311.257048,mp10_table_29,5500,medium,0.0,0.9,0.95,1,100
600681,cwhvm1_ba_hw_l,CWHvm1_BA+HW,L,existing_managed_11_50,True,255.663163,mp10_table_27,1210,low,0.0,0.9,0.95,0,100
600682,cwhvm1_ba_hw_l,CWHvm1_BA+HW,L,existing_managed_1_10,True,255.663163,mp10_table_28,1110,low,0.0,0.9,0.95,0,100
600683,cwhvm1_ba_hw_l,CWHvm1_BA+HW,L,future_managed,True,255.663163,mp10_table_29,5500,low,0.0,0.9,0.95,1,100
600761,cwhvm1_ba_hw_m,CWHvm1_BA+HW,M,existing_managed_11_50,True,134.660517,mp10_table_27,1210,high,0.0,0.9,0.95,0,100
600762,cwhvm1_ba_hw_m,CWHvm1_BA+HW,M,existing_managed_1_10,True,134.660517,mp10_table_28,1110,high,0.0,0.9,0.95,0,100
600763,cwhvm1_ba_hw_m,CWHvm1_BA+HW,M,future_managed,True,134.660517,mp10_table_29,5500,medium,0.0,0.9,0.95,1,100
600181,cwhvm1_cw_h,CWHvm1_CW,H,existing_managed_11_50,True,1331.281287,mp10_table_27,7221,high,0.0,0.9,0.95,0,100
600182,cwhvm1_cw_h,CWHvm1_CW,H,existing_managed_1_10,True,1331.281287,mp10_table_28,6120,high,0.0,0.9,0.95,0,100
