au_id,stratum_code,selected_top_90_stratum,area_ha,stand_count,bec_group,bec_zone_code,bec_subzone,bec_variant,species_combo,si_class,mean_si,curve_lane,mp11_curve_role,mp11_source_table,phase10_gate,mp11_parameter_status,phase5_natural_curve_available,mp10_fallback_confidence,candidate_future_genetic_gain,dependency_status,review_status,fallback_or_review_note,downstream_use,model_input_status,curve_point_count,curve_age_min,curve_age_max,max_volume,age_at_max_volume,source_stand_count,source_row_count,observed_bin_count,sparse_warning,selected_path,rmse,mape,tail_rmse,accepted,canonical_curve_au_id,lexmatch_alias_used,canonical_selected_area_ha,plot_count,plot_paths,natural_curve_status
cwhvm1_hw_cw_m,CWHvm1_HW+CW,True,14576.473609,1602,CWHvm1,CWH,vm,1.0,HW+CW,M,26.405743,natural_unmanaged,natural_or_existing_unmanaged,VDYP 7.33b public natural-stand strategy,p10_4_natural_curve_diagnostics,public_vdyp_curve_available,True,not_applicable,not_applicable,public_vdyp,reviewed_phase5_curve_candidate,Existing Phase 5 natural curve available for comparison.,phase10_natural_curve_diagnostics_only,not_model_input,299,1.0,299.0,1049.389612,175.0,1562.0,364068.0,49.0,False,smoothed_bin_pchip,7.917257,0.006664,5.537421,True,cwhvm1_hw_cw_m,False,14576.473609,1,plots/vdyp_fitdiag_tfl6-cwhvm1_hw_cw_m.png,selected_curve_family_available
cwhvm1_hw_ba_m,CWHvm1_HW+BA,True,13083.871387,1222,CWHvm1,CWH,vm,1.0,HW+BA,M,26.278233,natural_unmanaged,natural_or_existing_unmanaged,VDYP 7.33b public natural-stand strategy,p10_4_natural_curve_diagnostics,public_vdyp_curve_available,True,not_applicable,not_applicable,public_vdyp,reviewed_phase5_curve_candidate,Existing Phase 5 natural curve available for comparison.,phase10_natural_curve_diagnostics_only,not_model_input,299,1.0,299.0,1085.130137,170.0,1196.0,266021.0,49.0,False,smoothed_bin_pchip,8.566164,0.007109,6.190657,True,cwhvm1_hw_ba_m,False,13083.871387,1,plots/vdyp_fitdiag_tfl6-cwhvm1_hw_ba_m.png,selected_curve_family_available
cwhvm1_hw_cw_l,CWHvm1_HW+CW,True,7117.880299,1112,CWHvm1,CWH,vm,1.0,HW+CW,L,16.006294,natural_unmanaged,natural_or_existing_unmanaged,VDYP 7.33b public natural-stand strategy,p10_4_natural_curve_diagnostics,public_vdyp_curve_available,True,not_applicable,not_applicable,public_vdyp,reviewed_phase5_curve_candidate,Existing Phase 5 natural curve available for comparison.,phase10_natural_curve_diagnostics_only,not_model_input,299,1.0,299.0,833.554668,170.0,1059.0,182066.0,49.0,False,smoothed_bin_pchip,9.18919,0.010573,8.798603,True,cwhvm1_hw_cw_l,False,7117.880299,1,plots/vdyp_fitdiag_tfl6-cwhvm1_hw_cw_l.png,selected_curve_family_available
cwhvm1_hw_ba_h,CWHvm1_HW+BA,True,6336.709216,531,CWHvm1,CWH,vm,1.0,HW+BA,H,31.16949,natural_unmanaged,natural_or_existing_unmanaged,VDYP 7.33b public natural-stand strategy,p10_4_natural_curve_diagnostics,public_vdyp_curve_available,True,not_applicable,not_applicable,public_vdyp,reviewed_phase5_curve_candidate,Existing Phase 5 natural curve available for comparison.,phase10_natural_curve_diagnostics_only,not_model_input,299,1.0,299.0,1140.601626,170.0,513.0,118699.0,49.0,False,smoothed_bin_pchip,8.265048,0.00622,4.613455,True,cwhvm1_hw_ba_h,False,6336.709216,1,plots/vdyp_fitdiag_tfl6-cwhvm1_hw_ba_h.png,selected_curve_family_available
cwhvm1_hw_ba_l,CWHvm1_HW+BA,True,6328.040635,952,CWHvm1,CWH,vm,1.0,HW+BA,L,17.142857,natural_unmanaged,natural_or_existing_unmanaged,VDYP 7.33b public natural-stand strategy,p10_4_natural_curve_diagnostics,public_vdyp_curve_available,True,not_applicable,not_applicable,public_vdyp,reviewed_phase5_curve_candidate,Existing Phase 5 natural curve available for comparison.,phase10_natural_curve_diagnostics_only,not_model_input,299,1.0,299.0,896.689914,155.0,910.0,137615.0,49.0,False,smoothed_bin_pchip,12.302734,0.011437,11.046265,True,cwhvm1_hw_ba_l,False,6328.040635,1,plots/vdyp_fitdiag_tfl6-cwhvm1_hw_ba_l.png,selected_curve_family_available
cwhvm1_cw_hw_h,CWHvm1_CW+HW,True,6154.404369,717,CWHvm1,CWH,vm,1.0,CW+HW,H,23.790794,natural_unmanaged,natural_or_existing_unmanaged,VDYP 7.33b public natural-stand strategy,p10_4_natural_curve_diagnostics,public_vdyp_curve_available,True,not_applicable,not_applicable,public_vdyp,reviewed_phase5_curve_candidate,Existing Phase 5 natural curve available for comparison.,phase10_natural_curve_diagnostics_only,not_model_input,299,1.0,299.0,943.689368,170.0,694.0,143889.0,49.0,False,smoothed_bin_pchip,8.332434,0.008055,5.821976,True,cwhvm1_cw_hw_h,False,6154.404369,1,plots/vdyp_fitdiag_tfl6-cwhvm1_cw_hw_h.png,selected_curve_family_available
cwhvm1_cw_hw_l,CWHvm1_CW+HW,True,6107.943901,927,CWHvm1,CWH,vm,1.0,CW+HW,L,13.363539,natural_unmanaged,natural_or_existing_unmanaged,VDYP 7.33b public natural-stand strategy,p10_4_natural_curve_diagnostics,public_vdyp_curve_available,True,not_applicable,not_applicable,public_vdyp,reviewed_phase5_curve_candidate,Existing Phase 5 natural curve available for comparison.,phase10_natural_curve_diagnostics_only,not_model_input,299,1.0,299.0,783.068467,160.0,884.0,150744.0,49.0,False,smoothed_bin_pchip,18.160018,0.019367,21.566078,True,cwhvm1_cw_hw_l,False,6107.943901,1,plots/vdyp_fitdiag_tfl6-cwhvm1_cw_hw_l.png,selected_curve_family_available
cwhvm1_hw_m,CWHvm1_HW,True,4138.939451,448,CWHvm1,CWH,vm,1.0,HW,M,26.361607,natural_unmanaged,natural_or_existing_unmanaged,VDYP 7.33b public natural-stand strategy,p10_4_natural_curve_diagnostics,public_vdyp_curve_available,True,not_applicable,not_applicable,public_vdyp,reviewed_phase5_curve_candidate,Existing Phase 5 natural curve available for comparison.,phase10_natural_curve_diagnostics_only,not_model_input,299,1.0,299.0,961.76346,165.0,439.0,101754.0,49.0,False,smoothed_bin_pchip,8.077534,0.007614,5.879338,True,cwhvm1_hw_m,False,4138.939451,1,plots/vdyp_fitdiag_tfl6-cwhvm1_hw_m.png,selected_curve_family_available
cwhvm1_hw_ss_l,CWHvm1_HW+SS,True,4135.63912,463,CWHvm1,CWH,vm,1.0,HW+SS,L,24.460043,natural_unmanaged,natural_or_existing_unmanaged,VDYP 7.33b public natural-stand strategy,p10_4_natural_curve_diagnostics,public_vdyp_curve_available,True,not_applicable,not_applicable,public_vdyp,reviewed_phase5_curve_candidate,Existing Phase 5 natural curve available for comparison.,phase10_natural_curve_diagnostics_only,not_model_input,299,1.0,299.0,1057.282887,175.0,449.0,106110.0,49.0,False,smoothed_bin_pchip,8.134085,0.006801,6.052732,True,cwhvm1_hw_ss_l,False,4135.63912,1,plots/vdyp_fitdiag_tfl6-cwhvm1_hw_ss_l.png,selected_curve_family_available
cwhvm1_cw_hw_m,CWHvm1_CW+HW,True,4015.120247,568,CWHvm1,CWH,vm,1.0,CW+HW,M,18.586267,natural_unmanaged,natural_or_existing_unmanaged,VDYP 7.33b public natural-stand strategy,p10_4_natural_curve_diagnostics,public_vdyp_curve_available,True,not_applicable,not_applicable,public_vdyp,reviewed_phase5_curve_candidate,Existing Phase 5 natural curve available for comparison.,phase10_natural_curve_diagnostics_only,not_model_input,299,1.0,299.0,830.561536,165.0,544.0,99526.0,49.0,False,smoothed_bin_pchip,11.181094,0.011396,11.642477,True,cwhvm1_cw_hw_m,False,4015.120247,1,plots/vdyp_fitdiag_tfl6-cwhvm1_cw_hw_m.png,selected_curve_family_available
