figure_id,caption,landscape_unit,scenario,pdf_page,source_sha256,source_url,image_path,rows_csv_path,overlay_path,series_count,point_count,min_series_point_count,max_series_point_count,review_status,downstream_use,notes
Figure 16,Projection of Old Seral Forest Proportions for Holberg LU,Holberg,base_case,98,44591c1024254e36d8989df45a2b489a624d5669c5ae01a6ebfd961b50a7321b,https://www.westernforest.com/wp-content/uploads/2026/06/TFL6_MP_11_202606_w_Appendices_Web-compressed.pdf,runtime/document_ingestion/tfl6-mp11-full-figures/crops/priority_high_proposals/figure-16-proposal.png,runtime/document_ingestion/tfl6-mp11-full-figures/recovered/old_seral_batch/figure-16-old-seral-points.csv,runtime/document_ingestion/tfl6-mp11-full-figures/overlays/old_seral_batch/figure-16-overlay.png,4,496,122,125,raw_extraction,needs_p7_5_review,Raw deterministic old-seral line extraction. The uppermost matching coloured pixel is sampled to prefer projected actual series over lower target lines. Requires overlay review before downstream use.
Figure 17,Projection of Old Seral Forest Proportions for Keogh LU,Keogh,base_case,99,44591c1024254e36d8989df45a2b489a624d5669c5ae01a6ebfd961b50a7321b,https://www.westernforest.com/wp-content/uploads/2026/06/TFL6_MP_11_202606_w_Appendices_Web-compressed.pdf,runtime/document_ingestion/tfl6-mp11-full-figures/crops/priority_high_proposals/figure-17-proposal.png,runtime/document_ingestion/tfl6-mp11-full-figures/recovered/old_seral_batch/figure-17-old-seral-points.csv,runtime/document_ingestion/tfl6-mp11-full-figures/overlays/old_seral_batch/figure-17-overlay.png,4,411,95,108,raw_extraction,needs_p7_5_review,Raw deterministic old-seral line extraction. The uppermost matching coloured pixel is sampled to prefer projected actual series over lower target lines. Requires overlay review before downstream use.
Figure 18,Projection of Old Seral Forest Proportions for Mahatta LU,Mahatta,base_case,99,44591c1024254e36d8989df45a2b489a624d5669c5ae01a6ebfd961b50a7321b,https://www.westernforest.com/wp-content/uploads/2026/06/TFL6_MP_11_202606_w_Appendices_Web-compressed.pdf,runtime/document_ingestion/tfl6-mp11-full-figures/crops/priority_high_proposals/figure-18-proposal.png,runtime/document_ingestion/tfl6-mp11-full-figures/recovered/old_seral_batch/figure-18-old-seral-points.csv,runtime/document_ingestion/tfl6-mp11-full-figures/overlays/old_seral_batch/figure-18-overlay.png,4,500,125,125,raw_extraction,needs_p7_5_review,Raw deterministic old-seral line extraction. The uppermost matching coloured pixel is sampled to prefer projected actual series over lower target lines. Requires overlay review before downstream use.
Figure 19,Projection of Old Seral Forest Proportions for Neroutsos LU,Neroutsos,base_case,100,44591c1024254e36d8989df45a2b489a624d5669c5ae01a6ebfd961b50a7321b,https://www.westernforest.com/wp-content/uploads/2026/06/TFL6_MP_11_202606_w_Appendices_Web-compressed.pdf,runtime/document_ingestion/tfl6-mp11-full-figures/crops/priority_high_proposals/figure-19-proposal.png,runtime/document_ingestion/tfl6-mp11-full-figures/recovered/old_seral_batch/figure-19-old-seral-points.csv,runtime/document_ingestion/tfl6-mp11-full-figures/overlays/old_seral_batch/figure-19-overlay.png,3,373,123,125,raw_extraction,needs_p7_5_review,Raw deterministic old-seral line extraction. The uppermost matching coloured pixel is sampled to prefer projected actual series over lower target lines. Requires overlay review before downstream use.
Figure 53,AAC Recommendation Projection of Old Seral Forest Proportions for Holberg LU,Holberg,aac_recommendation,156,44591c1024254e36d8989df45a2b489a624d5669c5ae01a6ebfd961b50a7321b,https://www.westernforest.com/wp-content/uploads/2026/06/TFL6_MP_11_202606_w_Appendices_Web-compressed.pdf,runtime/document_ingestion/tfl6-mp11-full-figures/crops/priority_high_proposals/figure-53-proposal.png,runtime/document_ingestion/tfl6-mp11-full-figures/recovered/old_seral_batch/figure-53-old-seral-points.csv,runtime/document_ingestion/tfl6-mp11-full-figures/overlays/old_seral_batch/figure-53-overlay.png,4,491,121,125,raw_extraction,needs_p7_5_review,Raw deterministic old-seral line extraction. The uppermost matching coloured pixel is sampled to prefer projected actual series over lower target lines. Requires overlay review before downstream use.
Figure 54,AAC Recommendation Projection of Old Seral Forest Proportions for Keogh LU,Keogh,aac_recommendation,156,44591c1024254e36d8989df45a2b489a624d5669c5ae01a6ebfd961b50a7321b,https://www.westernforest.com/wp-content/uploads/2026/06/TFL6_MP_11_202606_w_Appendices_Web-compressed.pdf,runtime/document_ingestion/tfl6-mp11-full-figures/crops/priority_high_proposals/figure-53-proposal.png,runtime/document_ingestion/tfl6-mp11-full-figures/recovered/old_seral_batch/figure-54-old-seral-points.csv,runtime/document_ingestion/tfl6-mp11-full-figures/overlays/old_seral_batch/figure-54-overlay.png,4,397,85,108,raw_extraction,needs_p7_5_review,Raw deterministic old-seral line extraction. The uppermost matching coloured pixel is sampled to prefer projected actual series over lower target lines. Requires overlay review before downstream use.
Figure 55,AAC Recommendation Projection of Old Seral Forest Proportions for Mahatta LU,Mahatta,aac_recommendation,157,44591c1024254e36d8989df45a2b489a624d5669c5ae01a6ebfd961b50a7321b,https://www.westernforest.com/wp-content/uploads/2026/06/TFL6_MP_11_202606_w_Appendices_Web-compressed.pdf,runtime/document_ingestion/tfl6-mp11-full-figures/crops/priority_high_proposals/figure-55-proposal.png,runtime/document_ingestion/tfl6-mp11-full-figures/recovered/old_seral_batch/figure-55-old-seral-points.csv,runtime/document_ingestion/tfl6-mp11-full-figures/overlays/old_seral_batch/figure-55-overlay.png,4,499,124,125,raw_extraction,needs_p7_5_review,Raw deterministic old-seral line extraction. The uppermost matching coloured pixel is sampled to prefer projected actual series over lower target lines. Requires overlay review before downstream use.
Figure 56,AAC Recommendation Projection of Old Seral Forest Proportions for Neroutsos LU,Neroutsos,aac_recommendation,157,44591c1024254e36d8989df45a2b489a624d5669c5ae01a6ebfd961b50a7321b,https://www.westernforest.com/wp-content/uploads/2026/06/TFL6_MP_11_202606_w_Appendices_Web-compressed.pdf,runtime/document_ingestion/tfl6-mp11-full-figures/crops/priority_high_proposals/figure-55-proposal.png,runtime/document_ingestion/tfl6-mp11-full-figures/recovered/old_seral_batch/figure-56-old-seral-points.csv,runtime/document_ingestion/tfl6-mp11-full-figures/overlays/old_seral_batch/figure-56-overlay.png,3,375,125,125,raw_extraction,needs_p7_5_review,Raw deterministic old-seral line extraction. The uppermost matching coloured pixel is sampled to prefer projected actual series over lower target lines. Requires overlay review before downstream use.
