stratum_code,bec_group,species_combo,bec_zone_code,bec_subzone,bec_variant,bec_phase,stand_count,area_ha,mean_si,median_si,min_si,max_si,area_rank,area_share,cumulative_area_ha,cumulative_area_share,cumulative_before_share,selected_top_90
CWHvm1_DR,CWHvm1,DR,CWH,vm,1,,235,789.461525,23.412766,23.0,11.0,37.0,25,0.005818,121960.268692,0.898798,0.89298,True
CWHvm1_BA+HW,CWHvm1,BA+HW,CWH,vm,1,,111,701.580728,23.603603,24.0,12.0,36.0,26,0.00517,122661.849419,0.903968,0.898798,True
CWHvm2_HW,CWHvm2,HW,CWH,vm,2,,139,647.819042,18.582733,17.0,1.0,34.0,27,0.004774,123309.668462,0.908743,0.903968,False
MHmm1_HW+BA,MHmm1,HW+BA,MH,mm,1,,74,612.073511,16.22973,13.5,10.0,28.0,28,0.004511,123921.741972,0.913253,0.908743,False
CWHvm1_FD+HW,CWHvm1,FD+HW,CWH,vm,1,,73,611.550059,27.890411,28.0,9.0,45.0,29,0.004507,124533.292031,0.91776,0.913253,False
CWHvm2_YC+HM,CWHvm2,YC+HM,CWH,vm,2,,83,573.926194,12.542169,12.0,5.0,23.0,30,0.00423,125107.218225,0.92199,0.91776,False
CWHvm2_HM+YC,CWHvm2,HM+YC,CWH,vm,2,,88,539.649197,6.556818,6.0,3.0,19.0,31,0.003977,125646.867422,0.925967,0.92199,False
CWHvm1_CW+PL,CWHvm1,CW+PL,CWH,vm,1,,101,498.906761,10.168317,10.0,2.0,23.0,32,0.003677,126145.774184,0.929644,0.925967,False
CWHvm2_CW+YC,CWHvm2,CW+YC,CWH,vm,2,,47,490.845027,11.361702,11.0,3.0,20.0,33,0.003617,126636.619211,0.933261,0.929644,False
CWHvm1_HW+YC,CWHvm1,HW+YC,CWH,vm,1,,63,471.698551,20.904762,24.0,6.0,29.0,34,0.003476,127108.317762,0.936737,0.933261,False
CWHvm1_FDC+HW,CWHvm1,FDC+HW,CWH,vm,1,,36,333.116388,30.25,30.0,22.0,38.0,35,0.002455,127441.43415,0.939192,0.936737,False
CWHvm1_YC+PL,CWHvm1,YC+PL,CWH,vm,1,,27,325.470134,7.074074,7.0,4.0,10.0,36,0.002399,127766.904284,0.941591,0.939192,False
MHmm1_YC+HW,MHmm1,YC+HW,MH,mm,1,,24,296.103955,9.916667,10.0,4.0,14.0,37,0.002182,128063.008239,0.943773,0.941591,False
CWHvm1_CW+SS,CWHvm1,CW+SS,CWH,vm,1,,39,287.88388,20.461538,23.0,6.0,27.0,38,0.002122,128350.892119,0.945894,0.943773,False
CWHvh1_CW,CWHvh1,CW,CWH,vh,1,,46,275.349317,13.152174,12.0,6.0,27.0,39,0.002029,128626.241436,0.947924,0.945894,False
CWHvm1_YC+HM,CWHvm1,YC+HM,CWH,vm,1,,35,272.449145,11.314285,10.0,6.0,20.0,40,0.002008,128898.690582,0.949931,0.947924,False
CWHvm2_YC+CW,CWHvm2,YC+CW,CWH,vm,2,,35,263.194307,11.428572,10.0,5.0,24.0,41,0.00194,129161.884889,0.951871,0.949931,False
CWHvh1_CW+YC,CWHvh1,CW+YC,CWH,vh,1,,48,256.058584,12.291667,11.0,7.0,23.0,42,0.001887,129417.943472,0.953758,0.951871,False
CWHvh1_SS+HW,CWHvh1,SS+HW,CWH,vh,1,,43,252.221265,25.186047,25.0,16.0,35.0,43,0.001859,129670.164737,0.955617,0.953758,False
MHmm1_BA+HW,MHmm1,BA+HW,MH,mm,1,,34,246.574122,17.088236,14.0,8.0,28.0,44,0.001817,129916.738859,0.957434,0.955617,False
CWHvh1_HW,CWHvh1,HW,CWH,vh,1,,51,227.519283,18.078432,17.0,11.0,31.0,45,0.001677,130144.258141,0.959111,0.957434,False
CWHvm1_SS+CW,CWHvm1,SS+CW,CWH,vm,1,,27,194.904484,26.62963,28.0,12.0,33.0,46,0.001436,130339.162625,0.960547,0.959111,False
CWHvm2_YC+BA,CWHvm2,YC+BA,CWH,vm,2,,35,193.547505,17.257145,20.0,8.0,29.0,47,0.001426,130532.71013,0.961973,0.960547,False
MHmm1_BA+YC,MHmm1,BA+YC,MH,mm,1,,22,190.210338,15.272727,12.0,8.0,27.0,48,0.001402,130722.920468,0.963375,0.961973,False
CWHvh1_HW+DR,CWHvh1,HW+DR,CWH,vh,1,,27,187.654955,18.074074,18.0,7.0,33.0,49,0.001383,130910.575423,0.964758,0.963375,False
CWHvh1_YC+CW,CWHvh1,YC+CW,CWH,vh,1,,29,177.96132,9.448276,9.0,6.0,25.0,50,0.001312,131088.536743,0.96607,0.964758,False
CWHvm2_HW+DR,CWHvm2,HW+DR,CWH,vm,2,,20,173.905951,24.45,27.0,7.0,32.0,51,0.001282,131262.442694,0.967351,0.96607,False
MHmm1_HW+YC,MHmm1,HW+YC,MH,mm,1,,24,173.204545,16.875,13.0,5.0,28.0,52,0.001276,131435.647239,0.968628,0.967351,False
CWHvm2_HW+FD,CWHvm2,HW+FD,CWH,vm,2,,12,163.317012,22.5,25.0,13.0,29.0,53,0.001204,131598.964251,0.969831,0.968628,False
MHmm1_HM+YC,MHmm1,HM+YC,MH,mm,1,,24,147.928088,5.916666,5.0,4.0,15.0,54,0.00109,131746.89234,0.970922,0.969831,False
MHmm1_YC+HM,MHmm1,YC+HM,MH,mm,1,,17,144.102814,11.117647,12.0,5.0,24.0,55,0.001062,131890.995153,0.971983,0.970922,False
CWHvm1_CW+FDC,CWHvm1,CW+FDC,CWH,vm,1,,16,138.242041,24.5625,23.0,19.0,36.0,56,0.001019,132029.237195,0.973002,0.971983,False
CWHvm2_BA+HM,CWHvm2,BA+HM,CWH,vm,2,,9,132.330807,17.666666,16.0,12.0,28.0,57,0.000975,132161.568002,0.973978,0.973002,False
CWHvm2_CW,CWHvm2,CW,CWH,vm,2,,33,131.453042,13.272727,12.0,4.0,35.0,58,0.000969,132293.021043,0.974946,0.973978,False
CWHvm2_BA+YC,CWHvm2,BA+YC,CWH,vm,2,,24,124.502207,18.208334,18.5,5.0,31.0,59,0.000918,132417.52325,0.975864,0.974946,False
CWHvm1_CW+PLC,CWHvm1,CW+PLC,CWH,vm,1,,14,119.511623,19.5,19.0,18.0,23.0,60,0.000881,132537.034873,0.976745,0.975864,False
CWHvm1_FD,CWHvm1,FD,CWH,vm,1,,12,119.384106,23.833334,21.0,17.0,42.0,61,0.00088,132656.418979,0.977624,0.976745,False
CWHvh1_YC+HW,CWHvh1,YC+HW,CWH,vh,1,,8,113.933235,11.25,10.0,8.0,18.0,62,0.00084,132770.352214,0.978464,0.977624,False
CWHvm1_CW+DR,CWHvm1,CW+DR,CWH,vm,1,,18,112.537852,21.11111,22.5,8.0,33.0,63,0.000829,132882.890066,0.979293,0.978464,False
CWHvm2_YC+PL,CWHvm2,YC+PL,CWH,vm,2,,3,109.538359,6.333334,6.0,6.0,7.0,64,0.000807,132992.428425,0.980101,0.979293,False
CWHvm1_FDC+CW,CWHvm1,FDC+CW,CWH,vm,1,,13,108.204724,34.923077,36.0,23.0,38.0,65,0.000797,133100.633149,0.980898,0.980101,False
CWHvm1_HM+YC,CWHvm1,HM+YC,CWH,vm,1,,20,106.239747,6.8,6.0,5.0,11.0,66,0.000783,133206.872896,0.981681,0.980898,False
MHmm1_YC+BA,MHmm1,YC+BA,MH,mm,1,,14,99.003876,14.785714,12.0,12.0,22.0,67,0.00073,133305.876772,0.982411,0.981681,False
MHmm1_BA+HM,MHmm1,BA+HM,MH,mm,1,,10,93.332462,14.0,12.0,12.0,28.0,68,0.000688,133399.209233,0.983098,0.982411,False
CWHvm1_DR+CW,CWHvm1,DR+CW,CWH,vm,1,,18,86.636223,24.666666,26.0,14.0,34.0,69,0.000638,133485.845456,0.983737,0.983098,False
CWHvh1_DR+HW,CWHvh1,DR+HW,CWH,vh,1,,18,84.003937,26.777779,26.0,16.0,37.0,70,0.000619,133569.849393,0.984356,0.983737,False
MHmm1_HM+BA,MHmm1,HM+BA,MH,mm,1,,9,79.428,13.444445,12.0,7.0,22.0,71,0.000585,133649.277393,0.984941,0.984356,False
CWHvm1_DR+SS,CWHvm1,DR+SS,CWH,vm,1,,26,77.404088,26.346153,25.0,18.0,38.0,72,0.00057,133726.68148,0.985512,0.984941,False
CWHvm1_SS,CWHvm1,SS,CWH,vm,1,,11,74.370124,30.727272,33.0,20.0,37.0,73,0.000548,133801.051604,0.98606,0.985512,False
MHmm1_YC+PL,MHmm1,YC+PL,MH,mm,1,,3,68.456917,5.666666,6.0,5.0,6.0,74,0.000504,133869.508522,0.986564,0.98606,False
CWHvm1_YC,CWHvm1,YC,CWH,vm,1,,10,67.445184,11.7,7.5,6.0,23.0,75,0.000497,133936.953706,0.987061,0.986564,False
CWHvm1_SS+DR,CWHvm1,SS+DR,CWH,vm,1,,16,63.055891,29.9375,32.5,13.0,36.0,76,0.000465,134000.009597,0.987526,0.987061,False
CWHvm2_HM+BA,CWHvm2,HM+BA,CWH,vm,2,,19,62.98997,8.157895,8.0,3.0,15.0,77,0.000464,134062.999567,0.98799,0.987526,False
CWHvm2_BA+CW,CWHvm2,BA+CW,CWH,vm,2,,7,59.168365,23.142857,24.0,20.0,26.0,78,0.000436,134122.167931,0.988426,0.98799,False
CWHvm1_CW+BA,CWHvm1,CW+BA,CWH,vm,1,,16,57.272741,21.375,23.0,14.0,24.0,79,0.000422,134179.440673,0.988848,0.988426,False
CWHvm2_HW+FDC,CWHvm2,HW+FDC,CWH,vm,2,,6,54.975512,23.166666,23.0,19.0,28.0,80,0.000405,134234.416185,0.989254,0.988848,False
