stratum_code,bec_group,species_combo,bec_zone_code,bec_subzone,bec_variant,bec_phase,stand_count,area_ha,mean_si,median_si,min_si,max_si,area_rank,area_share,cumulative_area_ha,cumulative_area_share,cumulative_before_share,selected_top_90
CWHvm1_HW+BA,CWHvm1,HW+BA,CWH,vm,1,,2705,25748.621238,24.02329,25.0,7.0,43.0,1,0.189757,25748.621238,0.189757,0.0,True
CWHvm1_HW+CW,CWHvm1,HW+CW,CWH,vm,1,,3063,24593.7852,23.13059,25.0,3.0,42.0,2,0.181246,50342.406437,0.371003,0.189757,True
CWHvm1_CW+HW,CWHvm1,CW+HW,CWH,vm,1,,2212,16277.468516,18.08454,18.0,2.0,41.0,3,0.119958,66619.874954,0.490962,0.371003,True
CWHvm2_HW+BA,CWHvm2,HW+BA,CWH,vm,2,,1078,9090.473071,19.777365,18.0,7.0,41.0,4,0.066993,75710.348025,0.557955,0.490962,True
CWHvm1_HW,CWHvm1,HW,CWH,vm,1,,1046,7366.391475,23.71128,26.0,1.0,42.0,5,0.054287,83076.7395,0.612242,0.557955,True
CWHvm1_HW+SS,CWHvm1,HW+SS,CWH,vm,1,,772,7304.314807,27.3057,28.0,7.0,42.0,6,0.05383,90381.054307,0.666072,0.612242,True
CWHvh1_CW+HW,CWHvh1,CW+HW,CWH,vh,1,,435,3106.096828,15.905747,16.0,6.0,31.0,7,0.022891,93487.151135,0.688963,0.666072,True
CWHvm1_HW+DR,CWHvm1,HW+DR,CWH,vm,1,,432,3090.129048,25.979166,27.0,5.0,37.0,8,0.022773,96577.280183,0.711736,0.688963,True
CWHvm2_HW+CW,CWHvm2,HW+CW,CWH,vm,2,,387,2739.711165,18.702843,18.0,5.0,33.0,9,0.020191,99316.991348,0.731926,0.711736,True
CWHvm1_CW,CWHvm1,CW,CWH,vm,1,,442,2626.137858,13.92534,13.0,2.0,42.0,10,0.019354,101943.129206,0.75128,0.731926,True
CWHvm1_HW+FDC,CWHvm1,HW+FDC,CWH,vm,1,,161,2177.699834,28.484472,28.0,22.0,39.0,11,0.016049,104120.829041,0.767329,0.75128,True
CWHvm1_CW+YC,CWHvm1,CW+YC,CWH,vm,1,,189,2064.548413,13.883598,13.0,4.0,30.0,12,0.015215,106185.377454,0.782543,0.767329,True
CWHvh1_HW+CW,CWHvh1,HW+CW,CWH,vh,1,,291,1947.710459,19.31615,17.0,5.0,40.0,13,0.014354,108133.087913,0.796897,0.782543,True
CWHvm1_HW+FD,CWHvm1,HW+FD,CWH,vm,1,,182,1892.139176,26.335167,27.0,8.0,45.0,14,0.013944,110025.227089,0.810842,0.796897,True
CWHvm1_SS+HW,CWHvm1,SS+HW,CWH,vm,1,,157,1638.053038,31.700638,32.0,14.0,51.0,15,0.012072,111663.280128,0.822913,0.810842,True
CWHvm1_DR+HW,CWHvm1,DR+HW,CWH,vm,1,,325,1437.77983,24.60923,23.0,9.0,47.0,16,0.010596,113101.059957,0.833509,0.822913,True
CWHvm2_BA+HW,CWHvm2,BA+HW,CWH,vm,2,,157,1433.549914,22.681528,26.0,8.0,31.0,17,0.010565,114534.609872,0.844074,0.833509,True
CWHvm2_CW+HW,CWHvm2,CW+HW,CWH,vm,2,,160,1200.44826,16.1,15.0,6.0,30.0,18,0.008847,115735.058131,0.852921,0.844074,True
CWHvh1_HW+BA,CWHvh1,HW+BA,CWH,vh,1,,172,980.952983,19.10465,18.0,7.0,33.0,19,0.007229,116716.011114,0.86015,0.852921,True
CWHvm2_HW+YC,CWHvm2,HW+YC,CWH,vm,2,,149,934.854144,17.09396,14.0,1.0,30.0,20,0.006889,117650.865258,0.867039,0.86015,True
CWHvm1_YC+HW,CWHvm1,YC+HW,CWH,vm,1,,86,925.647983,11.930233,11.5,5.0,28.0,21,0.006822,118576.513241,0.873861,0.867039,True
CWHvm1_YC+CW,CWHvm1,YC+CW,CWH,vm,1,,113,890.717934,11.451327,10.0,5.0,24.0,22,0.006564,119467.231176,0.880425,0.873861,True
CWHvh1_HW+SS,CWHvh1,HW+SS,CWH,vh,1,,123,887.819084,21.975609,21.0,9.0,33.0,23,0.006543,120355.05026,0.886968,0.880425,True
CWHvm2_YC+HW,CWHvm2,YC+HW,CWH,vm,2,,107,815.756906,13.635514,12.0,5.0,28.0,24,0.006012,121170.807167,0.89298,0.886968,True
