source_table,legacy_au_code,legacy_au_footnote_marker,legacy_age_band_context,initial_sph,spaced_sph,ba_pct,cw_pct,cy_pct,fd_pct,hw_pct,ss_pct,other_pct,ba_si,cw_cy_si,fd_si,hw_si,ss_si,genetic_worth_cw_pct,genetic_worth_cy_pct,genetic_worth_fd_pct,genetic_worth_hw_pct,thlb_area_ha,oaf1_pct,oaf2_pct,utilization_dbh_cm,regen_delay_years,notes,raw_row
mp10_table_27,0210,,existing_managed_aged_11_50,900,,54,0,0,0,25,21,0,30.1,27.0,37.5,33.7,35.0,0,0,0,0,178,10,5,12.5,,No genetic gain applied to stands in this age range; Table 27 row values are area-weighted averages by legacy AU.,0210 900  54 - - - 25 21 - 30.1 27.0 37.5 33.7 35.0 178
mp10_table_27,0220,,existing_managed_aged_11_50,900,,0,84,0,0,16,0,0,30.1,27.0,37.5,33.7,35.0,0,0,0,0,184,10,5,12.5,,No genetic gain applied to stands in this age range; Table 27 row values are area-weighted averages by legacy AU.,0220 900  - 84 - - 16 - - 30.1 27.0 37.5 33.7 35.0 184
mp10_table_27,0250,,existing_managed_aged_11_50,900,,7,6,0,0,77,10,0,30.1,27.0,37.5,33.7,35.0,0,0,0,0,772,10,5,12.5,,No genetic gain applied to stands in this age range; Table 27 row values are area-weighted averages by legacy AU.,0250 900  7 6 - - 77 10 - 30.1 27.0 37.5 33.7 35.0 772
mp10_table_27,0252,,existing_managed_aged_11_50,1600,900,0,0,0,0,91,9,0,30.1,27.0,37.5,33.7,35.0,0,0,0,0,66,10,5,12.5,,No genetic gain applied to stands in this age range; Table 27 row values are area-weighted averages by legacy AU.,"0252 1,600 900 - - - - 91 9 - 30.1 27.0 37.5 33.7 35.0 66"
mp10_table_27,0260,,existing_managed_aged_11_50,900,,0,8,0,0,25,67,0,30.1,27.0,37.5,33.7,35.0,0,0,0,0,481,10,5,12.5,,No genetic gain applied to stands in this age range; Table 27 row values are area-weighted averages by legacy AU.,0260 900  - 8 - - 25 67 - 30.1 27.0 37.5 33.7 35.0 481
mp10_table_27,0262,,existing_managed_aged_11_50,1600,900,0,0,0,0,25,75,0,30.1,27.0,37.5,33.7,35.0,0,0,0,0,50,10,5,12.5,,No genetic gain applied to stands in this age range; Table 27 row values are area-weighted averages by legacy AU.,"0262 1,600 900 - - - - 25 75 - 30.1 27.0 37.5 33.7 35.0 50"
mp10_table_27,1210,,existing_managed_aged_11_50,900,,64,0,0,0,36,0,0,26.2,23.8,31.4,28.0,31.0,0,0,0,0,567,10,5,12.5,,No genetic gain applied to stands in this age range; Table 27 row values are area-weighted averages by legacy AU.,1210 900  64 - - - 36 - - 26.2 23.8 31.4 28.0 31.0 567
mp10_table_27,1211,,existing_managed_aged_11_50,900,,63,10,0,0,27,0,0,26.2,27.0,31.4,33.7,35.0,0,0,0,0,45,10,5,12.5,,No genetic gain applied to stands in this age range; Table 27 row values are area-weighted averages by legacy AU.,1211 900  63 10 - - 27 - - 26.2 27.0 31.4 33.7 35.0 45
mp10_table_27,1220,,existing_managed_aged_11_50,900,,0,75,0,0,25,0,0,26.2,23.8,31.4,28.0,31.0,0,0,0,0,475,10,5,12.5,,No genetic gain applied to stands in this age range; Table 27 row values are area-weighted averages by legacy AU.,1220 900  - 75 - - 25 - - 26.2 23.8 31.4 28.0 31.0 475
mp10_table_27,1221,,existing_managed_aged_11_50,900,,0,79,0,0,21,0,0,26.2,27.0,31.4,33.7,35.0,0,0,0,0,430,10,5,12.5,,No genetic gain applied to stands in this age range; Table 27 row values are area-weighted averages by legacy AU.,1221 900  - 79 - - 21 - - 26.2 27.0 31.4 33.7 35.0 430
mp10_table_27,1230,,existing_managed_aged_11_50,900,,0,9,60,0,31,0,0,26.2,23.8,31.4,28.0,31.0,0,0,0,0,29,10,5,12.5,,No genetic gain applied to stands in this age range; Table 27 row values are area-weighted averages by legacy AU.,1230 900  - 9 60 - 31 - - 26.2 23.8 31.4 28.0 31.0 29
mp10_table_27,1240,,existing_managed_aged_11_50,900,,0,0,0,69,31,0,0,26.2,23.8,31.4,28.0,31.0,0,0,0,0,256,10,5,12.5,,No genetic gain applied to stands in this age range; Table 27 row values are area-weighted averages by legacy AU.,1240 900  - - - 69 31 - - 26.2 23.8 31.4 28.0 31.0 256
mp10_table_27,1241,,existing_managed_aged_11_50,900,,0,0,0,68,32,0,0,26.2,27.0,31.4,33.7,35.0,0,0,0,0,109,10,5,12.5,,No genetic gain applied to stands in this age range; Table 27 row values are area-weighted averages by legacy AU.,1241 900  - - - 68 32 - - 26.2 27.0 31.4 33.7 35.0 109
