feature_id,age,treated_volume,au_id,stratum_code,si_class,curve_lane,selected_top_90_stratum,area_ha,source_table,matched_legacy_au_code,match_confidence,other_species_pct_encoded_as_dr,oaf1_factor,oaf2_factor,planting_delay,planted_percent
600241,0,0.0,cwhvh1_cw_hw_h,CWHvh1_CW+HW,H,existing_managed_11_50,True,1076.780452,mp10_table_27,6220,high,0.0,0.9,0.95,0,100
600241,10,0.0,cwhvh1_cw_hw_h,CWHvh1_CW+HW,H,existing_managed_11_50,True,1076.780452,mp10_table_27,6220,high,0.0,0.9,0.95,0,100
600241,20,0.0,cwhvh1_cw_hw_h,CWHvh1_CW+HW,H,existing_managed_11_50,True,1076.780452,mp10_table_27,6220,high,0.0,0.9,0.95,0,100
600241,30,22.9,cwhvh1_cw_hw_h,CWHvh1_CW+HW,H,existing_managed_11_50,True,1076.780452,mp10_table_27,6220,high,0.0,0.9,0.95,0,100
600241,40,111.9,cwhvh1_cw_hw_h,CWHvh1_CW+HW,H,existing_managed_11_50,True,1076.780452,mp10_table_27,6220,high,0.0,0.9,0.95,0,100
600241,50,207.7,cwhvh1_cw_hw_h,CWHvh1_CW+HW,H,existing_managed_11_50,True,1076.780452,mp10_table_27,6220,high,0.0,0.9,0.95,0,100
600241,60,311.0,cwhvh1_cw_hw_h,CWHvh1_CW+HW,H,existing_managed_11_50,True,1076.780452,mp10_table_27,6220,high,0.0,0.9,0.95,0,100
600241,70,396.9,cwhvh1_cw_hw_h,CWHvh1_CW+HW,H,existing_managed_11_50,True,1076.780452,mp10_table_27,6220,high,0.0,0.9,0.95,0,100
600241,80,486.5,cwhvh1_cw_hw_h,CWHvh1_CW+HW,H,existing_managed_11_50,True,1076.780452,mp10_table_27,6220,high,0.0,0.9,0.95,0,100
600241,90,571.2,cwhvh1_cw_hw_h,CWHvh1_CW+HW,H,existing_managed_11_50,True,1076.780452,mp10_table_27,6220,high,0.0,0.9,0.95,0,100
600241,100,648.2,cwhvh1_cw_hw_h,CWHvh1_CW+HW,H,existing_managed_11_50,True,1076.780452,mp10_table_27,6220,high,0.0,0.9,0.95,0,100
600241,110,713.9,cwhvh1_cw_hw_h,CWHvh1_CW+HW,H,existing_managed_11_50,True,1076.780452,mp10_table_27,6220,high,0.0,0.9,0.95,0,100
600241,120,767.7,cwhvh1_cw_hw_h,CWHvh1_CW+HW,H,existing_managed_11_50,True,1076.780452,mp10_table_27,6220,high,0.0,0.9,0.95,0,100
600241,130,815.5,cwhvh1_cw_hw_h,CWHvh1_CW+HW,H,existing_managed_11_50,True,1076.780452,mp10_table_27,6220,high,0.0,0.9,0.95,0,100
600241,140,867.9,cwhvh1_cw_hw_h,CWHvh1_CW+HW,H,existing_managed_11_50,True,1076.780452,mp10_table_27,6220,high,0.0,0.9,0.95,0,100
600241,150,912.0,cwhvh1_cw_hw_h,CWHvh1_CW+HW,H,existing_managed_11_50,True,1076.780452,mp10_table_27,6220,high,0.0,0.9,0.95,0,100
600241,160,949.7,cwhvh1_cw_hw_h,CWHvh1_CW+HW,H,existing_managed_11_50,True,1076.780452,mp10_table_27,6220,high,0.0,0.9,0.95,0,100
600241,170,981.0,cwhvh1_cw_hw_h,CWHvh1_CW+HW,H,existing_managed_11_50,True,1076.780452,mp10_table_27,6220,high,0.0,0.9,0.95,0,100
600241,180,1007.2,cwhvh1_cw_hw_h,CWHvh1_CW+HW,H,existing_managed_11_50,True,1076.780452,mp10_table_27,6220,high,0.0,0.9,0.95,0,100
600241,190,1029.5,cwhvh1_cw_hw_h,CWHvh1_CW+HW,H,existing_managed_11_50,True,1076.780452,mp10_table_27,6220,high,0.0,0.9,0.95,0,100
600241,200,1048.5,cwhvh1_cw_hw_h,CWHvh1_CW+HW,H,existing_managed_11_50,True,1076.780452,mp10_table_27,6220,high,0.0,0.9,0.95,0,100
600241,210,1065.1,cwhvh1_cw_hw_h,CWHvh1_CW+HW,H,existing_managed_11_50,True,1076.780452,mp10_table_27,6220,high,0.0,0.9,0.95,0,100
600241,220,1079.1,cwhvh1_cw_hw_h,CWHvh1_CW+HW,H,existing_managed_11_50,True,1076.780452,mp10_table_27,6220,high,0.0,0.9,0.95,0,100
