stratum_code,au_id,si_class,bec_group,species_combo,bec_zone_code,bec_subzone,bec_variant,bec_phase,stand_count,area_ha,mean_si,median_si,min_si,max_si,si_low_threshold_p35,si_high_threshold_p65,selected_top_90_stratum
CWHvm1_HW+FD,cwhvm1_hw_fd_h,H,CWHvm1,HW+FD,CWH,vm,1.0,,56,812.542221,34.57143,33.0,31.0,45.0,24.0,30.0,True
CWHvh1_HW+CW,cwhvh1_hw_cw_l,L,CWHvh1,HW+CW,CWH,vh,1.0,,125,749.479196,13.368,14.0,5.0,16.0,16.0,23.0,True
CWHvm2_BA+HW,cwhvm2_ba_hw_m,M,CWHvm2,BA+HW,CWH,vm,2.0,,62,737.724583,25.5,26.0,23.0,26.0,22.0,26.0,True
CWHvm1_CW,cwhvm1_cw_m,M,CWHvm1,CW,CWH,vm,1.0,,149,736.056723,13.758389,14.0,12.0,16.0,11.0,16.0,True
CWHvm2_HW+CW,cwhvm2_hw_cw_l,L,CWHvm2,HW+CW,CWH,vm,2.0,,139,726.648803,12.215827,12.0,5.0,15.0,15.0,21.0,True
CWHvm1_HW+FD,cwhvm1_hw_fd_m,M,CWHvm1,HW+FD,CWH,vm,1.0,,59,678.283068,27.711864,28.0,25.0,30.0,24.0,30.0,True
CWHvm1_DR+HW,cwhvm1_dr_hw_h,H,CWHvm1,DR+HW,CWH,vm,1.0,,101,620.529576,31.851484,30.0,27.0,47.0,22.0,26.0,True
CWHvm1_YC+HW,cwhvm1_yc_hw_l,L,CWHvm1,YC+HW,CWH,vm,1.0,,35,585.006343,7.257143,7.0,5.0,9.0,9.0,13.0,True
CWHvm1_SS+HW,cwhvm1_ss_hw_h,H,CWHvm1,SS+HW,CWH,vm,1.0,,52,576.664115,38.153847,37.0,35.0,51.0,29.0,34.0,True
CWHvm1_CW,cwhvm1_cw_l,L,CWHvm1,CW,CWH,vm,1.0,,162,558.799848,7.759259,8.0,2.0,11.0,11.0,16.0,True
CWHvm2_CW+HW,cwhvm2_cw_hw_h,H,CWHvm2,CW+HW,CWH,vm,2.0,,52,548.518658,22.057692,21.0,19.0,30.0,13.0,18.0,True
CWHvm1_SS+HW,cwhvm1_ss_hw_l,L,CWHvm1,SS+HW,CWH,vm,1.0,,56,541.878934,25.375,26.5,14.0,29.0,29.0,34.0,True
CWHvm1_SS+HW,cwhvm1_ss_hw_m,M,CWHvm1,SS+HW,CWH,vm,1.0,,49,519.509989,32.081635,32.0,30.0,34.0,29.0,34.0,True
CWHvm1_CW+YC,cwhvm1_cw_yc_h,H,CWHvm1,CW+YC,CWH,vm,1.0,,66,485.666198,19.030304,18.5,16.0,30.0,12.0,15.2,True
CWHvh1_HW+BA,cwhvh1_hw_ba_l,L,CWHvh1,HW+BA,CWH,vh,1.0,,81,467.414274,14.691358,15.0,7.0,17.0,17.0,20.0,True
CWHvm1_DR+HW,cwhvm1_dr_hw_l,L,CWHvm1,DR+HW,CWH,vm,1.0,,128,463.173065,19.320312,21.0,9.0,22.0,22.0,26.0,True
CWHvm2_CW+HW,cwhvm2_cw_hw_l,L,CWHvm2,CW+HW,CWH,vm,2.0,,63,408.991977,11.666667,12.0,6.0,13.0,13.0,18.0,True
CWHvm1_HW+FD,cwhvm1_hw_fd_l,L,CWHvm1,HW+FD,CWH,vm,1.0,,67,401.313888,18.238806,18.0,8.0,24.0,24.0,30.0,True
CWHvm2_YC+HW,cwhvm2_yc_hw_l,L,CWHvm2,YC+HW,CWH,vm,2.0,,49,398.830202,9.551021,10.0,5.0,11.0,11.0,14.0,True
CWHvm2_HW+YC,cwhvm2_hw_yc_h,H,CWHvm2,HW+YC,CWH,vm,2.0,,52,387.20452,26.653847,28.0,19.0,30.0,12.0,17.4,True
CWHvh1_HW+SS,cwhvh1_hw_ss_h,H,CWHvh1,HW+SS,CWH,vh,1.0,,40,376.075834,29.6,30.0,28.0,33.0,18.0,27.0,True
CWHvm1_YC+CW,cwhvm1_yc_cw_l,L,CWHvm1,YC+CW,CWH,vm,1.0,,50,373.090164,7.46,8.0,5.0,9.0,9.0,12.0,True
CWHvh1_HW+BA,cwhvh1_hw_ba_h,H,CWHvh1,HW+BA,CWH,vh,1.0,,59,372.648201,25.288136,25.0,21.0,33.0,17.0,20.0,True
CWHvm1_DR+HW,cwhvm1_dr_hw_m,M,CWHvm1,DR+HW,CWH,vm,1.0,,96,354.077189,24.041666,24.0,23.0,26.0,22.0,26.0,True
CWHvm2_YC+HW,cwhvm2_yc_hw_h,H,CWHvm2,YC+HW,CWH,vm,2.0,,37,351.523571,19.64865,20.0,15.0,28.0,11.0,14.0,True
CWHvm2_BA+HW,cwhvm2_ba_hw_h,H,CWHvm2,BA+HW,CWH,vm,2.0,,37,350.789044,28.18919,28.0,27.0,31.0,22.0,26.0,True
CWHvm2_BA+HW,cwhvm2_ba_hw_l,L,CWHvm2,BA+HW,CWH,vm,2.0,,58,345.036288,16.155172,16.0,8.0,22.0,22.0,26.0,True
CWHvm1_DR,cwhvm1_dr_l,L,CWHvm1,DR,CWH,vm,1.0,,112,342.368985,18.982143,20.0,11.0,22.0,22.0,25.0,True
CWHvh1_HW+CW,cwhvh1_hw_cw_m,M,CWHvh1,HW+CW,CWH,vh,1.0,,69,339.5067,18.971014,18.0,17.0,23.0,16.0,23.0,True
CWHvm1_BA+HW,cwhvm1_ba_hw_h,H,CWHvm1,BA+HW,CWH,vm,1.0,,36,311.257048,30.055555,30.0,27.0,36.0,21.0,26.0,True
CWHvm1_DR,cwhvm1_dr_h,H,CWHvm1,DR,CWH,vm,1.0,,74,308.751729,29.716219,29.0,26.0,37.0,22.0,25.0,True
CWHvm1_YC+CW,cwhvm1_yc_cw_m,M,CWHvm1,YC+CW,CWH,vm,1.0,,28,300.492117,10.821428,11.0,10.0,12.0,9.0,12.0,True
CWHvm1_CW+YC,cwhvm1_cw_yc_m,M,CWHvm1,CW+YC,CWH,vm,1.0,,30,285.012202,14.2,14.5,13.0,15.0,12.0,15.2,True
CWHvm2_HW+YC,cwhvm2_hw_yc_l,L,CWHvm2,HW+YC,CWH,vm,2.0,,64,282.434482,10.546875,11.0,1.0,12.0,12.0,17.4,True
CWHvm2_HW+YC,cwhvm2_hw_yc_m,M,CWHvm2,HW+YC,CWH,vm,2.0,,33,265.215143,14.727273,15.0,13.0,17.0,12.0,17.4,True
CWHvh1_HW+SS,cwhvh1_hw_ss_l,L,CWHvh1,HW+SS,CWH,vh,1.0,,49,265.087958,15.489796,16.0,9.0,18.0,18.0,27.0,True
CWHvm1_BA+HW,cwhvm1_ba_hw_l,L,CWHvm1,BA+HW,CWH,vm,1.0,,47,255.663163,17.893618,18.0,12.0,21.0,21.0,26.0,True
CWHvh1_HW+SS,cwhvh1_hw_ss_m,M,CWHvh1,HW+SS,CWH,vh,1.0,,34,246.655292,22.352942,22.0,19.0,27.0,18.0,27.0,True
CWHvm2_CW+HW,cwhvm2_cw_hw_m,M,CWHvm2,CW+HW,CWH,vm,2.0,,45,242.937625,15.422222,15.0,14.0,18.0,13.0,18.0,True
CWHvm1_YC+CW,cwhvm1_yc_cw_h,H,CWHvm1,YC+CW,CWH,vm,1.0,,35,217.135653,17.657143,17.0,13.0,24.0,9.0,12.0,True
CWHvm1_YC+HW,cwhvm1_yc_hw_m,M,CWHvm1,YC+HW,CWH,vm,1.0,,24,202.046732,11.666667,12.0,10.0,13.0,9.0,13.0,True
CWHvh1_HW+BA,cwhvh1_hw_ba_m,M,CWHvh1,HW+BA,CWH,vh,1.0,,32,140.890507,18.875,19.0,18.0,20.0,17.0,20.0,True
CWHvm1_YC+HW,cwhvm1_yc_hw_h,H,CWHvm1,YC+HW,CWH,vm,1.0,,27,138.594908,18.222221,19.0,14.0,28.0,9.0,13.0,True
CWHvm1_DR,cwhvm1_dr_m,M,CWHvm1,DR,CWH,vm,1.0,,49,138.340811,24.020409,24.0,23.0,25.0,22.0,25.0,True
CWHvm1_BA+HW,cwhvm1_ba_hw_m,M,CWHvm1,BA+HW,CWH,vm,1.0,,28,134.660517,24.892857,25.5,22.0,26.0,21.0,26.0,True
CWHvm2_YC+HW,cwhvm2_yc_hw_m,M,CWHvm2,YC+HW,CWH,vm,2.0,,21,65.403134,12.571428,12.0,12.0,14.0,11.0,14.0,True
