stratum_code,au_id,si_class,bec_group,species_combo,bec_zone_code,bec_subzone,bec_variant,bec_phase,stand_count,area_ha,mean_si,median_si,min_si,max_si,si_low_threshold_p35,si_high_threshold_p65,selected_top_90_stratum
CWHvm1_HW+CW,cwhvm1_hw_cw_m,M,CWHvm1,HW+CW,CWH,vm,1.0,,1602,14576.473609,26.405743,28.0,22.0,28.0,21.0,28.0,True
CWHvm1_HW+BA,cwhvm1_hw_ba_m,M,CWHvm1,HW+BA,CWH,vm,1.0,,1222,13083.871387,26.278233,27.0,22.0,28.0,21.0,28.0,True
CWHvm1_HW+CW,cwhvm1_hw_cw_l,L,CWHvm1,HW+CW,CWH,vm,1.0,,1112,7117.880299,16.006294,16.0,3.0,21.0,21.0,28.0,True
CWHvm1_HW+BA,cwhvm1_hw_ba_h,H,CWHvm1,HW+BA,CWH,vm,1.0,,531,6336.709216,31.16949,31.0,29.0,43.0,21.0,28.0,True
CWHvm1_HW+BA,cwhvm1_hw_ba_l,L,CWHvm1,HW+BA,CWH,vm,1.0,,952,6328.040635,17.142857,17.0,7.0,21.0,21.0,28.0,True
CWHvm1_CW+HW,cwhvm1_cw_hw_h,H,CWHvm1,CW+HW,CWH,vm,1.0,,717,6154.404369,23.790794,23.0,21.0,41.0,16.0,20.0,True
CWHvm1_CW+HW,cwhvm1_cw_hw_l,L,CWHvm1,CW+HW,CWH,vm,1.0,,927,6107.943901,13.363539,14.0,2.0,16.0,16.0,20.0,True
CWHvm1_HW,cwhvm1_hw_m,M,CWHvm1,HW,CWH,vm,1.0,,448,4138.939451,26.361607,27.0,22.0,28.0,21.0,28.0,True
CWHvm1_HW+SS,cwhvm1_hw_ss_l,L,CWHvm1,HW+SS,CWH,vm,1.0,,463,4135.63912,24.460043,27.0,7.0,28.0,28.0,29.0,True
CWHvm1_CW+HW,cwhvm1_cw_hw_m,M,CWHvm1,CW+HW,CWH,vm,1.0,,568,4015.120247,18.586267,19.0,17.0,20.0,16.0,20.0,True
CWHvm2_HW+BA,cwhvm2_hw_ba_h,H,CWHvm2,HW+BA,CWH,vm,2.0,,326,3577.020254,27.7454,28.0,25.0,41.0,16.0,24.0,True
CWHvm2_HW+BA,cwhvm2_hw_ba_l,L,CWHvm2,HW+BA,CWH,vm,2.0,,448,3095.371233,13.790178,14.0,7.0,16.0,16.0,24.0,True
CWHvm1_HW+CW,cwhvm1_hw_cw_h,H,CWHvm1,HW+CW,CWH,vm,1.0,,349,2899.431292,30.796562,30.0,29.0,42.0,21.0,28.0,True
CWHvm2_HW+BA,cwhvm2_hw_ba_m,M,CWHvm2,HW+BA,CWH,vm,2.0,,304,2418.081584,20.055922,20.0,17.0,24.0,16.0,24.0,True
CWHvm1_HW+SS,cwhvm1_hw_ss_h,H,CWHvm1,HW+SS,CWH,vm,1.0,,236,2240.217819,32.364407,32.0,30.0,42.0,28.0,29.0,True
CWHvm1_HW,cwhvm1_hw_h,H,CWHvm1,HW,CWH,vm,1.0,,223,1645.046704,31.363228,30.0,29.0,42.0,21.0,28.0,True
CWHvm1_HW,cwhvm1_hw_l,L,CWHvm1,HW,CWH,vm,1.0,,375,1582.40532,15.994667,16.0,1.0,21.0,21.0,28.0,True
CWHvm1_CW,cwhvm1_cw_h,H,CWHvm1,CW,CWH,vm,1.0,,131,1331.281287,21.740458,22.0,17.0,42.0,11.0,16.0,True
CWHvm1_CW+YC,cwhvm1_cw_yc_l,L,CWHvm1,CW+YC,CWH,vm,1.0,,93,1293.870013,10.129032,11.0,4.0,12.0,12.0,15.2,True
CWHvm1_HW+FDC,cwhvm1_hw_fdc_l,L,CWHvm1,HW+FDC,CWH,vm,1.0,,110,1288.9352,27.363636,28.0,22.0,28.0,28.0,28.0,True
CWHvm1_HW+DR,cwhvm1_hw_dr_m,M,CWHvm1,HW+DR,CWH,vm,1.0,,148,1157.28499,27.52027,27.5,26.0,29.0,25.85,29.0,True
CWHvm2_HW+CW,cwhvm2_hw_cw_h,H,CWHvm2,HW+CW,CWH,vm,2.0,,131,1136.408457,25.900763,26.0,22.0,33.0,15.0,21.0,True
CWHvh1_CW+HW,cwhvh1_cw_hw_l,L,CWHvh1,CW+HW,CWH,vh,1.0,,175,1104.143424,12.234285,13.0,6.0,14.0,14.0,16.0,True
CWHvh1_CW+HW,cwhvh1_cw_hw_h,H,CWHvh1,CW+HW,CWH,vh,1.0,,138,1076.780452,20.724638,20.0,17.0,31.0,14.0,16.0,True
CWHvm1_HW+DR,cwhvm1_hw_dr_l,L,CWHvm1,HW+DR,CWH,vm,1.0,,151,983.327431,19.370861,20.0,5.0,25.0,25.85,29.0,True
CWHvm1_HW+DR,cwhvm1_hw_dr_h,H,CWHvm1,HW+DR,CWH,vm,1.0,,133,949.516627,31.766918,31.0,30.0,37.0,25.85,29.0,True
CWHvm1_HW+SS,cwhvm1_hw_ss_m,M,CWHvm1,HW+SS,CWH,vm,1.0,,73,928.457868,29.0,29.0,29.0,29.0,28.0,29.0,True
CWHvh1_CW+HW,cwhvh1_cw_hw_m,M,CWHvh1,CW+HW,CWH,vh,1.0,,122,925.172952,15.721312,16.0,15.0,16.0,14.0,16.0,True
CWHvm1_HW+FDC,cwhvm1_hw_fdc_h,H,CWHvm1,HW+FDC,CWH,vm,1.0,,51,888.764635,30.90196,30.0,29.0,39.0,28.0,28.0,True
CWHvm2_HW+CW,cwhvm2_hw_cw_m,M,CWHvm2,HW+CW,CWH,vm,2.0,,117,876.653905,18.350428,18.0,16.0,21.0,15.0,21.0,True
CWHvh1_HW+CW,cwhvh1_hw_cw_h,H,CWHvh1,HW+CW,CWH,vh,1.0,,97,858.724563,27.226805,28.0,24.0,40.0,16.0,23.0,True
