figure_id,series_name,label,expected_m3_per_year,difference_vs_base_m3_per_year,percent_vs_base,endpoint_abs_percent_error,evidence_source,review_status,downstream_use,model_input_status
Figure 21,maintaining_current_aac,Maintaining Current AAC,1055200.0,-6400.0,-0.6028636021100227,0.12669307639911684,visible_table_final_70_300_year_row,accepted_for_comparison,phase6_mp11_comparison_only,not_model_input
Figure 22,maximize_short_term,Maximum short-term,1095500.0,33900.0,3.193293142426526,0.007758006615464761,visible_table_final_65_300_year_row,accepted_for_comparison,phase6_mp11_comparison_only,not_model_input
Figure 23,increased_natural_stand_yields,Increased Natural Stand Yields,1075300.0,13700.0,1.290504898266767,0.018291522525984504,narrative_difference_plus_13700,accepted_for_comparison,phase6_mp11_comparison_only,not_model_input
Figure 24,decreased_natural_stand_yields,Decreased Natural Stand Yields,1036600.0,-25000.0,-2.354935945742276,0.12347209143152763,visible_table_single_row,accepted_for_comparison,phase6_mp11_comparison_only,not_model_input
Figure 25,increased_managed_stand_yields,Increased Managed Stand Yields,1138800.0,77200.0,7.272042200452147,0.14026615677710066,narrative_difference_plus_77200,accepted_for_comparison,phase6_mp11_comparison_only,not_model_input
Figure 26,decreased_managed_stand_yields,Decreased Managed Stand Yields,970900.0,-90700.0,-8.543707611152977,0.10965907011017903,narrative_difference_minus_90700,accepted_for_comparison,phase6_mp11_comparison_only,not_model_input
Figure 29,adjusted_iti_volume,Adjusted Iti Volume,1079000.0,17400.0,1.639035418236624,0.5030566372017464,adjacent_mp11_table_value,accepted_for_comparison,phase6_mp11_comparison_only,not_model_input
Figure 30,adjusted_iti_volume_lidar_height_site_index,Adjusted Iti Volume Lidar Height Site Index,1095200.0,33600.0,3.1650339110776184,0.391008538060493,adjacent_mp11_table_value,accepted_for_comparison,phase6_mp11_comparison_only,not_model_input
Figure 31,lidar_adjusted_yields_reduced_oaf1,Lidar Adjusted Yields Reduced Oaf1,1150300.0,88700.0,8.355312735493595,0.09548674205370801,adjacent_mp11_table_value,accepted_for_comparison,phase6_mp11_comparison_only,not_model_input
Figure 32,adjusted_iti_lidar_reduced_oaf1_even_flow,Adjusted ITI and LiDAR reduced OAF1 even flow,1150300.0,88700.0,8.355312735493595,0.05486619384636053,visible_table_even_flow_endpoint,accepted_for_comparison,phase6_mp11_comparison_only,not_model_input
Figure 32,adjusted_iti_lidar_reduced_oaf1_max_short_term,Adjusted ITI and LiDAR reduced OAF1 max short-term,1164200.0,102600.0,9.6646571213263,0.07914557666484195,visible_table_max_short_term_final_row,accepted_for_comparison,phase6_mp11_comparison_only,not_model_input
Figure 33,no_genetic_gain,No Genetic Gain,1004000.0,-57600.0,-5.425772418990203,0.24418455211412526,narrative_difference_minus_57600,accepted_for_comparison,phase6_mp11_comparison_only,not_model_input
Figure 34,full_nsog_order_targets,Full NSOG Order Targets,1049400.0,-12200.0,-1.1492087415222305,0.016450060183648817,narrative_difference_minus_12200,accepted_for_comparison,phase6_mp11_comparison_only,not_model_input
Figure 35,mha_increased_by_10_years,Mha Increased By 10 Years,956000.0,-105600.0,-9.947249434815374,0.2961805667024701,adjacent_mp11_table_value,accepted_for_comparison,phase6_mp11_comparison_only,not_model_input
Figure 36,mha_decreased_by_10_years,Mha Decreased By 10 Years,1074300.0,12700.0,1.196307460437076,0.35160140971622217,adjacent_mp11_table_value,accepted_for_comparison,phase6_mp11_comparison_only,not_model_input
Figure 37,helicopter_operable_land_base_excluded,Helicopter Operable Land Base Excluded,1021900.0,-39700.0,-3.7396382818387344,0.10353825179992507,visible_table_single_row,accepted_for_comparison,phase6_mp11_comparison_only,not_model_input
Figure 38,thlb_increased_by_10_percent,10% THLB Increases,1118200.0,56600.0,5.331574981160513,0.0504200419864273,narrative_endpoint_1118200,accepted_for_comparison,phase6_mp11_comparison_only,not_model_input
Figure 39,thlb_decreased_by_10_percent,Thlb Decreased By 10 Percent,953500.0,-108100.0,-10.1827430293896,0.19669485683107285,adjacent_mp11_table_value,accepted_for_comparison,phase6_mp11_comparison_only,not_model_input
