feature_id,row_id,source_table,curve_lane,mp11_au_code,bec_zone,bec_subzone,canonical_au_id,canonical_stratum_code,canonical_species_combo,canonical_mean_si,canonical_median_si,mp11_parsed_weighted_si,tipsy_input_si,tipsy_input_si_source,mp11_weighted_si,canonical_mean_si_abs_diff,canonical_median_si_abs_diff,sph,species_count,species_percent_total,thlb_area_ha,parse_confidence,handoff_status,handoff_note,model_input_status,source_anchor
610011,p10r_table_54_001,Table 54,early_managed,E100,,,,,,,,26.1,,,26.1,,,900,5,100,5,high,blocked_missing_public_au_to_bec_mapping,Tables 54/55 use MP11 existing AU codes that do not carry enough public BEC/site-series information for direct BatchTIPSY handoff.,not_model_input,PDF pages 358-358; Appendix B pages 112 of 183-112 of 183; Table 54
610021,p10r_table_54_002,Table 54,early_managed,E101,,,,,,,,15.758,,,15.758,,,900,5,100,85,high,blocked_missing_public_au_to_bec_mapping,Tables 54/55 use MP11 existing AU codes that do not carry enough public BEC/site-series information for direct BatchTIPSY handoff.,not_model_input,PDF pages 358-358; Appendix B pages 112 of 183-112 of 183; Table 54
610031,p10r_table_54_003,Table 54,early_managed,E101F,,,,,,,,15.96,,,15.96,,,900,4,100,119,high,blocked_missing_public_au_to_bec_mapping,Tables 54/55 use MP11 existing AU codes that do not carry enough public BEC/site-series information for direct BatchTIPSY handoff.,not_model_input,PDF pages 358-358; Appendix B pages 112 of 183-112 of 183; Table 54
610041,p10r_table_54_004,Table 54,early_managed,E103,,,,,,,,11.559,,,11.559,,,900,5,100,35,high,blocked_missing_public_au_to_bec_mapping,Tables 54/55 use MP11 existing AU codes that do not carry enough public BEC/site-series information for direct BatchTIPSY handoff.,not_model_input,PDF pages 358-358; Appendix B pages 112 of 183-112 of 183; Table 54
610051,p10r_table_54_005,Table 54,early_managed,E104,,,,,,,,23.299,,,23.299,,,900,5,102,1067,high,blocked_missing_public_au_to_bec_mapping,Tables 54/55 use MP11 existing AU codes that do not carry enough public BEC/site-series information for direct BatchTIPSY handoff.,not_model_input,PDF pages 358-359; Appendix B pages 112 of 183-113 of 183; Table 54
610061,p10r_table_54_006,Table 54,early_managed,E104F,,,,,,,,22.52,,,22.52,,,900,5,102,503,high,blocked_missing_public_au_to_bec_mapping,Tables 54/55 use MP11 existing AU codes that do not carry enough public BEC/site-series information for direct BatchTIPSY handoff.,not_model_input,PDF pages 359-359; Appendix B pages 113 of 183-113 of 183; Table 54
610071,p10r_table_54_007,Table 54,early_managed,E104S,,,,,,,,23.714,,,23.714,,,1600,5,100,118,high,blocked_missing_public_au_to_bec_mapping,Tables 54/55 use MP11 existing AU codes that do not carry enough public BEC/site-series information for direct BatchTIPSY handoff.,not_model_input,PDF pages 359-359; Appendix B pages 113 of 183-113 of 183; Table 54
610081,p10r_table_54_008,Table 54,early_managed,E104sc,,,,,,,,21.254,,,21.254,,,900,5,103,176,review_required,review_required_parser_warning,species_percent_total_not_near_100,not_model_input,PDF pages 359-359; Appendix B pages 113 of 183-113 of 183; Table 54
610091,p10r_table_54_009,Table 54,early_managed,E104scF,,,,,,,,20.727,,,20.727,,,900,5,100,597,high,blocked_missing_public_au_to_bec_mapping,Tables 54/55 use MP11 existing AU codes that do not carry enough public BEC/site-series information for direct BatchTIPSY handoff.,not_model_input,PDF pages 359-359; Appendix B pages 113 of 183-113 of 183; Table 54
610101,p10r_table_54_010,Table 54,early_managed,E104sh,,,,,,,,23.423,,,23.423,,,900,5,103,142,review_required,review_required_parser_warning,species_percent_total_not_near_100,not_model_input,PDF pages 359-359; Appendix B pages 113 of 183-113 of 183; Table 54
610111,p10r_table_54_011,Table 54,early_managed,E104shF,,,,,,,,22.98,,,22.98,,,900,5,101,201,high,blocked_missing_public_au_to_bec_mapping,Tables 54/55 use MP11 existing AU codes that do not carry enough public BEC/site-series information for direct BatchTIPSY handoff.,not_model_input,PDF pages 359-359; Appendix B pages 113 of 183-113 of 183; Table 54
610121,p10r_table_54_012,Table 54,early_managed,E106c,,,,,,,,24.4,,,24.4,,,900,5,100,69,high,blocked_missing_public_au_to_bec_mapping,Tables 54/55 use MP11 existing AU codes that do not carry enough public BEC/site-series information for direct BatchTIPSY handoff.,not_model_input,PDF pages 359-359; Appendix B pages 113 of 183-113 of 183; Table 54
610131,p10r_table_54_013,Table 54,early_managed,E106h,,,,,,,,24.421,,,24.421,,,900,5,100,158,high,blocked_missing_public_au_to_bec_mapping,Tables 54/55 use MP11 existing AU codes that do not carry enough public BEC/site-series information for direct BatchTIPSY handoff.,not_model_input,PDF pages 359-359; Appendix B pages 113 of 183-113 of 183; Table 54
610141,p10r_table_54_014,Table 54,early_managed,E106s,,,,,,,,29.172,,,29.172,,,900,5,100,69,high,blocked_missing_public_au_to_bec_mapping,Tables 54/55 use MP11 existing AU codes that do not carry enough public BEC/site-series information for direct BatchTIPSY handoff.,not_model_input,PDF pages 359-359; Appendix B pages 113 of 183-113 of 183; Table 54
610151,p10r_table_54_015,Table 54,early_managed,E108,,,,,,,,27.184,,,27.184,,,900,5,100,20,high,blocked_missing_public_au_to_bec_mapping,Tables 54/55 use MP11 existing AU codes that do not carry enough public BEC/site-series information for direct BatchTIPSY handoff.,not_model_input,PDF pages 359-359; Appendix B pages 113 of 183-113 of 183; Table 54
610161,p10r_table_54_016,Table 54,early_managed,E110,,,,,,,,21.2,,,21.2,,,900,4,100,1,high,blocked_missing_public_au_to_bec_mapping,Tables 54/55 use MP11 existing AU codes that do not carry enough public BEC/site-series information for direct BatchTIPSY handoff.,not_model_input,PDF pages 359-359; Appendix B pages 113 of 183-113 of 183; Table 54
610171,p10r_table_54_017,Table 54,early_managed,E113,,,,,,,,16.802,,,16.802,,,900,5,100,80,high,blocked_missing_public_au_to_bec_mapping,Tables 54/55 use MP11 existing AU codes that do not carry enough public BEC/site-series information for direct BatchTIPSY handoff.,not_model_input,PDF pages 359-359; Appendix B pages 113 of 183-113 of 183; Table 54
610181,p10r_table_54_018,Table 54,early_managed,E113F,,,,,,,,16.319,,,16.319,,,900,5,100,70,high,blocked_missing_public_au_to_bec_mapping,Tables 54/55 use MP11 existing AU codes that do not carry enough public BEC/site-series information for direct BatchTIPSY handoff.,not_model_input,PDF pages 359-359; Appendix B pages 113 of 183-113 of 183; Table 54
610191,p10r_table_54_019,Table 54,early_managed,E200,,,,,,,,25.4,,,25.4,,,900,5,103,215,review_required,review_required_parser_warning,species_percent_total_not_near_100,not_model_input,PDF pages 359-360; Appendix B pages 113 of 183-114 of 183; Table 54
610201,p10r_table_54_020,Table 54,early_managed,E200F,,,,,,,,28.3,,,28.3,,,900,5,100,10,high,blocked_missing_public_au_to_bec_mapping,Tables 54/55 use MP11 existing AU codes that do not carry enough public BEC/site-series information for direct BatchTIPSY handoff.,not_model_input,PDF pages 360-360; Appendix B pages 114 of 183-114 of 183; Table 54
610211,p10r_table_54_021,Table 54,early_managed,E201b,,,,,,,,28.54,,,28.54,,,900,5,102,735,high,blocked_missing_public_au_to_bec_mapping,Tables 54/55 use MP11 existing AU codes that do not carry enough public BEC/site-series information for direct BatchTIPSY handoff.,not_model_input,PDF pages 360-360; Appendix B pages 114 of 183-114 of 183; Table 54
610221,p10r_table_54_022,Table 54,early_managed,E201c,,,,,,,,24.482,,,24.482,,,900,5,101,991,high,blocked_missing_public_au_to_bec_mapping,Tables 54/55 use MP11 existing AU codes that do not carry enough public BEC/site-series information for direct BatchTIPSY handoff.,not_model_input,PDF pages 360-360; Appendix B pages 114 of 183-114 of 183; Table 54
