feature_id,MVcon_0,MVcon_10,MVcon_20,MVcon_30,MVcon_40,MVcon_50,MVcon_60,MVcon_70,MVcon_80,MVcon_90,MVcon_100,MVcon_110,MVcon_120,MVcon_130,MVcon_140,MVcon_150,MVcon_160,MVcon_170,MVcon_180,MVcon_190,MVcon_200,MVcon_210,MVcon_220,MVcon_230,MVcon_240,MVcon_250,MVcon_260,MVcon_270,MVcon_280,MVcon_290,MVcon_300,MVcon_310,MVcon_320,MVcon_330,MVcon_340,MVcon_350,MVdec_0,MVdec_10,MVdec_20,MVdec_30,MVdec_40,MVdec_50,MVdec_60,MVdec_70,MVdec_80,MVdec_90,MVdec_100,MVdec_110,MVdec_120,MVdec_130,MVdec_140,MVdec_150,MVdec_160,MVdec_170,MVdec_180,MVdec_190,MVdec_200,MVdec_210,MVdec_220,MVdec_230,MVdec_240,MVdec_250,MVdec_260,MVdec_270,MVdec_280,MVdec_290,MVdec_300,MVdec_310,MVdec_320,MVdec_330,MVdec_340,MVdec_350,HTcon_0,HTcon_10,HTcon_20,HTcon_30,HTcon_40,HTcon_50,HTcon_60,HTcon_70,HTcon_80,HTcon_90,HTcon_100,HTcon_110,HTcon_120,HTcon_130,HTcon_140,HTcon_150,HTcon_160,HTcon_170,HTcon_180,HTcon_190,HTcon_200,HTcon_210,HTcon_220,HTcon_230,HTcon_240,HTcon_250,HTcon_260,HTcon_270,HTcon_280,HTcon_290,HTcon_300,HTcon_310,HTcon_320,HTcon_330,HTcon_340,HTcon_350,HTdec_0,HTdec_10,HTdec_20,HTdec_30,HTdec_40,HTdec_50,HTdec_60,HTdec_70,HTdec_80,HTdec_90,HTdec_100,HTdec_110,HTdec_120,HTdec_130,HTdec_140,HTdec_150,HTdec_160,HTdec_170,HTdec_180,HTdec_190,HTdec_200,HTdec_210,HTdec_220,HTdec_230,HTdec_240,HTdec_250,HTdec_260,HTdec_270,HTdec_280,HTdec_290,HTdec_300,HTdec_310,HTdec_320,HTdec_330,HTdec_340,HTdec_350,gVol_0,gVol_10,gVol_20,gVol_30,gVol_40,gVol_50,gVol_60,gVol_70,gVol_80,gVol_90,gVol_100,gVol_110,gVol_120,gVol_130,gVol_140,gVol_150,gVol_160,gVol_170,gVol_180,gVol_190,gVol_200,gVol_210,gVol_220,gVol_230,gVol_240,gVol_250,gVol_260,gVol_270,gVol_280,gVol_290,gVol_300,gVol_310,gVol_320,gVol_330,gVol_340,gVol_350,CC_0,CC_10,CC_20,CC_30,CC_40,CC_50,CC_60,CC_70,CC_80,CC_90,CC_100,CC_110,CC_120,CC_130,CC_140,CC_150,CC_160,CC_170,CC_180,CC_190,CC_200,CC_210,CC_220,CC_230,CC_240,CC_250,CC_260,CC_270,CC_280,CC_290,CC_300,CC_310,CC_320,CC_330,CC_340,CC_350
600241,0.0,0.0,0.0,22.9,111.9,207.7,311.0,396.9,486.5,571.2,648.2,713.9,767.7,815.5,867.9,912.0,949.7,981.0,1007.2,1029.5,1048.5,1065.1,1079.1,1090.8,1100.7,1108.8,1114.7,1119.2,1122.5,1124.8,1126.1,1126.6,1127.0,1126.7,1125.9,1124.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,2.9,6.9,11.0,14.7,18.0,20.9,23.5,25.7,27.7,29.5,31.1,32.4,33.6,34.7,35.6,36.4,37.2,37.8,38.4,38.9,39.3,39.7,40.1,40.4,40.7,41.0,41.2,41.4,41.6,41.8,42.0,42.1,42.2,42.4,42.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.3,48.8,141.9,244.8,357.0,451.1,549.5,643.3,729.9,805.7,869.9,928.4,993.8,1050.9,1101.2,1145.2,1183.8,1218.2,1248.8,1277.0,1302.2,1324.8,1345.5,1364.5,1381.0,1395.9,1409.4,1421.6,1432.7,1442.9,1453.0,1462.5,1471.2,1479.3,0.2,6.1,39.3,79.5,86.8,87.6,87.3,86.8,86.4,85.9,85.5,85.0,84.6,84.1,83.7,83.2,82.8,82.3,81.9,81.4,81.0,80.5,80.1,79.6,79.2,78.7,78.3,77.8,77.4,76.9,76.5,76.0,75.6,75.1,74.7,74.2
600242,0.0,0.0,6.9,110.1,247.9,401.1,540.3,684.2,804.2,908.9,1021.4,1112.9,1190.9,1258.2,1316.2,1367.2,1410.5,1446.0,1475.5,1503.4,1529.3,1552.3,1571.5,1587.5,1600.1,1609.8,1617.5,1623.3,1626.7,1629.1,1631.8,1633.5,1634.1,1633.8,1632.8,1631.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,3.9,9.5,14.7,19.4,23.5,27.0,30.2,32.9,35.3,37.4,39.2,40.8,42.2,43.5,44.6,45.5,46.4,47.2,47.8,48.4,49.0,49.5,49.9,50.3,50.6,50.9,51.2,51.5,51.7,51.9,52.1,52.3,52.5,52.6,52.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,25.6,137.5,284.1,448.6,599.1,756.3,891.4,1014.1,1148.6,1261.7,1360.4,1450.1,1529.5,1603.5,1669.0,1726.0,1776.0,1824.3,1869.5,1910.6,1947.4,1980.3,2009.3,2035.0,2058.2,2079.2,2097.5,2114.3,2130.6,2145.7,2159.5,2172.3,2184.2,2195.2,0.0,10.4,64.5,86.6,88.2,87.7,87.3,86.8,86.4,85.9,85.5,85.0,84.6,84.1,83.7,83.2,82.8,82.3,81.9,81.4,81.0,80.5,80.1,79.6,79.2,78.7,78.3,77.8,77.4,76.9,76.5,76.0,75.6,75.1,74.7,74.2
600243,0,0.0,0.0,14.4,92.7,184.4,287.0,374.0,462.2,550.2,629.8,696.8,749.7,795.0,849.4,895.4,934.5,966.1,991.3,1012.5,1030.1,1044.8,1056.8,1066.4,1074.3,1080.9,1085.5,1088.8,1090.8,1091.8,1091.9,1091.2,1090.0,1088.2,1085.9,1083.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4,6.4,10.4,14.1,17.5,20.4,23.0,25.3,27.3,29.1,30.7,32.0,33.2,34.2,35.1,35.9,36.6,37.2,37.8,38.2,38.7,39.0,39.3,39.6,39.9,40.1,40.3,40.4,40.6,40.7,40.8,40.9,41.0,41.1,41.2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,3.6,35.4,117.6,215.8,327.1,422.4,519.1,616.1,704.9,781.3,843.5,898.1,963.9,1021.3,1071.5,1113.9,1149.7,1181.1,1208.6,1233.1,1254.7,1273.8,1290.9,1306.9,1320.7,1332.9,1343.7,1353.3,1361.8,1369.4,1376.5,1383.0,1388.8,1394.1,0,3.5,29.5,72.0,85.0,87.4,87.3,86.9,86.4,86.0,85.5,85.1,84.6,84.2,83.7,83.3,82.8,82.4,81.9,81.5,81.0,80.6,80.1,79.7,79.2,78.8,78.3,77.9,77.4,77.0,76.5,76.1,75.6,75.2,74.7,74.3
600231,0.0,0.0,0.0,18.5,91.9,178.5,277.4,362.2,453.2,540.9,620.9,688.9,744.1,793.4,848.1,894.5,934.2,967.2,994.8,1018.2,1038.2,1055.2,1069.5,1081.5,1091.6,1100.1,1106.3,1111.0,1114.5,1117.0,1118.4,1119.1,1119.6,1119.6,1118.9,1117.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,2.9,6.9,11.0,14.6,17.9,20.9,23.4,25.7,27.7,29.5,31.0,32.4,33.6,34.6,35.5,36.4,37.1,37.7,38.3,38.8,39.2,39.6,40.0,40.3,40.6,40.8,41.1,41.3,41.5,41.6,41.8,41.9,42.1,42.2,42.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1,35.8,112.7,205.6,312.8,405.7,505.1,601.7,691.1,768.4,832.8,891.3,956.8,1014.0,1064.3,1107.9,1145.9,1179.6,1209.7,1237.2,1261.8,1283.8,1304.0,1322.4,1338.5,1352.9,1365.9,1377.7,1388.4,1398.1,1407.8,1416.8,1425.1,1432.7,0.0,4.0,27.7,68.0,83.6,87.2,87.2,86.8,86.4,85.9,85.5,85.0,84.6,84.1,83.7,83.2,82.8,82.3,81.9,81.4,81.0,80.5,80.1,79.6,79.2,78.7,78.3,77.8,77.4,76.9,76.5,76.0,75.6,75.1,74.7,74.2
600232,0.0,0.0,0.0,20.4,101.5,193.6,297.1,382.0,471.6,558.7,637.2,702.5,754.8,801.2,854.8,900.0,938.5,969.4,994.3,1015.3,1032.7,1047.3,1059.2,1068.9,1076.8,1083.3,1087.9,1091.2,1093.2,1094.2,1094.3,1093.6,1092.5,1090.8,1088.5,1085.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,2.8,6.8,10.8,14.5,17.8,20.7,23.3,25.6,27.5,29.3,30.8,32.2,33.3,34.4,35.3,36.0,36.7,37.3,37.9,38.3,38.7,39.1,39.4,39.7,39.9,40.2,40.3,40.5,40.7,40.8,40.9,41.0,41.1,41.2,41.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9,41.9,126.8,225.7,338.1,431.2,529.5,625.5,713.3,788.0,849.6,905.5,970.6,1027.3,1076.8,1118.6,1154.1,1185.3,1212.7,1237.2,1258.9,1278.0,1295.3,1311.2,1325.1,1337.3,1348.2,1357.9,1366.5,1374.2,1381.5,1388.1,1394.1,1399.5,0.0,4.8,33.5,74.8,85.5,87.5,87.3,86.8,86.4,85.9,85.5,85.0,84.6,84.1,83.7,83.2,82.8,82.3,81.9,81.4,81.0,80.5,80.1,79.6,79.2,78.7,78.3,77.8,77.4,76.9,76.5,76.0,75.6,75.1,74.7,74.2
600233,0,0.0,0.0,14.4,92.7,184.4,287.0,374.0,462.2,550.2,629.8,696.8,749.7,795.0,849.4,895.4,934.5,966.1,991.3,1012.5,1030.1,1044.8,1056.8,1066.4,1074.3,1080.9,1085.5,1088.8,1090.8,1091.8,1091.9,1091.2,1090.0,1088.2,1085.9,1083.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4,6.4,10.4,14.1,17.5,20.4,23.0,25.3,27.3,29.1,30.7,32.0,33.2,34.2,35.1,35.9,36.6,37.2,37.8,38.2,38.7,39.0,39.3,39.6,39.9,40.1,40.3,40.4,40.6,40.7,40.8,40.9,41.0,41.1,41.2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,3.6,35.4,117.6,215.8,327.1,422.4,519.1,616.1,704.9,781.3,843.5,898.1,963.9,1021.3,1071.5,1113.9,1149.7,1181.1,1208.6,1233.1,1254.7,1273.8,1290.9,1306.9,1320.7,1332.9,1343.7,1353.3,1361.8,1369.4,1376.5,1383.0,1388.8,1394.1,0,3.5,29.5,72.0,85.0,87.4,87.3,86.9,86.4,86.0,85.5,85.1,84.6,84.2,83.7,83.3,82.8,82.4,81.9,81.5,81.0,80.6,80.1,79.7,79.2,78.8,78.3,77.9,77.4,77.0,76.5,76.1,75.6,75.2,74.7,74.3
600281,0.0,0.0,0.0,22.9,111.9,207.7,311.0,396.9,486.5,571.2,648.2,713.9,767.7,815.5,867.9,912.0,949.7,981.0,1007.2,1029.5,1048.5,1065.1,1079.1,1090.8,1100.7,1108.8,1114.7,1119.2,1122.5,1124.8,1126.1,1126.6,1127.0,1126.7,1125.9,1124.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,2.9,6.9,11.0,14.7,18.0,20.9,23.5,25.7,27.7,29.5,31.1,32.4,33.6,34.7,35.6,36.4,37.2,37.8,38.4,38.9,39.3,39.7,40.1,40.4,40.7,41.0,41.2,41.4,41.6,41.8,42.0,42.1,42.2,42.4,42.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.3,48.8,141.9,244.8,357.0,451.1,549.5,643.3,729.9,805.7,869.9,928.4,993.8,1050.9,1101.2,1145.2,1183.8,1218.2,1248.8,1277.0,1302.2,1324.8,1345.5,1364.5,1381.0,1395.9,1409.4,1421.6,1432.7,1442.9,1453.0,1462.5,1471.2,1479.3,0.2,6.1,39.3,79.5,86.8,87.6,87.3,86.8,86.4,85.9,85.5,85.0,84.6,84.1,83.7,83.2,82.8,82.3,81.9,81.4,81.0,80.5,80.1,79.6,79.2,78.7,78.3,77.8,77.4,76.9,76.5,76.0,75.6,75.1,74.7,74.2
600282,0.0,0.0,6.9,110.1,247.9,401.1,540.3,684.2,804.2,908.9,1021.4,1112.9,1190.9,1258.2,1316.2,1367.2,1410.5,1446.0,1475.5,1503.4,1529.3,1552.3,1571.5,1587.5,1600.1,1609.8,1617.5,1623.3,1626.7,1629.1,1631.8,1633.5,1634.1,1633.8,1632.8,1631.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,3.9,9.5,14.7,19.4,23.5,27.0,30.2,32.9,35.3,37.4,39.2,40.8,42.2,43.5,44.6,45.5,46.4,47.2,47.8,48.4,49.0,49.5,49.9,50.3,50.6,50.9,51.2,51.5,51.7,51.9,52.1,52.3,52.5,52.6,52.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,25.6,137.5,284.1,448.6,599.1,756.3,891.4,1014.1,1148.6,1261.7,1360.4,1450.1,1529.5,1603.5,1669.0,1726.0,1776.0,1824.3,1869.5,1910.6,1947.4,1980.3,2009.3,2035.0,2058.2,2079.2,2097.5,2114.3,2130.6,2145.7,2159.5,2172.3,2184.2,2195.2,0.0,10.4,64.5,86.6,88.2,87.7,87.3,86.8,86.4,85.9,85.5,85.0,84.6,84.1,83.7,83.2,82.8,82.3,81.9,81.4,81.0,80.5,80.1,79.6,79.2,78.7,78.3,77.8,77.4,76.9,76.5,76.0,75.6,75.1,74.7,74.2
600283,0,0.0,0.0,14.4,92.7,184.4,287.0,374.0,462.2,550.2,629.8,696.8,749.7,795.0,849.4,895.4,934.5,966.1,991.3,1012.5,1030.1,1044.8,1056.8,1066.4,1074.3,1080.9,1085.5,1088.8,1090.8,1091.8,1091.9,1091.2,1090.0,1088.2,1085.9,1083.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4,6.4,10.4,14.1,17.5,20.4,23.0,25.3,27.3,29.1,30.7,32.0,33.2,34.2,35.1,35.9,36.6,37.2,37.8,38.2,38.7,39.0,39.3,39.6,39.9,40.1,40.3,40.4,40.6,40.7,40.8,40.9,41.0,41.1,41.2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,3.6,35.4,117.6,215.8,327.1,422.4,519.1,616.1,704.9,781.3,843.5,898.1,963.9,1021.3,1071.5,1113.9,1149.7,1181.1,1208.6,1233.1,1254.7,1273.8,1290.9,1306.9,1320.7,1332.9,1343.7,1353.3,1361.8,1369.4,1376.5,1383.0,1388.8,1394.1,0,3.5,29.5,72.0,85.0,87.4,87.3,86.9,86.4,86.0,85.5,85.1,84.6,84.2,83.7,83.3,82.8,82.4,81.9,81.5,81.0,80.6,80.1,79.7,79.2,78.8,78.3,77.9,77.4,77.0,76.5,76.1,75.6,75.2,74.7,74.3
600541,0.0,0.0,15.1,138.1,286.7,452.0,607.9,761.5,893.9,1003.9,1111.8,1208.5,1294.2,1360.9,1421.3,1482.3,1535.5,1580.6,1620.9,1657.8,1694.5,1729.2,1760.3,1788.3,1811.2,1831.4,1849.5,1865.8,1880.3,1893.0,1906.9,1919.4,1930.4,1940.9,1950.5,1958.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,4.6,10.9,16.8,21.9,26.3,30.0,33.2,36.0,38.4,40.5,42.4,44.1,45.7,47.1,48.4,49.5,50.6,51.6,52.5,53.3,54.1,54.9,55.6,56.2,56.8,57.4,58.0,58.5,59.0,59.5,59.9,60.3,60.8,61.1,61.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,33.1,162.2,320.4,496.7,664.4,833.1,983.9,1115.3,1247.8,1372.5,1486.9,1582.5,1671.2,1761.6,1843.2,1915.2,1981.5,2044.0,2105.8,2165.2,2220.3,2272.0,2319.1,2363.6,2405.7,2445.5,2483.1,2519.0,2555.8,2590.8,2624.3,2656.9,2688.5,2718.8,0.0,11.0,63.6,86.8,88.1,87.7,87.3,86.8,86.4,85.9,85.5,85.0,84.6,84.1,83.7,83.2,82.8,82.3,81.9,81.4,81.0,80.5,80.1,79.6,79.2,78.7,78.3,77.8,77.4,76.9,76.5,76.0,75.6,75.1,74.7,74.2
